gid,i,j,rho,z,axis_distance,block_edge_distance,coarse_fine_interface_distance,delta_C,delta_H,delta_M,delta_Z
30,8,31,5.1328125,-0.0078125,5.1328125,0.0078125,0.1328125,153.54173129174384,8.505469479164814,67.87561908855238,0.00024138296966774372
51,8,0,5.1328125,0.0078125,5.1328125,0.0078125,0.1328125,153.54173113263545,8.505469486862172,67.87561866416691,0.00024138301797650523
30,6,30,5.1015625,-0.0234375,5.1015625,0.0234375,0.1015625,114.80842581494589,-6.543009311763392,77.387063270332,0.001607770568776267
51,6,1,5.1015625,0.0234375,5.1015625,0.0234375,0.1015625,114.80842477356053,-6.543009290742075,77.38706268200244,0.0016077704777228332
30,7,31,5.1171875,-0.0078125,5.1171875,0.0078125,0.1171875,111.54688996125462,7.504407974059328,42.47262049622407,-0.005898762790962038
51,7,0,5.1171875,0.0078125,5.1171875,0.0078125,0.1171875,111.54688966792507,7.5044079877148935,42.47261965235136,-0.0058987627203921705
51,9,1,5.1484375,0.0234375,5.1484375,0.0234375,0.1484375,102.35191176499426,-3.261693686338647,93.56440366774837,-0.001723844827114154
30,9,30,5.1484375,-0.0234375,5.1484375,0.0234375,0.1484375,102.35191166462397,-3.2616936963931455,93.56440352516711,-0.0017238447840930492
30,4,31,5.0703125,-0.0078125,5.0703125,0.0078125,0.0703125,98.06522517311588,-0.9001266134478206,97.0050275735937,0.0013556904565029241
51,4,0,5.0703125,0.0078125,5.0703125,0.0078125,0.0703125,98.06522504378782,-0.9001266102352918,97.00502741442287,0.0013556904572716347
30,7,28,5.1171875,-0.0546875,5.1171875,0.0546875,0.1171875,78.12732388845649,3.0281059349213,74.57086468365767,0.0021494437878270918
51,7,3,5.1171875,0.0546875,5.1171875,0.0546875,0.1171875,78.12732265124164,3.0281059316594465,74.5708635013697,0.0021494437879319116
51,5,1,5.0859375,0.0234375,5.0859375,0.0234375,0.0859375,62.77120477273254,-0.02501583526547782,62.897991234451716,0.00037969578423363744
30,5,30,5.0859375,-0.0234375,5.0859375,0.0234375,0.0859375,62.771204714389846,-0.02501582707627617,62.89799116860747,0.0003796958209471347
30,11,31,5.1796875,-0.0078125,5.1796875,0.0078125,0.1796875,57.98581411539193,0.19902995401517154,58.012128037534275,0.0007447083153635842
51,11,0,5.1796875,0.0078125,5.1796875,0.0078125,0.1796875,57.98581377525977,0.19902995457152467,58.01212770044845,0.0007447083142476897
30,10,30,5.1640625,-0.0234375,5.1640625,0.0234375,0.1640625,55.976702880182344,1.7664745769069208,53.73978852339627,-0.0013097536496193428
51,10,1,5.1640625,0.0234375,5.1640625,0.0234375,0.1640625,55.97670276851515,1.766474570483693,53.73978846852303,-0.0013097536558020117
51,9,0,5.1484375,0.0078125,5.1484375,0.0078125,0.1484375,55.135637996675726,-2.6270400144356265,50.297059320624996,0.0028044377035717034
30,9,31,5.1484375,-0.0078125,5.1484375,0.0078125,0.1484375,55.13563751990962,-2.6270400307878647,50.297058788255654,0.0028044376864285207
30,7,30,5.1171875,-0.0234375,5.1171875,0.0234375,0.1171875,54.10932109071464,-7.796130961266854,1.6677222111679297,0.009862564859127477
51,7,1,5.1171875,0.0234375,5.1171875,0.0234375,0.1171875,54.10932027053334,-7.796130943675032,1.6677219468642752,0.009862564705531141
30,8,28,5.1328125,-0.0546875,5.1328125,0.0546875,0.1328125,51.53492036440793,2.317562191435342,49.772078644242846,0.0013637181074743687
51,8,3,5.1328125,0.0546875,5.1328125,0.0546875,0.1328125,51.534919472264484,2.317562190445809,49.77207775899957,0.0013637181150886264
30,6,29,5.1015625,-0.0390625,5.1015625,0.0390625,0.1015625,45.50640087450683,0.45212635408157686,46.234200184426214,0.0021388309535979293
51,6,2,5.1015625,0.0390625,5.1015625,0.0390625,0.1015625,45.5064001314455,0.45212634614995495,46.23419945302444,0.0021388308985139785
51,8,1,5.1328125,0.0234375,5.1328125,0.0234375,0.1328125,43.812387349839504,-5.148390347372317,22.547447304093904,0.007622456905168122
30,8,30,5.1328125,-0.0234375,5.1328125,0.0234375,0.1328125,43.81238703810928,-5.148390352754581,22.5474468729022,0.007622457029931048
30,11,28,5.1796875,-0.0546875,5.1796875,0.0546875,0.1796875,35.19642242296436,-1.598994411665832,33.74485984043153,-0.00016270911132904093
51,11,3,5.1796875,0.0546875,5.1796875,0.0546875,0.1796875,35.19642190072152,-1.5989944083491119,33.74485933842025,-0.00016270910890719558
51,6,3,5.1015625,0.0546875,5.1015625,0.0546875,0.1015625,30.650151388916616,2.169560603326689,29.26381817428318,0.001205010574921508
30,6,28,5.1015625,-0.0546875,5.1015625,0.0546875,0.1015625,30.65015135773002,2.1695606045734395,29.263818116463504,0.0012050105697154348
30,7,29,5.1171875,-0.0390625,5.1171875,0.0390625,0.1171875,28.870001623838345,-2.0756715950313693,21.85460462928194,0.0021066376079786633
51,7,2,5.1171875,0.0390625,5.1171875,0.0390625,0.1171875,28.870001349854288,-2.0756716045655805,21.854604306525935,0.0021066375405621755
30,3,31,5.0546875,-0.0078125,5.0546875,0.0078125,0.0546875,28.62099311894105,-1.9984587436199828,23.695627741011364,0.00013480926011379907
