phase,writer,component,value
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_chi,0.5735500014539374
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_chi,0.5735500014539374
t3_00_RESTRICT,RESTRICT,z4c_chi,0.5735500014539374
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_chi,0.5735500014539374
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_chi,0.5735500014539374
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_chi,0.5735500014539374
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_chi,0.5735500014539374
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_chi,0.5735500014539374
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_chi,0.5735500014539374
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_chi,0.5735500014539374
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_chi,0.5735500014539374
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_gxx,1.0987693094463473
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_gxx,1.0987693094463473
t3_00_RESTRICT,RESTRICT,z4c_gxx,1.0987693094463473
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gxx,1.0987693094463473
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gxx,1.0987693094463473
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gxx,1.0987693094463473
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gxx,1.0987693094463473
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gxx,1.0987693094463473
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gxx,1.0987693094463473
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gxx,1.0987724677816235
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gxx,1.0987724677816235
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_gxy,-0.001252939740549009
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_gxy,-0.001252939740549009
t3_00_RESTRICT,RESTRICT,z4c_gxy,-0.001252939740549009
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gxy,-0.001252939740549009
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gxy,-0.001252939740549009
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gxy,-0.001252939740549009
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gxy,-0.001252939740549009
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gxy,-0.001252939740549009
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gxy,-0.001252939740549009
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gxy,-0.0012529433420363709
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gxy,-0.0012529433420363709
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_gxz,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_gxz,0.0
t3_00_RESTRICT,RESTRICT,z4c_gxz,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gxz,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gxz,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gxz,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gxz,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gxz,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gxz,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gxz,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gxz,0.0
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_gyy,1.0471838926193289
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_gyy,1.0471838926193289
t3_00_RESTRICT,RESTRICT,z4c_gyy,1.0471838926193289
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gyy,1.0471838926193289
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gyy,1.0471838926193289
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gyy,1.0471838926193289
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gyy,1.0471838926193289
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gyy,1.0471838926193289
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gyy,1.0471838926193289
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gyy,1.0471869026759442
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gyy,1.0471869026759442
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_gyz,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_gyz,0.0
t3_00_RESTRICT,RESTRICT,z4c_gyz,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gyz,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gyz,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gyz,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gyz,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gyz,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gyz,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gyz,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gyz,0.0
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_gzz,0.8690952448518188
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_gzz,0.8690952448518188
t3_00_RESTRICT,RESTRICT,z4c_gzz,0.8690952448518188
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_gzz,0.8690952448518188
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_gzz,0.8690952448518188
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_gzz,0.8690952448518188
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_gzz,0.8690952448518188
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_gzz,0.8690952448518188
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_gzz,0.8690952448518188
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_gzz,0.8690977430051131
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_gzz,0.8690977430051131
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Khat,6.404196574153471
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Khat,6.404196574153471
t3_00_RESTRICT,RESTRICT,z4c_Khat,6.404196574153471
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Khat,6.404196574153471
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Khat,6.404196574153471
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Khat,6.404196574153471
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Khat,6.404196574153471
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Khat,6.404196574153471
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Khat,6.404196574153471
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Khat,6.404196574153471
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Khat,6.404196574153471
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Axx,0.2974959855368881
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Axx,0.2974959855368882
t3_00_RESTRICT,RESTRICT,z4c_Axx,0.2974959855368882
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Axx,0.2974959855368882
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Axx,0.2974959855368882
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Axx,0.2974959855368882
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Axx,0.2974959855368882
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Axx,0.2974959855368882
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Axx,0.2974959855368882
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Axx,0.2967270989939722
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Axx,0.2967270989939722
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Axy,0.2931502842708441
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Axy,0.2931502842708441
t3_00_RESTRICT,RESTRICT,z4c_Axy,0.2931502842708441
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Axy,0.2931502842708441
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Axy,0.2931502842708441
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Axy,0.2931502842708441
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Axy,0.2931502842708441
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Axy,0.2931502842708441
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Axy,0.2931502842708441
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Axy,0.2931511610413339
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Axy,0.2931511610413339
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Axz,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Axz,0.0
