cycle,time,dt_spatial,dt_source,dt_final,max_source_rate,max_coordinate_speed,negative_real_stability_radius,limiter
1800,5.6393111054493739,0.02443683089252096,1.3957170865364181,0.0036655246338781439,2,1.4159918029706671,3.489292716341045,z4c_spatial_or_other
1801,5.6429766300832522,0.024437884514526876,1.3957170865364181,0.0036656826771790311,2,1.4160436883005449,3.489292716341045,z4c_spatial_or_other
1802,5.6466423127604308,0.024438960341066761,1.3957170865364181,0.0036658440511600139,2,1.4160938816256619,3.489292716341045,z4c_spatial_or_other
1803,5.6503081568115912,0.024440058393482421,1.3957170865364181,0.0036660087590223629,2,1.4161423812751635,3.489292716341045,z4c_spatial_or_other
1804,5.6539741655706139,0.024441178692705567,1.3957170865364181,0.0036661768039058349,2,1.4161891855858666,3.489292716341045,z4c_spatial_or_other
1805,5.6576403423745196,0.024442321259066348,1.3957170865364181,0.0036663481888599518,2,1.4162342929020206,3.489292716341045,z4c_spatial_or_other
1806,5.6613066905633795,0.024443486112112577,1.3957170865364181,0.0036665229168168865,2,1.4162777015751302,3.489292716341045,z4c_spatial_or_other
1807,5.664973213480196,0.024444673270428499,1.3957170865364181,0.0036667009905642749,2,1.4163194099638368,3.489292716341045,z4c_spatial_or_other
1808,5.6686399144707602,0.024445882751455303,1.3957170865364181,0.0036668824127182951,2,1.4163594164338702,3.489292716341045,z4c_spatial_or_other
1809,5.6723067968834782,0.024447114571313776,1.3957170865364181,0.0036670671856970662,2,1.4163977193580612,3.489292716341045,z4c_spatial_or_other
1810,5.6759738640691753,0.024448368744640129,1.3957170865364181,0.0036672553116960192,2,1.4164343171164269,3.489292716341045,z4c_spatial_or_other
1811,5.6796411193808716,0.024449645284730051,1.3957170865364181,0.0036674467927095074,2,1.4164692080963144,3.489292716341045,z4c_spatial_or_other
1812,5.6833085661735812,0.024450944204423879,1.3957170865364181,0.0036676416306635818,2,1.4165023906926117,3.489292716341045,z4c_spatial_or_other
1813,5.6869762078042445,0.024452265512907311,1.3957170865364181,0.0036678398269360964,2,1.4165338633080142,3.489292716341045,z4c_spatial_or_other
1814,5.6906440476311806,0.024453609217133087,1.3957170865364181,0.003668041382569963,2,1.4165636243533399,3.489292716341045,z4c_spatial_or_other
1815,5.6943120890137502,0.024454975321813996,1.3957170865364181,0.0036682462982720993,2,1.4165916722478871,3.489292716341045,z4c_spatial_or_other
1816,5.697980335312022,0.024456363829287352,1.3957170865364181,0.0036684545743931028,2,1.4166180054198294,3.489292716341045,z4c_spatial_or_other
1817,5.7016487898864154,0.024457774739392438,1.3957170865364181,0.0036686662109088656,2,1.4166426223066395,3.489292716341045,z4c_spatial_or_other
1818,5.7053174560973243,0.024459205279674007,1.3957170865364181,0.0036688807919511008,2,1.4166655213555193,3.489292716341045,z4c_spatial_or_other
1819,5.708986336889275,0.0244606493460016,1.3957170865364181,0.0036690974019002397,2,1.4166867010215467,3.489292716341045,z4c_spatial_or_other
1820,5.7126554342911753,0.024462115797505464,1.3957170865364181,0.0036693173696258196,2,1.4167427077533568,3.489292716341045,z4c_spatial_or_other
1821,5.7163247516608013,0.024463604621147189,1.3957170865364181,0.0036695406931720781,2,1.416838964123659,3.489292716341045,z4c_spatial_or_other
1822,5.7199942923539737,0.024465115801043068,1.3957170865364181,0.0036697673701564602,2,1.4169335895839095,3.489292716341045,z4c_spatial_or_other
1823,5.7236640597241299,0.024466649318449947,1.3957170865364181,0.0036699973977674921,2,1.4170265818503274,3.489292716341045,z4c_spatial_or_other
1824,5.7273340571218974,0.024468205151808385,1.3957170865364181,0.0036702307727712576,2,1.4171179386496386,3.489292716341045,z4c_spatial_or_other
1825,5.7310042878946685,0.024469783276691765,1.3957170865364181,0.0036704674915037645,2,1.4172076577194233,3.489292716341045,z4c_spatial_or_other
1826,5.7346747553861723,0.024471383665796782,1.3957170865364181,0.0036707075498695172,2,1.4172957368084507,3.489292716341045,z4c_spatial_or_other
1827,5.7383454629360422,0.024473006288977719,1.3957170865364181,0.0036709509433466578,2,1.4173821736770051,3.489292716341045,z4c_spatial_or_other
1828,5.742016413879389,0.024474651113296095,1.3957170865364181,0.0036711976669944139,2,1.417466966097183,3.489292716341045,z4c_spatial_or_other
1829,5.7456876115463835,0.024476318103085024,1.3957170865364181,0.0036714477154627533,2,1.4175501118531717,3.489292716341045,z4c_spatial_or_other
1830,5.7493590592618462,0.024478007220027388,1.3957170865364181,0.0036717010830041082,2,1.417631608741488,3.489292716341045,z4c_spatial_or_other
1831,5.7530307603448501,0.024479718423246706,1.3957170865364181,0.0036719577634870058,2,1.4177114545711857,3.489292716341045,z4c_spatial_or_other
1832,5.756702718108337,0.024481451669409401,1.3957170865364181,0.0036722177504114098,2,1.4177896471640175,3.489292716341045,z4c_spatial_or_other
1833,5.7603749358587484,0.024483206912837511,1.3957170865364181,0.0036724810369256266,2,1.4178661843545564,3.489292716341045,z4c_spatial_or_other
1834,5.7640474168956741,0.024484984105630683,1.3957170865364181,0.0036727476158446024,2,1.4179410639902703,3.489292716341045,z4c_spatial_or_other
1835,5.7677201645115188,0.024486783197796527,1.3957170865364181,0.0036730174796694788,2,1.4180142839315488,3.489292716341045,z4c_spatial_or_other
1836,5.7713931819911881,0.024488604137388563,1.3957170865364181,0.0036732906206082844,2,1.418085842051692,3.489292716341045,z4c_spatial_or_other
1837,5.7750664726117966,0.024490446870651151,1.3957170865364181,0.0036735670305976724,2,1.4181557362368487,3.489292716341045,z4c_spatial_or_other
1838,5.7787400396423942,0.024492311342170774,1.3957170865364181,0.0036738467013256158,2,1.4182239643859189,3.489292716341045,z4c_spatial_or_other
1839,5.7824138863437202,0.024494197495033253,1.3957170865364181,0.0036741296242549879,2,1.4182905244104214,3.489292716341045,z4c_spatial_or_other
1840,5.7860880159679748,0.024496105270986529,1.3957170865364181,0.0036744157906479793,2,1.4183554142343293,3.489292716341045,z4c_spatial_or_other
1841,5.7897624317586232,0.024498034610608309,1.3957170865364181,0.0036747051915912462,2,1.4184186317938796,3.489292716341045,z4c_spatial_or_other
1842,5.7934371369502147,0.024499985453478128,1.3957170865364181,0.0036749978180217191,2,1.4184801750373646,3.489292716341045,z4c_spatial_or_other
1843,5.7971121347682359,0.024501957738353008,1.3957170865364181,0.0036752936607529511,2,1.4185400419249108,3.489292716341045,z4c_spatial_or_other
1844,5.8007874284289889,0.024503951403345721,1.3957170865364181,0.003675592710501858,2,1.4185982304282494,3.489292716341045,z4c_spatial_or_other
1845,5.8044630211394903,0.02450596638610459,1.3957170865364181,0.0036758949579156885,2,1.4186547385304846,3.489292716341045,z4c_spatial_or_other
1846,5.8081389160974064,0.024508002623993573,1.3957170865364181,0.0036762003935990359,2,1.4187095642258709,3.489292716341045,z4c_spatial_or_other
1847,5.8118151164910055,0.024510060054271227,1.3957170865364181,0.003676509008140684,2,1.4187627055195962,3.489292716341045,z4c_spatial_or_other
1848,5.8154916254991464,0.02451213861426713,1.3957170865364181,0.0036768207921400692,2,1.4188141604275795,3.489292716341045,z4c_spatial_or_other
1849,5.8191684462912869,0.024514238241554586,1.3957170865364181,0.0036771357362331879,2,1.418863926976289,3.489292716341045,z4c_spatial_or_other
1850,5.8228455820275205,0.024516358874118124,1.3957170865364181,0.0036774538311177183,2,1.4189120032025813,3.489292716341045,z4c_spatial_or_other
1851,5.8265230358586377,0.024518500450530424,1.3957170865364181,0.0036777750675795634,2,1.4189583871535605,3.489292716341045,z4c_spatial_or_other
1852,5.8302008109262173,0.024520662910110153,1.3957170865364181,0.0036780994365165228,2,1.4190030768864665,3.489292716341045,z4c_spatial_or_other
1853,5.833878910362734,0.024522846193049185,1.3957170865364181,0.0036784269289573774,2,1.4190460704685859,3.489292716341045,z4c_spatial_or_other
1854,5.8375573372916918,0.024525050240546919,1.3957170865364181,0.0036787575360820376,2,1.4190873659771897,3.489292716341045,z4c_spatial_or_other
1855,5.8412360948277735,0.024527274994938713,1.3957170865364181,0.0036790912492408066,2,1.4191269614994935,3.489292716341045,z4c_spatial_or_other
1856,5.8449151860770145,0.024529520399816242,1.3957170865364181,0.0036794280599724361,2,1.4191648551326452,3.489292716341045,z4c_spatial_or_other
1857,5.8485946141369869,0.024531774567487782,1.3957170865364181,0.0036797661851231669,2,1.4192010449837298,3.489292716341045,z4c_spatial_or_other
1858,5.8522743803221102,0.02453404538787923,1.3957170865364181,0.0036801068081818841,2,1.4192355291535743,3.489292716341045,z4c_spatial_or_other
1859,5.8559544871302922,0.024536336764391452,1.3957170865364181,0.0036804505146587176,2,1.4192683057666533,3.489292716341045,z4c_spatial_or_other
1860,5.8596349376449508,0.024538648650872148,1.3957170865364181,0.0036807972976308219,2,1.4192993729634711,3.489292716341045,z4c_spatial_or_other
1861,5.8633157349425815,0.024540981002663186,1.3957170865364181,0.0036811471503994777,2,1.4193287288946683,3.489292716341045,z4c_spatial_or_other
1862,5.8669968820929812,0.024543333776652368,1.3957170865364181,0.0036815000664978548,2,1.4193563717211057,3.489292716341045,z4c_spatial_or_other
1863,5.870678382159479,0.02454570693131598,1.3957170865364181,0.0036818560396973967,2,1.4193822996139609,3.489292716341045,z4c_spatial_or_other
1864,5.8743602381991762,0.024548100426751724,1.3957170865364181,0.0036822150640127586,2,1.4194065107548306,3.489292716341045,z4c_spatial_or_other
1865,5.8780424532631885,0.024550514224701604,1.3957170865364181,0.0036825771337052403,2,1.4194290033358445,3.489292716341045,z4c_spatial_or_other
1866,5.8817250303968942,0.02455294828856466,1.3957170865364181,0.0036829422432846986,2,1.4194497755597837,3.489292716341045,z4c_spatial_or_other
1867,5.8854079726401789,0.024555402583399631,1.3957170865364181,0.0036833103875099447,2,1.4195228629327168,3.489292716341045,z4c_spatial_or_other
1868,5.8890912830276889,0.024557877075917396,1.3957170865364181,0.0036836815613876094,2,1.4196184659885289,3.489292716341045,z4c_spatial_or_other
1869,5.8927749645890763,0.024560371734463612,1.3957170865364181,0.0036840557601695418,2,1.4197124419893172,3.489292716341045,z4c_spatial_or_other
1870,5.896459020349246,0.024562886528991714,1.3957170865364181,0.0036844329793487571,2,1.4198047884135281,3.489292716341045,z4c_spatial_or_other
1871,5.900143453328595,0.024565421431026607,1.3957170865364181,0.0036848132146539911,2,1.4198955027497284,3.489292716341045,z4c_spatial_or_other
1872,5.9038282665432487,0.024567976413619439,1.3957170865364181,0.0036851964620429156,2,1.4199845824969064,3.489292716341045,z4c_spatial_or_other
1873,5.9075134630052917,0.024570551451294075,1.3957170865364181,0.0036855827176941109,2,1.4200720251647596,3.489292716341045,z4c_spatial_or_other
1874,5.9111990457229862,0.024573146519985566,1.3957170865364181,0.0036859719779978348,2,1.4201578282739753,3.489292716341045,z4c_spatial_or_other
1875,5.9148850177009837,0.024575761596971443,1.3957170865364181,0.0036863642395457163,2,1.4202419893564957,3.489292716341045,z4c_spatial_or_other
1876,5.9185713819405299,0.024578396660796229,1.3957170865364181,0.0036867594991194341,2,1.4203245059557708,3.489292716341045,z4c_spatial_or_other
1877,5.9222581414396496,0.024581051691190077,1.3957170865364181,0.0036871577536785115,2,1.4204053756269923,3.489292716341045,z4c_spatial_or_other
1878,5.9259452991933284,0.024583726668983161,1.3957170865364181,0.0036875590003474738,2,1.4204845959373114,3.489292716341045,z4c_spatial_or_other
1879,5.9296328581936759,0.024586421576013612,1.3957170865364181,0.0036879632364020419,2,1.4205621644660353,3.489292716341045,z4c_spatial_or_other
1880,5.9333208214300779,0.024589136395029861,1.3957170865364181,0.0036883704592544789,2,1.4206380788048076,3.489292716341045,z4c_spatial_or_other
1881,5.9370091918893326,0.024591871109590428,1.3957170865364181,0.0036887806664385641,2,1.4207123365577679,3.489292716341045,z4c_spatial_or_other
1882,5.9406979725557711,0.024594625703960097,1.3957170865364181,0.0036891938555940144,2,1.4207849353416877,3.489292716341045,z4c_spatial_or_other
1883,5.9443871664113654,0.024597398177022903,1.3957170865364181,0.0036896097265534354,2,1.4208558727860918,3.489292716341045,z4c_spatial_or_other
1884,5.9480767761379187,0.024600175448611487,1.3957170865364181,0.0036900263172917227,2,1.4209251465278305,3.489292716341045,z4c_spatial_or_other
1885,5.9517668024552108,0.024602972651842581,1.3957170865364181,0.0036904458977763867,2,1.4209927541817635,3.489292716341045,z4c_spatial_or_other
1886,5.9554572483529871,0.024605789769832947,1.3957170865364181,0.0036908684654749419,2,1.4210586934199234,3.489292716341045,z4c_spatial_or_other
1887,5.9591481168184623,0.024608626785542244,1.3957170865364181,0.0036912940178313366,2,1.4211229619273422,3.489292716341045,z4c_spatial_or_other
1888,5.9628394108362937,0.024611483681665443,1.3957170865364181,0.0036917225522498163,2,1.4211855574020695,3.489292716341045,z4c_spatial_or_other
1889,5.9665311333885436,0.024614360440525583,1.3957170865364181,0.0036921540660788373,2,1.421246477555167,3.489292716341045,z4c_spatial_or_other
1890,5.9702232874546226,0.024617257043967711,1.3957170865364181,0.0036925885565951564,2,1.4213057201106831,3.489292716341045,z4c_spatial_or_other
1891,5.9739158760112181,0.024620173473254774,1.3957170865364181,0.0036930260209882158,2,1.4213632828056069,3.489292716341045,z4c_spatial_or_other
1892,5.9776089020322063,0.024623109708966154,1.3957170865364181,0.0036934664563449231,2,1.421419163389797,3.489292716341045,z4c_spatial_or_other
1893,5.9813023684885511,0.024626065730899944,1.3957170865364181,0.0036939098596349912,2,1.4214733596258944,3.489292716341045,z4c_spatial_or_other
1894,5.984996278348186,0.024629041517979761,1.3957170865364181,0.0036943562276969639,2,1.4215258692892061,3.489292716341045,z4c_spatial_or_other
1895,5.9886906345758826,0.02463203704816706,1.3957170865364181,0.0036948055572250589,2,1.4215766901675775,3.489292716341045,z4c_spatial_or_other
1896,5.9923854401331074,0.024635052298379801,1.3957170865364181,0.0036952578447569701,2,1.4216258200612333,3.489292716341045,z4c_spatial_or_other
1897,5.996080697977864,0.024638087244418391,1.3957170865364181,0.0036957130866627583,2,1.4216732567826111,3.489292716341045,z4c_spatial_or_other
1898,5.9997764110645271,0.024641141860899506,1.3957170865364181,0.0036961712791349259,2,1.4217189981561666,3.489292716341045,z4c_spatial_or_other
1899,6.0034725823436617,0.024644216121198496,1.3957170865364181,0.0036966324181797743,2,1.4217630420181699,3.489292716341045,z4c_spatial_or_other
1900,6.0071692147618414,0.024647309997400675,1.3957170865364181,0.0036970964996101011,2,1.4218053862164899,3.489292716341045,z4c_spatial_or_other
1901,6.0108663112614513,0.024650418845948468,1.3957170865364181,0.0036975628268922701,2,1.4218460286103611,3.489292716341045,z4c_spatial_or_other
1902,6.0145638740883438,0.024653532025608202,1.3957170865364181,0.0036980298038412299,2,1.4218849670630225,3.489292716341045,z4c_spatial_or_other
1903,6.018261903892185,0.024656664733365644,1.3957170865364181,0.0036984997100048466,2,1.4219221994342306,3.489292716341045,z4c_spatial_or_other
1904,6.0219604036021899,0.024659816931408781,1.3957170865364181,0.0036989725397113169,2,1.4219577236200414,3.489292716341045,z4c_spatial_or_other
1905,6.0256593761419008,0.024662988580907992,1.3957170865364181,0.0036994482871361986,2,1.4219915375269292,3.489292716341045,z4c_spatial_or_other
1906,6.0293588244290373,0.024666179642047606,1.3957170865364181,0.0036999269463071408,2,1.4220236390715586,3.489292716341045,z4c_spatial_or_other
1907,6.0330587513753446,0.024669390074059366,1.3957170865364181,0.0037004085111089048,2,1.4220540261805683,3.489292716341045,z4c_spatial_or_other
1908,6.0367591598864534,0.024672619835256947,1.3957170865364181,0.0037008929752885417,2,1.4220826967903712,3.489292716341045,z4c_spatial_or_other
1909,6.040460052861742,0.024675868883071186,1.3957170865364181,0.0037013803324606777,2,1.4221096488469673,3.489292716341045,z4c_spatial_or_other
1910,6.0441614331942031,0.024679137174085618,1.3957170865364181,0.0037018705761128427,2,1.4221348803057823,3.489292716341045,z4c_spatial_or_other
1911,6.047863303770316,0.024682424664072236,1.3957170865364181,0.0037023636996108352,2,1.4221583891315228,3.489292716341045,z4c_spatial_or_other
1912,6.0515656674699265,0.024685731308027491,1.3957170865364181,0.0037028596962041236,2,1.4221801732980617,3.489292716341045,z4c_spatial_or_other
1913,6.0552685271661311,0.024689057060208647,1.3957170865364181,0.0037033585590312969,2,1.4222263176091319,3.489292716341045,z4c_spatial_or_other
1914,6.0589718857251622,0.024692401874170728,1.3957170865364181,0.0037038602811256091,2,1.4223228163887411,3.489292716341045,z4c_spatial_or_other
1915,6.0626757460062874,0.024695765702804313,1.3957170865364181,0.0037043648554206466,2,1.422417688850347,3.489292716341045,z4c_spatial_or_other
1916,6.0663801108617079,0.024699143680167304,1.3957170865364181,0.0037048715520250955,2,1.4225109322692373,3.489292716341045,z4c_spatial_or_other
1917,6.0700849824137331,0.024702521843100528,1.3957170865364181,0.0037053782764650792,2,1.422602543911488,3.489292716341045,z4c_spatial_or_other
