case,cycle,requested_refine,requested_derefine_leaves,accepted_derefine_parents,created_leaves,deleted_leaves,mirror_mismatches
maxK_scaled_baseline,1,4,0,0,12,0,0
maxK_scaled_baseline,2,2,6,0,6,0,0
maxK_scaled_baseline,3,2,12,0,12,0,0
maxK_scaled_baseline,4,0,26,2,0,0,0
maxK_scaled_baseline,5,0,26,2,0,0,0
maxK_scaled_baseline,6,0,26,2,0,0,0
maxK_scaled_baseline,7,0,26,2,0,0,0
maxK_scaled_baseline,8,0,26,2,0,0,0
maxK_scaled_baseline,9,0,26,2,0,0,0
maxK_scaled_baseline,10,0,26,2,0,0,0
maxK_scaled_baseline,11,0,26,2,0,0,0
maxK_scaled_baseline,12,0,26,2,0,0,0
maxK_scaled_baseline,13,0,26,2,0,0,0
maxK_scaled_baseline,14,0,28,4,0,12,0
maxK_scaled_baseline,15,0,12,0,0,0,0
maxK_scaled_baseline,16,0,12,0,0,0,0
maxK_scaled_baseline,17,0,12,0,0,0,0
maxK_scaled_baseline,18,0,12,0,0,0,0
maxK_scaled_baseline,19,0,12,0,0,0,0
maxK_scaled_baseline,20,0,12,0,0,0,0
maxK_scaled_baseline,21,0,12,0,0,0,0
maxK_scaled_baseline,22,0,12,0,0,0,0
maxK_scaled_baseline,23,0,12,0,0,0,0
maxK_scaled_baseline,24,0,12,0,0,0,0
maxK_scaled_baseline,25,0,12,0,0,0,0
maxK_scaled_baseline,26,0,12,0,0,0,0
maxK_scaled_baseline,27,0,12,0,0,0,0
maxK_scaled_baseline,28,0,12,0,0,0,0
maxK_scaled_baseline,29,0,12,0,0,0,0
maxK_scaled_baseline,30,0,12,0,0,0,0
maxK_scaled_baseline,31,0,14,2,0,6,0
maxK_scaled_baseline,32,0,6,0,0,0,0
maxK_scaled_baseline,33,0,6,0,0,0,0
maxK_scaled_baseline,34,0,6,0,0,0,0
maxK_scaled_baseline,35,0,6,0,0,0,0
maxK_scaled_baseline,36,2,6,0,6,0,0
maxK_scaled_baseline,37,0,12,0,0,0,0
maxK_scaled_baseline,38,0,12,0,0,0,0
maxK_scaled_baseline,39,0,12,0,0,0,0
maxK_scaled_baseline,40,0,12,0,0,0,0
maxK_scaled_baseline,41,0,12,0,0,0,0
maxK_scaled_baseline,42,0,12,0,0,0,0
maxK_scaled_baseline,43,0,12,0,0,0,0
maxK_scaled_baseline,44,0,12,0,0,0,0
maxK_scaled_baseline,45,0,12,0,0,0,0
maxK_scaled_baseline,46,0,12,0,0,0,0
maxK_scaled_baseline,47,0,12,0,0,0,0
maxK_scaled_baseline,48,0,10,0,0,0,0
maxK_scaled_baseline,49,0,10,0,0,0,0
maxK_scaled_baseline,50,0,10,0,0,0,0
maxK_scaled_baseline,51,0,10,0,0,0,0
maxK_scaled_baseline,52,0,10,0,0,0,0
maxK_scaled_baseline,53,0,10,0,0,0,0
maxK_scaled_baseline,54,0,10,0,0,0,0
maxK_scaled_baseline,55,0,10,0,0,0,0
maxK_scaled_baseline,56,0,10,0,0,0,0
maxK_scaled_baseline,57,0,10,0,0,0,0
maxK_scaled_baseline,58,0,10,0,0,0,0
maxK_scaled_baseline,59,0,10,0,0,0,0
maxK_scaled_baseline,60,0,10,0,0,0,0
maxK_scaled_baseline,61,0,10,0,0,0,0
maxK_scaled_baseline,62,0,10,0,0,0,0
maxK_scaled_baseline,63,0,10,0,0,0,0
maxK_scaled_baseline,64,0,10,0,0,0,0
maxK_scaled_baseline,65,0,10,0,0,0,0
maxK_scaled_baseline,66,0,10,0,0,0,0
maxK_scaled_baseline,67,0,10,0,0,0,0
maxK_scaled_baseline,68,0,10,0,0,0,0
maxK_scaled_baseline,69,0,10,0,0,0,0
maxK_scaled_baseline,70,0,10,0,0,0,0
maxK_scaled_baseline,71,0,10,0,0,0,0
maxK_scaled_baseline,72,0,10,0,0,0,0
maxK_scaled_baseline,73,0,10,0,0,0,0
maxK_scaled_baseline,74,0,10,0,0,0,0
maxK_scaled_baseline,75,0,10,0,0,0,0
maxK_scaled_baseline,76,0,10,0,0,0,0
maxK_scaled_baseline,77,0,10,0,0,0,0
maxK_scaled_baseline,78,0,10,0,0,0,0
maxK_scaled_baseline,79,2,10,0,12,0,0
maxK_scaled_baseline,80,0,24,2,0,0,0
maxK_scaled_baseline,81,0,24,2,0,0,0
maxK_scaled_baseline,82,0,24,2,0,0,0
maxK_scaled_baseline,83,0,24,2,0,0,0
maxK_scaled_baseline,84,0,24,2,0,0,0
maxK_scaled_baseline,85,0,24,2,0,0,0
maxK_scaled_baseline,86,0,24,2,0,0,0
maxK_scaled_baseline,87,0,24,2,0,0,0
maxK_scaled_baseline,88,0,24,2,0,0,0
maxK_scaled_baseline,89,0,24,2,0,0,0
maxK_scaled_baseline,90,0,24,2,0,0,0
maxK_scaled_baseline,91,0,24,2,0,0,0
maxK_scaled_baseline,92,0,24,2,0,0,0
maxK_scaled_baseline,93,0,24,2,0,0,0
maxK_scaled_baseline,94,0,24,2,0,0,0
maxK_scaled_baseline,95,0,24,2,0,0,0
maxK_scaled_baseline,96,0,24,2,0,0,0
maxK_scaled_baseline,97,0,24,2,0,0,0
maxK_scaled_baseline,98,0,24,2,0,0,0
maxK_scaled_baseline,99,0,24,2,0,0,0
maxK_scaled_baseline,100,0,24,2,0,0,0
maxK_scaled_baseline,101,0,24,2,0,0,0
maxK_scaled_baseline,102,0,24,2,0,0,0
maxK_scaled_baseline,103,0,24,2,0,0,0
maxK_scaled_baseline,104,0,24,2,0,0,0
maxK_scaled_baseline,105,0,24,2,0,0,0
maxK_scaled_baseline,106,0,24,2,0,0,0
maxK_scaled_baseline,107,0,24,2,0,0,0
maxK_scaled_baseline,108,0,24,2,0,0,0
maxK_scaled_baseline,109,0,24,2,0,0,0
maxK_scaled_baseline,110,0,24,2,0,0,0
maxK_scaled_baseline,111,0,24,2,0,0,0
maxK_scaled_baseline,112,0,24,2,0,0,0
maxK_scaled_baseline,113,0,24,2,0,0,0
maxK_scaled_baseline,114,0,24,2,0,0,0
maxK_scaled_baseline,115,0,24,2,0,0,0
maxK_scaled_baseline,116,0,24,2,0,0,0
maxK_scaled_baseline,117,0,24,2,0,0,0
maxK_scaled_baseline,118,0,24,2,0,0,0
maxK_scaled_baseline,119,0,24,2,0,0,0
maxK_scaled_baseline,120,0,24,2,0,0,0
maxK_scaled_baseline,121,0,24,2,0,0,0
maxK_scaled_baseline,122,0,24,2,0,0,0
maxK_scaled_baseline,123,0,24,2,0,0,0
maxK_scaled_baseline,124,0,24,2,0,0,0
maxK_scaled_baseline,125,0,24,2,0,0,0
maxK_scaled_baseline,126,0,24,2,0,0,0
maxK_scaled_baseline,127,0,24,2,0,0,0
maxK_scaled_baseline,128,0,24,2,0,0,0
maxK_scaled_baseline,129,0,24,2,0,0,0
maxK_scaled_baseline,130,0,24,2,0,0,0
maxK_scaled_baseline,131,0,24,2,0,0,0
maxK_scaled_baseline,132,0,24,2,0,0,0
maxK_scaled_baseline,133,0,24,2,0,0,0
maxK_scaled_baseline,134,0,24,2,0,0,0
maxK_scaled_baseline,135,0,24,2,0,0,0
maxK_scaled_baseline,136,0,24,2,0,0,0
maxK_scaled_baseline,137,0,24,2,0,0,0
