case,time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,max_abs_K,nmb_total,maxRefLev,cycle,axisLapse,axisTau,axisKret,maxAbsKret,eta_shift,S_beta
fixed_eta2,0.0,0.0375,0.0204282022553213,0.02036433384170601,0.0,1.5967103403823334e-05,0.0,8.0,0.0,0.0,0.6159200539472285,0.0,0.0005640802758563611,80.60538718716222,2.0,0.075
fixed_eta2,0.07031249999999999,0.0046875,0.6085361498468608,0.5744907203887164,0.007142511554593776,0.0066956349074296035,0.061335806444414796,38.0,3.0,4.0,0.6158791579375504,0.04330576665989498,0.000565136964212178,92.06426541408091,2.0,0.009375
fixed_eta2,0.08906249999999998,0.0046875,0.5422656157745948,0.49529371157762986,0.021930456126198494,0.006176139402913731,0.07698398893536382,38.0,3.0,8.0,0.6158791619887033,0.05485350090811593,0.0005651320984027134,91.14785924774927,2.0,0.009375
fixed_eta2,0.10781249999999996,0.0046875,0.45902771415300136,0.3946106081043334,0.04197109556984549,0.005451547079497927,0.09241292277211209,38.0,3.0,12.0,0.6158791667926969,0.06640123523932183,0.0005651265319654563,89.93413175866644,2.0,0.009375
fixed_eta2,0.13124999999999995,0.009375,0.30173454864080107,0.24039119517312313,0.04593221524364044,0.003598842442577187,0.11056564139908573,26.0,2.0,16.0,0.6158900690805136,0.08083600543252267,0.0005648619702268514,86.4160957368495,2.0,0.01875
fixed_eta2,0.16874999999999993,0.009375,0.1938947109152777,0.11337466453005889,0.07015414838167669,0.0021845162116756146,0.13963669091917055,26.0,2.0,20.0,0.615890085385826,0.10393188331562112,0.000564839465458635,83.40976194581654,2.0,0.01875
fixed_eta2,0.2062499999999999,0.009375,0.13730158189989303,0.047157196166613825,0.0835739409473256,0.0011333753587158839,0.16656038662653028,26.0,2.0,24.0,0.6158901064552147,0.1270277618978066,0.0005648112256863393,81.44008515073527,2.0,0.01875
fixed_eta2,0.24374999999999988,0.009375,0.14209388658640879,0.05463564793699594,0.08263731191388951,0.0006728278147531359,0.1909225269236897,26.0,2.0,28.0,0.6158901329489119,0.15012364136962106,0.0005647776465594729,78.73527031113241,2.0,0.01875
fixed_eta2,0.28124999999999994,0.009375,0.19286833327710703,0.11705693950408112,0.06973377956090089,0.0010390133980573539,0.21571822870452712,26.0,2.0,32.0,0.6158901656929291,0.1732195219494834,0.0005647392309335326,75.02709186403564,2.0,0.01875
fixed_eta2,0.33749999999999997,0.01875,0.0959086598554096,0.0700254857219278,0.0228949241630723,0.0005176679342918809,0.24415332988072136,20.0,1.0,36.0,0.6158902287450502,0.20786334546495705,0.0005646739336326201,65.41602984013446,2.0,0.0375
fixed_eta2,0.4124999999999999,0.01875,0.10718622822452535,0.09783415062569847,0.006756298289495837,0.0005593110177033661,0.27416388169192585,20.0,1.0,40.0,0.6158903454967433,0.2540551167517592,0.0005645755424665364,54.88754436515295,2.0,0.0375
fixed_eta2,0.4781249999999999,0.009375,0.22317127994590086,0.2060480642009813,0.004685644765816171,0.0030640980193155326,0.29476719896766923,26.0,2.0,44.0,0.6158904876338513,0.2944729251207249,0.0005644795408419206,48.80220898644946,2.0,0.01875
fixed_eta2,0.515625,0.009375,0.1851755427607586,0.16521339609467017,0.008115085535409149,0.002890767901696929,0.3008496136762989,26.0,2.0,48.0,0.6158905901370026,0.3175688202781941,0.000564419917603599,43.050639603873606,2.0,0.01875
fixed_eta2,0.5531250000000001,0.009375,0.1375911060758262,0.11259438405968773,0.015051574957857708,0.0023599794712899727,0.30442782877115393,26.0,2.0,52.0,0.6158907113793766,0.3406647196223886,0.0005643565593398599,37.33143024927155,2.0,0.01875
fixed_eta2,0.5906250000000002,0.009375,0.10139097868635367,0.07206325430378316,0.02194246498675092,0.001658040510956677,0.3052797244508966,26.0,2.0,56.0,0.615890854494731,0.36376062391341707,0.0005642895449486163,31.709155001573524,2.0,0.01875
fixed_eta2,0.6281250000000003,0.009375,0.08618924318531623,0.05466025696692503,0.026223263014792362,0.0010918944095708858,0.3034366721698843,26.0,2.0,60.0,0.6158910231004782,0.38685653403788617,0.0005642190640914735,26.251895731916704,2.0,0.01875
fixed_eta2,0.6656250000000004,0.009375,0.08725801293205994,0.055650700607569034,0.027051193328151108,0.0008872056120523941,0.2989696874122974,26.0,2.0,64.0,0.6158912213169083,0.40995245102746,0.0005641451452060629,21.035324389037235,2.0,0.01875
fixed_eta2,0.7031250000000004,0.009375,0.0953501839883811,0.06507616392804079,0.025065337151368012,0.0010617408447526765,0.29198687721340594,26.0,2.0,68.0,0.6158914537635769,0.4330483760777214,0.0005640674553008171,16.165348491324238,2.0,0.01875
fixed_eta2,0.7406250000000005,0.009375,0.10380360443219518,0.07506188611080912,0.021610244683994168,0.0015700154455299006,0.2826153162027976,26.0,2.0,72.0,0.6158917255307286,0.45614431056643234,0.0005639852857250867,11.773185444408428,2.0,0.01875
fixed_eta2,0.7781250000000006,0.009375,0.11002034797522761,0.08242974363167908,0.01796562368428059,0.0022192001698359406,0.27096936935905735,26.0,2.0,76.0,0.6158920421265877,0.4792402560702629,0.0005638976680609947,11.452578969623694,2.0,0.01875
fixed_eta2,0.8156250000000007,0.009375,0.11495451487764229,0.08828190085032644,0.014980481401765569,0.0027458329811939175,0.25833299601141513,26.0,2.0,80.0,0.615892409404377,0.5023362143791498,0.000563803457516664,12.60885845392082,2.0,0.01875
fixed_eta2,0.8531250000000008,0.009375,0.11933734174705199,0.09338271793132001,0.013079580189082902,0.003031380374463663,0.24847802438247882,26.0,2.0,84.0,0.6158928334511466,0.525432187507353,0.0005637012753414641,13.900870855379774,2.0,0.01875
fixed_eta2,0.8906250000000009,0.009375,0.12155267951530296,0.09585254039560402,0.012452660989863865,0.00310028723105635,0.2377832392990541,26.0,2.0,88.0,0.6158933204449373,0.5485281776994012,0.0005635893698682731,14.95562952467844,2.0,0.01875
fixed_eta2,0.928125000000001,0.009375,0.11890267196116507,0.09269621169616392,0.013172883775121226,0.0030190003046494844,0.2256187635081249,26.0,2.0,92.0,0.6158938765877442,0.5716241874321146,0.0005634655841703072,15.615232636897375,2.0,0.01875
fixed_eta2,0.9656250000000011,0.009375,0.11027418920171467,0.08264856049694037,0.015093809378856965,0.0028699964949837967,0.21513773416643747,26.0,2.0,96.0,0.61589450803416,0.5947202194142595,0.000563327580506953,15.936350817741463,2.0,0.01875
fixed_eta2,1.0031250000000012,0.009375,0.09798082880861231,0.06826372977477875,0.01770661869274556,0.0027224359676858803,0.20740752041326307,26.0,2.0,100.0,0.6158952207611661,0.6178162765825385,0.0005631732861551325,16.406121636563984,2.0,0.01875
fixed_eta2,1.0406250000000008,0.009375,0.08681074972278327,0.055112372410729416,0.020128908343729462,0.0025995090142692827,0.19867384223593212,26.0,2.0,104.0,0.6158960205021983,0.6409123620930789,0.0005630013424910027,16.591651728942413,2.0,0.01875
fixed_eta2,1.0781250000000004,0.009375,0.08146145671547973,0.04865472843172798,0.021375302955218504,0.0025551534816787404,0.19083268910619997,26.0,2.0,108.0,0.615896912804453,0.6640084793134587,0.0005628113182095619,16.782539657877365,2.0,0.01875
fixed_eta2,1.115625,0.009375,0.08396058324581802,0.05119486944849412,0.020866277021920437,0.0026652311788841828,0.1822212593151827,26.0,2.0,112.0,0.6158979030368164,0.6871046318158204,0.0005626036134055467,16.733767737852588,2.0,0.01875
fixed_eta2,1.1531249999999997,0.009375,0.09257023308936152,0.06071329780570941,0.018837030215653725,0.0029412788181416966,0.17466259972601816,26.0,2.0,116.0,0.6158989964776591,0.7102008233716699,0.000562379200032762,16.483946719352712,2.0,0.01875
fixed_eta2,1.1906249999999994,0.009375,0.10289501291984116,0.07197505975174905,0.016324654851804718,0.0033302448979014364,0.16681327888951483,26.0,2.0,120.0,0.6159001983706232,0.7332970579496122,0.0005621394321562562,16.151039500013084,2.0,0.01875
fixed_eta2,1.228124999999999,0.009375,0.11002624407111697,0.07916006464473357,0.014657619042131139,0.0037193433691248678,0.15987085625589056,26.0,2.0,124.0,0.6159015140599164,0.7563933397163032,0.0005618860453834475,15.720704452225693,2.0,0.01875
fixed_eta2,1.2656249999999987,0.009375,0.11076162403592982,0.0786691934258829,0.014727765118223728,0.0039745022141920786,0.15336361406301882,26.0,2.0,128.0,0.6159029490677135,0.7794896730420705,0.0005616212520914027,15.07709064851576,2.0,0.01875
fixed_eta2,1.3031249999999983,0.009375,0.10508473129686119,0.07078266865182622,0.016494668785710553,0.00402553219368423,0.1461211607933531,26.0,2.0,132.0,0.6159045092182387,0.8025860625093694,0.0005613477197231049,14.319933038974531,2.0,0.01875
fixed_eta2,1.340624999999998,0.009375,0.09614310872056875,0.059436917958350946,0.019036777917476752,0.003908131080264709,0.13925755064702924,26.0,2.0,136.0,0.6159062007954776,0.8256825129274207,0.000561068304256965,13.619572528547328,2.0,0.01875
fixed_eta2,1.3781249999999976,0.009375,0.08877222952814906,0.050226143970978146,0.021114344497222902,0.003752668176201601,0.13284650101721077,26.0,2.0,140.0,0.6159080305612651,0.8487790293501635,0.0005607856317272708,12.867251957939985,2.0,0.01875
