prescription,time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,max_abs_K,maxAbsKret,cycle,axisLapse,axisTau,axisKret,muMin,muMax
local_abs_K,0.0000000000000000e+00,3.7499999999999999e-02,2.0428202255321298e-02,2.0364333841706009e-02,0.0000000000000000e+00,1.5967103403823334e-05,0.0000000000000000e+00,8.0605387187162222e+01,0.0000000000000000e+00,6.1592005394722849e-01,0.0000000000000000e+00,5.6408027585636109e-04,0.0000000000000000e+00,0.0000000000000000e+00
local_abs_K,7.0312499999999986e-02,4.6874999999999998e-03,6.0881488639208614e-01,5.7481788944542833e-01,7.1468264190177053e-03,6.6825147435616078e-03,6.1358513927229082e-02,9.2063269342326691e+01,4.0000000000000000e+00,6.1587915794300752e-01,4.3305766659982085e-02,5.6513696519349169e-04,3.5210126110502425e-10,6.1360767236904368e-02
local_abs_K,8.9062499999999975e-02,4.6874999999999998e-03,5.4219379026361136e-01,4.9527015753721665e-01,2.1936541197957755e-02,6.1627211846464504e-03,7.7043416680374455e-02,9.1142699608992984e+01,8.0000000000000000e+00,6.1587916200255055e-01,5.4853500908376332e-02,5.6513209931476906e-04,1.5620712754681017e-09,7.7046089042167226e-02
local_abs_K,1.0781249999999996e-01,4.6874999999999998e-03,4.5888498372892012e-01,3.9455599388765972e-01,4.1939158427335421e-02,5.4378434295456095e-03,9.2502046009783540e-02,8.9925317351276064e+01,1.2000000000000000e+01,6.1587916682133259e-01,6.6401235239969353e-02,5.6512653245723737e-04,6.6787225779402948e-10,9.2505504547755649e-02
local_abs_K,1.3593749999999996e-01,9.3749999999999997e-03,2.8513641552801239e-01,2.2155614175782681e-01,4.8968977973261808e-02,3.3810349037315698e-03,1.1422961791461847e-01,8.6050219146009823e+01,1.6000000000000000e+01,6.1589007093128600e-01,8.3723041206218221e-02,5.6485949096674243e-04,1.7782190831544997e-09,1.1424915291132449e-01
local_abs_K,1.7343749999999994e-01,9.3749999999999997e-03,1.8218322629269021e-01,1.0032941375580404e-01,7.2027037606024663e-02,2.0386441821554271e-03,1.4313489653916131e-01,8.3172803264545365e+01,2.0000000000000000e+01,6.1589008791799194e-01,1.0681891917109537e-01,5.6483620264242594e-04,1.1690639695783207e-08,1.4316279776769048e-01
local_abs_K,2.1093749999999992e-01,9.3749999999999997e-03,1.3274488351515734e-01,4.3042668769521591e-02,8.3484423021589621e-02,1.0460109269152668e-03,1.6966870464721065e-01,8.1089083987693073e+01,2.4000000000000000e+01,6.1589010984144577e-01,1.2991479786363397e-01,5.6480729213424612e-04,2.7417237148684034e-08,1.6970541452557497e-01
local_abs_K,2.4843749999999989e-01,9.3749999999999997e-03,1.4322528482526078e-01,5.7711843075304331e-02,8.0705403845871451e-02,6.8211177231614442e-04,1.9463429943810143e-01,7.8153585519428418e+01,2.8000000000000000e+01,6.1589013744431187e-01,1.5301067748234351e-01,5.6477318191413422e-04,6.9639938709102069e-09,1.9465489981803735e-01
local_abs_K,2.9531249999999992e-01,1.8749999999999999e-02,7.7000697836115573e-02,4.0295082874750969e-02,3.3957020474819632e-02,3.7925859343582722e-04,2.2248447810183342e-01,7.0723413472263218e+01,3.2000000000000000e+01,6.1589018136800999e-01,1.8188052866412899e-01,5.6472401239357744e-04,1.8010468352236048e-08,2.2260671592573972e-01
local_abs_K,3.7031249999999988e-01,1.8749999999999999e-02,2.1116071463017330e-01,1.8727579934967678e-01,1.5867816560557378e-02,1.8884554634530919e-03,2.6247246172444921e-01,6.4052854144509269e+01,3.6000000000000000e+01,6.1589027893683501e-01,2.2807229570460083e-01,5.6463309883949576e-04,1.4655934931081983e-09,2.5942320106676275e-01
local_abs_K,4.0781249999999997e-01,9.3749999999999997e-03,2.0424564257258818e-01,1.8465297958867846e-01,9.1463328869317798e-03,2.5430239573156870e-03,2.7674518271012682e-01,5.9404544835531041e+01,4.0000000000000000e+01,6.1589034348435145e-01,2.5116818233999028e-01,5.6458305640663610e-04,2.1479870662583644e-09,2.7677739607224022e-01
local_abs_K,4.4531250000000006e-01,9.3749999999999997e-03,1.8420520877657623e-01,1.6506172223202129e-01,7.7033176891705465e-03,2.8055952517437618e-03,2.8842830930171126e-01,5.4447171225884603e+01,4.4000000000000000e+01,6.1589042099438596e-01,2.7426407163289140e-01,5.6453006049908701e-04,3.8436900232279248e-09,2.8846026551442716e-01
local_abs_K,4.8281250000000014e-01,9.3749999999999997e-03,1.6018724861417585e-01,1.3824844062301447e-01,1.0568593587484566e-02,2.7682187809841686e-03,2.9771925088587220e-01,4.9161857137663887e+01,4.8000000000000000e+01,6.1589051371959846e-01,2.9735996411054705e-01,5.6447375443736351e-04,2.4244253390921832e-08,2.9775065159983521e-01
local_abs_K,5.2031250000000018e-01,9.3749999999999997e-03,1.3868437658705934e-01,1.1269646404017666e-01,1.5576128497306642e-02,2.4848585330346814e-03,3.0484665402283828e-01,4.3600691853102823e+01,5.2000000000000000e+01,6.1589062431685293e-01,3.2045586039206236e-01,5.6441371716724436e-04,5.1472028319321278e-08,3.0487680822544000e-01
