cycle,time,tau_c,authority_event,authority_event_index,records,agrees,would_refine_earlier,would_derefine,would_not_refine,other,native_refine,native_derefine,native_same,max_raw_dchi,max_dchi_over_dx,strongest_gid,strongest_logical_location,strongest_physical_location
1,0.010825573171132733,0.006667687612693651,True,1,22,10,12,0,0,0,22,0,0,0.08346279716356142,0.3338511886542457,11,"[3, 1, 3, 0]","[4.625, -0.125]"
2,0.016217895439318817,0.00998875220356006,True,2,34,2,32,0,0,0,34,0,0,0.04468912095702426,0.35751296765619406,22,"[4, 2, 7, 0]","[4.6875, -0.0625]"
3,0.018909301628650666,0.011646355987714315,True,3,36,4,32,0,0,0,36,0,0,0.02276498726591787,0.36423979625468594,24,"[5, 4, 15, 0]","[4.71875, -0.03125]"
4,0.021630988833883254,0.013322609475381476,False,4,34,0,34,0,0,0,34,0,0,0.019542207482484284,0.36573199800991263,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
5,0.02434833557580399,0.01499618972577283,False,4,34,0,34,0,0,0,34,0,0,0.019514165617465346,0.3652431841637971,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
6,0.027061414956994052,0.016667141761914597,False,4,34,0,34,0,0,0,34,0,0,0.019482981087537227,0.3646989084522154,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
7,0.02977029942261953,0.01833551020193878,False,4,34,0,34,0,0,0,34,0,0,0.019448696866260412,0.36409983103881494,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
8,0.032475060762125474,0.020001339260126556,False,4,34,0,34,0,0,0,34,0,0,0.019411356283835165,0.3634466236196991,31,"[5, 5, 15, 0]","[5.03125, -0.40625]"
9,0.03517577011082971,0.02166467274788988,False,4,34,0,34,0,0,0,34,0,0,0.019371002978258754,0.3627399718111224,31,"[5, 5, 15, 0]","[5.03125, -0.40625]"
10,0.03787249795176612,0.023325554074906784,False,4,34,0,34,0,0,0,34,0,0,0.019327680856623744,0.3619805768138443,31,"[5, 5, 15, 0]","[5.03125, -0.40625]"
11,0.0405653141181237,0.02498402625062356,False,4,34,0,34,0,0,0,34,0,0,0.01928143406827257,0.36116915623537343,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
12,0.043254287796599844,0.02664013188632004,False,4,34,0,34,0,0,0,34,0,0,0.019232306990625347,0.36030644401692313,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
13,0.045939487531935864,0.028293913197902993,False,4,34,0,34,0,0,0,34,0,0,0.01918034422759303,0.359393189479364,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
14,0.04862098123283198,0.029945412009549095,False,4,34,0,34,0,0,0,34,0,0,0.019125590619555804,0.3584301555665583,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
15,0.05129883617935364,0.03159466975826643,False,4,34,0,34,0,0,0,34,0,0,0.019068091263089393,0.3574181164199369,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
16,0.053973119031847455,0.03324172749938569,False,4,34,0,34,0,0,0,34,0,0,0.019007891537930966,0.3563578544621537,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
17,0.05664389584128999,0.03488662591293393,False,4,34,0,34,0,0,0,34,0,0,0.01894503713818914,0.35525015719618463,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
18,0.05931123206090446,0.03652940531078912,False,4,34,0,34,0,0,0,34,0,0,0.018879574104530866,0.354095813938683,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
19,0.061975192558805334,0.03817010564446786,False,4,34,0,34,0,0,0,34,0,0,0.01881154885403837,0.3528956127016934,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
20,0.06463584163137454,0.0398087665133636,False,4,34,0,34,0,0,0,34,0,0,0.01874100820460823,0.35165033741679835,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
21,0.06729324301703983,0.041445427173232616,False,4,34,0,34,0,0,0,34,0,0,0.018667999391180804,0.35036076566182606,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
22,0.06994745991011733,0.04308012654471946,False,4,34,0,34,0,0,0,34,0,0,0.018592570071659056,0.3490276670065334,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
23,0.07259855497439581,0.04471290322172335,False,4,34,0,34,0,0,0,34,0,0,0.018514768321105518,0.34765180204315194,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
24,0.07524659035617855,0.04634379547943056,False,4,34,0,34,0,0,0,34,0,0,0.018434642613603468,0.3462339221152607,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
25,0.07789162769655408,0.047972841281871764,False,4,34,0,34,0,0,0,34,0,0,0.018352241792012083,0.3447747697083119,51,"[5, 5, 16, 0]","[5.03125, 0.40625]"
26,0.08053372814273536,0.04960007828890577,False,4,34,0,34,0,0,0,34,0,0,0.01826972295952287,0.3432750794203588,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
27,0.08317295235838167,0.05122554386257664,False,4,34,0,34,0,0,0,34,0,0,0.018185557396225075,0.3417355793967159,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
28,0.08580936053289166,0.05284927507283719,False,4,34,0,34,0,0,0,34,0,0,0.018099290533318213,0.34015699308824143,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
29,0.08844301238972485,0.054471308702674075,False,4,34,0,34,0,0,0,34,0,0,0.01801096563023228,0.3385400411820183,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
30,0.0910739671938657,0.0560916812527049,False,4,34,0,34,0,0,0,34,0,0,0.0179206261855299,0.3368854435549038,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
31,0.09370228375858772,0.0577104289453441,False,4,34,0,34,0,0,0,34,0,0,0.01782831596986132,0.33519392111404495,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
32,0.09632802045169968,0.05932758772864998,False,4,34,0,34,0,0,0,34,0,0,0.017734079050054388,0.33346619741197164,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
33,0.09895123520146443,0.06094319327997001,False,4,34,0,34,0,0,0,34,0,0,0.01763795980410646,0.33170299995469277,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
34,0.10157198550237055,0.06255728100949556,False,4,34,0,34,0,0,0,34,0,0,0.017540002927541095,0.32990506115620394,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
35,0.10419032842091315,0.0641698860638222,False,4,34,0,34,0,0,0,34,0,0,0.017440253432190987,0.32807311892831614,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
36,0.10680632060150315,0.06578104332958924,False,4,34,0,34,0,0,0,34,0,0,0.017338756638921007,0.3262079169280424,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
37,0.10942001827258034,0.06739078743724462,False,4,34,0,34,0,0,0,34,0,0,0.01723555816609621,0.3243102045127088,31,"[5, 5, 15, 0]","[5.03125, -0.46875]"
