resolution,event,authority_time,authority_time_hex,actual_time_hex,ulp_difference,preceding_timestep_clipped,authority_leaves,accepted_leaves,tree_checksum,exact
n128,1,0.010825573171132733,0x1.62bb7d5d800b5p-7,0x1.62bb7d5d800b5p-7,0,True,62,62,4b2a6ab534841fc8,True
n128,2,0.016217895439318817,0x1.09b6c8a165879p-6,0x1.09b6c8a165879p-6,0,True,68,68,f0da73a9e8b1abc5,True
n128,3,0.018909301628650666,0x1.35cf5c0574cddp-6,0x1.35cf5c0574cddp-6,0,True,80,80,085fe82af1ae12d1,True
n128,4,0.29694287258509261,0x1.3011cada2210fp-2,0x1.3011cada2210fp-2,0,True,74,74,a2b10508afaff74c,True
n128,5,0.55624611580581618,0x1.1ccc4a77d375fp-1,0x1.1ccc4a77d375fp-1,0,True,80,80,7455ea9fffa95e39,True
n128,6,0.65735984556962823,0x1.5091783cd9af1p-1,0x1.5091783cd9af1p-1,0,True,74,74,2db37c60ec3c806c,True
n128,7,7.8653978277895247,0x1.f762ad9218ab3p+2,0x1.f762ad9218ab3p+2,0,True,68,68,f0da73a9e8b1abc5,True
n128,8,8.6709088516492265,0x1.157815d70dc56p+3,0x1.157815d70dc56p+3,0,True,74,74,a2b10508afaff74c,True
n128,9,9.9557059834818684,0x1.3e9524b6f4ad3p+3,0x1.3e9524b6f4ad3p+3,0,True,86,86,2fc5e59309ccc39c,True
n128,10,10.596757066309799,0x1.5318a2466ea3cp+3,0x1.5318a2466ea3cp+3,0,True,92,92,94b47fd38c3bbb7b,True
n128,11,11.329032128775149,0x1.6a876e630d855p+3,0x1.6a876e630d855p+3,0,True,98,98,2b4fc352acbf2842,True
n128,12,12.427511870919197,0x1.8dae2d6007fdcp+3,0x1.8dae2d6007fdcp+3,0,True,104,104,904b570922a3cea7,True
n128,13,12.724120363209074,0x1.972bfe77cb384p+3,0x1.972bfe77cb384p+3,0,True,110,110,46352f2c3a3bdc7e,True
n128,14,13.716854732457659,0x1.b6f07955fc6e6p+3,0x1.b6f07955fc6e6p+3,0,True,116,116,5e4d0c80887fe4a3,True
n128,15,14.08065840205464,0x1.c294c0eddf1d1p+3,0x1.c294c0eddf1d1p+3,0,True,122,122,e5d1832cb2ebe490,True
n128,16,14.18997505939085,0x1.c61446936475ap+3,0x1.c61446936475ap+3,0,True,128,128,b20e015bed647b1d,True
n128,17,14.365600820741417,0x1.cbb3007e0f346p+3,0x1.cbb3007e0f346p+3,0,True,134,134,18d809b4de4de022,True
n128,18,15.436067641362223,0x1.edf444204fd3dp+3,0x1.edf444204fd3dp+3,0,True,140,140,60831b3b28350bfb,True
n128,19,15.680761326628451,0x1.f5c8cbfa48065p+3,0x1.f5c8cbfa48065p+3,0,True,146,146,97deeedecf6f05d9,True
n128,20,16.363737695946131,0x1.05d1de9e46939p+4,0x1.05d1de9e46939p+4,0,True,140,140,bfeea824d6c015ce,True
n128,21,16.723150410637871,0x1.0b92062a3c754p+4,0x1.0b92062a3c754p+4,0,True,146,146,b20c09f340a60d8f,True
n128,22,16.754258279583699,0x1.0c11712138c99p+4,0x1.0c11712138c99p+4,0,True,152,152,7ba54ad7b7d196b2,True
n128,23,16.756813864769391,0x1.0c1be8dae580ap+4,0x1.0c1be8dae580ap+4,0,True,158,158,9342edfae89f4827,True
