scheme,time,dt,C-norm2,H-norm2,M-norm2,Z-norm2,max_abs_K,nmb_total,maxAbsKret,maxRefLev,cycle,axisLapse,axisTau,axisKret
O4,0.0,0.010825573171132733,0.006788026301282291,0.00678452083299192,0.0,8.763670725927916e-07,0.0,32.0,92.71650721348777,0.0,0.0,0.6158873637484358,0.0,0.0005646155346164565
O4,0.021598514003002063,0.0026892123743513987,0.007845822036179215,0.007728341577199057,9.563895916996808e-06,2.6946885994267463e-05,0.01917588962437704,50.0,95.26977104836106,2.0,4.0,0.6158792140664933,0.01330220800039391,0.0005647271440046263
O4,0.0323339362027115,0.0026804678239990168,0.007703043888487468,0.0075583627831623985,3.761791208666081e-05,2.668234774026561e-05,0.02865191868854781,50.0,95.12997863152698,2.0,8.0,0.6158792153573134,0.019913931393885045,0.0005647320371933085
O4,0.043032267444340654,0.0026711535002255453,0.007481758412228403,0.0072942229319802165,8.178074487316474e-05,2.6279717977706666e-05,0.03806266046978171,50.0,94.93258805338193,2.0,12.0,0.6158792171711779,0.026502811253897883,0.000564736645474709
O4,0.05369155011141458,0.002661073242869494,0.007211945792940595,0.006971135100598365,0.0001366266750238421,2.5792966611983197e-05,0.04739625666285275,50.0,94.67942078106503,2.0,16.0,0.6158792194429223,0.03306764193025075,0.000564741159010134
O4,0.06431114897518597,0.0026509970039454286,0.00692779460419337,0.006629462989621989,0.00019574340998023483,2.528810551614114e-05,0.05664226426972573,50.0,94.38714916489158,2.0,20.0,0.6158792220977791,0.03960803220307104,0.0005647458443454737
O4,0.0748899401529913,0.0026410297163541375,0.006661752298120933,0.0063079882931028715,0.00025263434316663596,2.481243547129036e-05,0.06579012761707298,50.0,94.04695276473782,2.0,24.0,0.6158792250530256,0.04612328989980216,0.000564751040489777
O4,0.0854285202391188,0.002630793830705619,0.006439830310143676,0.006038385938510665,0.00030157678335918184,2.438654007038497e-05,0.07483117795842802,50.0,93.65655991819783,2.0,28.0,0.6158792282205638,0.05261378245294904,0.0005647571565321326
O4,0.09592755515941805,0.0026212511496685035,0.006279163308510419,0.005842042779663183,0.0003382730027306072,2.402601191913694e-05,0.08375726854310454,50.0,93.2161814039489,2.0,32.0,0.6158792315084517,0.05907991999391309,0.000564764663863053
O4,0.1063879499601375,0.0026114734300152717,0.006187331576905284,0.0057288874178618105,0.000360262306686038,2.3761201362210663e-05,0.09256098728766918,50.0,92.72597179669344,2.0,36.0,0.6158792348227742,0.06552225992239684,0.0005647740838745467
O4,0.11681122328123425,0.002602539776962658,0.006162816193490508,0.00569773976829884,0.000367066741467614,2.3627109451993505e-05,0.10123599865850536,50.0,92.18600166621972,2.0,40.0,0.6158792380695338,0.07194173753674729,0.0005647859700990101
O4,0.12719958661796965,0.00259376407606093,0.006196233248049387,0.00573775968013834,0.0003600846720530801,2.3636556941728384e-05,0.10977706530527492,50.0,91.59624845677729,2.0,44.0,0.6158792411563523,0.07833971484955735,0.0005648008852816151
O4,0.1375539178901681,0.0025855884534247025,0.006272179234982794,0.00583069442767055,0.0003422768488112629,2.375851097976707e-05,0.11817830005709153,50.0,90.95677041844165,2.0,48.0,0.6158792439935035,0.08471673255107853,0.0005648193716276766
O4,0.14787775436015246,0.0025782605274140475,0.006371642330202488,0.005953725245398713,0.00031768623076132446,2.392978002350957e-05,0.1264362970036753,50.0,90.26858538811257,2.0,52.0,0.6158792464966146,0.09107496916454233,0.0005648419303108011
O4,0.15817222291128652,0.0025709441386583295,0.0064746201205529335,0.006082491138324373,0.0002908810597443858,2.4093370947324525e-05,0.13454589664856045,50.0,89.57622294272801,2.0,56.0,0.6158792485868341,0.09741511871001392,0.0005648689877381223
O4,0.16843965967957042,0.0025645176997811307,0.006562620816375367,0.006194076745234429,0.0002663709762238102,2.4223422307900457e-05,0.14250302170875997,50.0,88.84580515330217,2.0,60.0,0.6158792501933444,0.10373861996043575,0.0005649008825219597
O4,0.17868355457709278,0.002558953426554659,0.006620558139386629,0.006269456989921534,0.0002480927735802675,2.431693621546086e-05,0.15030448417834202,50.0,88.07661649573924,2.0,64.0,0.6158792512546021,0.11004762227487362,0.000564937855241426
O4,0.18890536452767168,0.0025534465432653993,0.006637882853742732,0.00629512329940193,0.0002390225923379262,2.4367566361273413e-05,0.1579454885761495,50.0,87.26776095186428,2.0,68.0,0.6158792517194176,0.1163430229365716,0.0005649800319296376
O4,0.19910718260963192,0.0025487632119642486,0.006609095823708637,0.0062639076927586985,0.00024092607323168596,2.4350536735665176e-05,0.16542169423218048,50.0,86.41798337672766,2.0,72.0,0.6158792515488742,0.12262611102271581,0.0005650274331213262
O4,0.20929232116800095,0.002544898188513239,0.006533725114428719,0.006175004454352254,0.0002542830872045755,2.423025844391111e-05,0.17272961313274945,50.0,85.52565890955381,2.0,76.0,0.6158792507174765,0.12889892653126517,0.0005650799852419862
O4,0.2194635504060895,0.0025415177256790564,0.006415984448164132,0.006033459798575022,0.00027836335836580063,2.3983353187787617e-05,0.17986535456191513,50.0,84.58906228603227,2.0,80.0,0.6158792492143967,0.13516317556618634,0.0005651375230657695
