target_gid,direction,velocity,inverse_dx,order,block_local,stitched_owner,difference,ulp_difference
23,rho,0,64,2,0,0,0,0
23,rho,0,64,4,0,0,0,0
23,rho,0,64,6,0,0,0,0
23,z,0,64,2,-0,-0,0,0
23,z,0,64,4,-0,-0,0,0
23,z,0,64,6,0,nan,nan,9223372036854775807
23,rho,0,64,2,-0,-0,0,0
23,rho,0,64,4,-0,-0,0,0
23,rho,0,64,6,-0,-0,0,0
23,z,0,64,2,-0,-0,0,0
23,z,0,64,4,-0,-0,0,0
23,z,0,64,6,0,nan,nan,9223372036854775807
44,rho,0,64,2,0,0,0,0
44,rho,0,64,4,0,0,0,0
44,rho,0,64,6,0,0,0,0
44,z,0,64,2,-0,nan,nan,9223372036854775807
44,z,0,64,4,-0,nan,nan,9223372036854775807
44,z,0,64,6,-0,nan,nan,9223372036854775807
44,rho,0,64,2,-0,-0,0,0
44,rho,0,64,4,-0,-0,0,0
44,rho,0,64,6,-0,-0,0,0
44,z,0,64,2,-0,nan,nan,9223372036854775807
44,z,0,64,4,-0,nan,nan,9223372036854775807
44,z,0,64,6,-0,nan,nan,9223372036854775807
