cycle,time_hex,rk_stage,checkpoint,tree_checksum,active_fine_min,active_min_gid,active_min_i,active_min_j,active_min_rho,active_min_z,active_nonpositive,active_nonfinite,consumed_coarse_min,coarse_min_gid,coarse_min_i,coarse_min_j,coarse_min_rho,coarse_min_z,coarse_nonpositive,coarse_nonfinite,consumed_coarse_cells
0,0x0p+0,1,S0_AFTER_EXP_RK_UPDATE,e67d481b22cfb435,0.33183298473008194,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,1,S1_AFTER_RESTRICT_U,e67d481b22cfb435,0.33183298473008194,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,1,S2_AFTER_RECV_U,e67d481b22cfb435,0.33183298473008194,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,1,S3_AFTER_PHYSICAL_AXIS_BC,e67d481b22cfb435,0.33183298473008194,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,1,S4_BEFORE_PARENT_STENCIL_GATE,e67d481b22cfb435,0.33183298473008194,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,2,S0_AFTER_EXP_RK_UPDATE,e67d481b22cfb435,0.33183327348043479,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,2,S1_AFTER_RESTRICT_U,e67d481b22cfb435,0.33183327348043479,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,2,S2_AFTER_RECV_U,e67d481b22cfb435,0.33183327348043479,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,2,S3_AFTER_PHYSICAL_AXIS_BC,e67d481b22cfb435,0.33183327348043479,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,2,S4_BEFORE_PARENT_STENCIL_GATE,e67d481b22cfb435,0.33183327348043479,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,3,S0_AFTER_EXP_RK_UPDATE,e67d481b22cfb435,0.33183371678154538,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,3,S1_AFTER_RESTRICT_U,e67d481b22cfb435,0.33183371678154538,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,3,S2_AFTER_RECV_U,e67d481b22cfb435,0.33183371678154538,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,3,S3_AFTER_PHYSICAL_AXIS_BC,e67d481b22cfb435,0.33183371678154538,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,3,S4_BEFORE_PARENT_STENCIL_GATE,e67d481b22cfb435,0.33183371678154538,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,4,S0_AFTER_EXP_RK_UPDATE,e67d481b22cfb435,0.33183420222877485,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,4,S1_AFTER_RESTRICT_U,e67d481b22cfb435,0.33183420222877485,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,4,S2_AFTER_RECV_U,e67d481b22cfb435,0.33183420222877485,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,4,S3_AFTER_PHYSICAL_AXIS_BC,e67d481b22cfb435,0.33183420222877485,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
0,0x0p+0,4,S4_BEFORE_PARENT_STENCIL_GATE,e67d481b22cfb435,0.33183420222877485,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,1,S0_AFTER_EXP_RK_UPDATE,e67d481b22cfb435,0.33183710839936698,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,1,S1_AFTER_RESTRICT_U,e67d481b22cfb435,0.33183710839936698,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,1,S2_AFTER_RECV_U,e67d481b22cfb435,0.33183710839936698,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,1,S3_AFTER_PHYSICAL_AXIS_BC,e67d481b22cfb435,0.33183710839936698,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,1,S4_BEFORE_PARENT_STENCIL_GATE,e67d481b22cfb435,0.33183710839936698,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,2,S0_AFTER_EXP_RK_UPDATE,e67d481b22cfb435,0.33183554090905282,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,2,S1_AFTER_RESTRICT_U,e67d481b22cfb435,0.33183554090905282,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,2,S2_AFTER_RECV_U,e67d481b22cfb435,0.33183554090905282,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,2,S3_AFTER_PHYSICAL_AXIS_BC,e67d481b22cfb435,0.33183554090905282,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,2,S4_BEFORE_PARENT_STENCIL_GATE,e67d481b22cfb435,0.33183554090905282,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,3,S0_AFTER_EXP_RK_UPDATE,e67d481b22cfb435,0.331837367993501,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,3,S1_AFTER_RESTRICT_U,e67d481b22cfb435,0.331837367993501,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,3,S2_AFTER_RECV_U,e67d481b22cfb435,0.331837367993501,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,3,S3_AFTER_PHYSICAL_AXIS_BC,e67d481b22cfb435,0.331837367993501,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,3,S4_BEFORE_PARENT_STENCIL_GATE,e67d481b22cfb435,0.331837367993501,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,4,S0_AFTER_EXP_RK_UPDATE,e67d481b22cfb435,0.3318378530692741,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,4,S1_AFTER_RESTRICT_U,e67d481b22cfb435,0.3318378530692741,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,4,S2_AFTER_RECV_U,e67d481b22cfb435,0.3318378530692741,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,4,S3_AFTER_PHYSICAL_AXIS_BC,e67d481b22cfb435,0.3318378530692741,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
1,0x1.3333333333333p-6,4,S4_BEFORE_PARENT_STENCIL_GATE,e67d481b22cfb435,0.3318378530692741,2,33,67,3.6875,-0.0625,0,0,inf,0,0,0,-0.875,-16.875,0,0,0
2,0x1.3333333333333p-5,1,S0_AFTER_EXP_RK_UPDATE,c06467c519b4501d,0.33172492795610553,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
2,0x1.3333333333333p-5,1,S1_AFTER_RESTRICT_U,c06467c519b4501d,0.33172492795610553,16,62,4,3.65625,0.03125,0,0,inf,0,0,0,-0.4375,-16.4375,0,0,0
