cycle,time_hex,rk_stage,tree_checksum,gamma0,gamma1,beta_stage,dt,dt_hex,candidate_min,min_gid,min_i,min_j,min_rho,min_z,nonpositive,nonfinite
0,0x0p+0,1,e67d481b22cfb435,0,1,1.1937439059747379,0.018749999999999999,0x1.3333333333333p-6,0.33183298473008194,2,33,67,3.6875,-0.0625,0,0
0,0x0p+0,2,e67d481b22cfb435,0.121098479554482,0.72178167811141103,0.099279895495783005,0.018749999999999999,0x1.3333333333333p-6,0.33183327348043479,2,33,67,3.6875,-0.0625,0,0
0,0x0p+0,3,e67d481b22cfb435,-3.8438336996600251,2.121209265338722,1.131678018054042,0.018749999999999999,0x1.3333333333333p-6,0.33183371678154538,2,33,67,3.6875,-0.0625,0,0
0,0x0p+0,4,e67d481b22cfb435,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.018749999999999999,0x1.3333333333333p-6,0.33183420222877485,2,33,67,3.6875,-0.0625,0,0
1,0x1.3333333333333p-6,1,e67d481b22cfb435,0,1,1.1937439059747379,0.018749999999999999,0x1.3333333333333p-6,0.33183710839936698,2,33,67,3.6875,-0.0625,0,0
1,0x1.3333333333333p-6,2,e67d481b22cfb435,0.121098479554482,0.72178167811141103,0.099279895495783005,0.018749999999999999,0x1.3333333333333p-6,0.33183554090905282,2,33,67,3.6875,-0.0625,0,0
1,0x1.3333333333333p-6,3,e67d481b22cfb435,-3.8438336996600251,2.121209265338722,1.131678018054042,0.018749999999999999,0x1.3333333333333p-6,0.331837367993501,2,33,67,3.6875,-0.0625,0,0
1,0x1.3333333333333p-6,4,e67d481b22cfb435,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.018749999999999999,0x1.3333333333333p-6,0.3318378530692741,2,33,67,3.6875,-0.0625,0,0
2,0x1.3333333333333p-5,1,c06467c519b4501d,0,1,1.1937439059747379,0.0093749999999999997,0x1.3333333333333p-7,0.33172492795610553,16,62,4,3.65625,0.03125,0,0
2,0x1.3333333333333p-5,2,c06467c519b4501d,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0093749999999999997,0x1.3333333333333p-7,0.33172318159711534,16,62,4,3.65625,0.03125,0,0
2,0x1.3333333333333p-5,3,c06467c519b4501d,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0093749999999999997,0x1.3333333333333p-7,0.33172464803382823,16,62,4,3.65625,0.03125,0,0
2,0x1.3333333333333p-5,4,c06467c519b4501d,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0093749999999999997,0x1.3333333333333p-7,0.33172476888604313,10,62,67,3.65625,-0.03125,0,0
3,0x1.8p-5,1,c06467c519b4501d,0,1,1.1937439059747379,0.0093749999999999944,0x1.333333333333p-7,0.33172833927493073,10,62,67,3.65625,-0.03125,0,0
3,0x1.8p-5,2,c06467c519b4501d,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0093749999999999944,0x1.333333333333p-7,0.33172613091968312,10,62,67,3.65625,-0.03125,0,0
3,0x1.8p-5,3,c06467c519b4501d,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0093749999999999944,0x1.333333333333p-7,0.33172794165635655,10,62,67,3.65625,-0.03125,0,0
3,0x1.8p-5,4,c06467c519b4501d,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0093749999999999944,0x1.333333333333p-7,0.33172806232084018,10,62,67,3.65625,-0.03125,0,0
4,0x1.cccccccccccccp-5,1,4b2a6ab534841fc8,0,1,1.1937439059747379,0.0046874999999999998,0x1.3333333333333p-8,0.33171867729531068,32,56,4,3.640625,0.015625,0,0
4,0x1.cccccccccccccp-5,2,4b2a6ab534841fc8,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0046874999999999998,0x1.3333333333333p-8,0.33171734189002433,19,56,67,3.640625,-0.015625,0,0
4,0x1.cccccccccccccp-5,3,4b2a6ab534841fc8,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0046874999999999998,0x1.3333333333333p-8,0.33171837862988796,32,56,4,3.640625,0.015625,0,0
4,0x1.cccccccccccccp-5,4,4b2a6ab534841fc8,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0046874999999999998,0x1.3333333333333p-8,0.33171840865283198,32,56,4,3.640625,0.015625,0,0
5,0x1.f333333333332p-5,1,4b2a6ab534841fc8,0,1,1.1937439059747379,0.0046874999999999998,0x1.3333333333333p-8,0.33172070738861825,32,56,4,3.640625,0.015625,0,0
5,0x1.f333333333332p-5,2,4b2a6ab534841fc8,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0046874999999999998,0x1.3333333333333p-8,0.33171925721050188,32,56,4,3.640625,0.015625,0,0
5,0x1.f333333333332p-5,3,4b2a6ab534841fc8,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0046874999999999998,0x1.3333333333333p-8,0.3317203795018821,19,56,67,3.640625,-0.015625,0,0
5,0x1.f333333333332p-5,4,4b2a6ab534841fc8,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0046874999999999998,0x1.3333333333333p-8,0.33172040948939907,32,56,4,3.640625,0.015625,0,0
6,0x1.0ccccccccccccp-4,1,f0da73a9e8b1abc5,0,1,1.1937439059747379,0.0023437499999999999,0x1.3333333333333p-9,0.33172164858602854,35,56,4,3.640625,0.015625,0,0
6,0x1.0ccccccccccccp-4,2,f0da73a9e8b1abc5,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0023437499999999999,0x1.3333333333333p-9,0.33172086173120513,35,56,4,3.640625,0.015625,0,0
6,0x1.0ccccccccccccp-4,3,f0da73a9e8b1abc5,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0023437499999999999,0x1.3333333333333p-9,0.33172145876631737,35,56,4,3.640625,0.015625,0,0
6,0x1.0ccccccccccccp-4,4,f0da73a9e8b1abc5,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0023437499999999999,0x1.3333333333333p-9,0.3317214662532858,35,56,4,3.640625,0.015625,0,0
7,0x1.1666666666666p-4,1,f0da73a9e8b1abc5,0,1,1.1937439059747379,0.0023437499999999917,0x1.333333333332p-9,0.33172275016113012,35,56,4,3.640625,0.015625,0,0
7,0x1.1666666666666p-4,2,f0da73a9e8b1abc5,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0023437499999999917,0x1.333333333332p-9,0.33172193468536865,35,56,4,3.640625,0.015625,0,0
7,0x1.1666666666666p-4,3,f0da73a9e8b1abc5,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0023437499999999917,0x1.333333333332p-9,0.33172255305846005,35,56,4,3.640625,0.015625,0,0
7,0x1.1666666666666p-4,4,f0da73a9e8b1abc5,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0023437499999999917,0x1.333333333332p-9,0.33172256053888349,35,56,4,3.640625,0.015625,0,0
8,0x1.1ffffffffffffp-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33171775250953844,42,45,4,3.6484375,0.0078125,0,0
8,0x1.1ffffffffffffp-4,2,085fe82af1ae12d1,0.121098479554482,0.72178167811141103,0.099279895495783005,0.001171875,0x1.3333333333333p-10,0.3317173260059248,42,45,4,3.6484375,0.0078125,0,0
8,0x1.1ffffffffffffp-4,3,085fe82af1ae12d1,-3.8438336996600251,2.121209265338722,1.131678018054042,0.001171875,0x1.3333333333333p-10,0.33171764666977238,42,45,4,3.6484375,0.0078125,0,0
8,0x1.1ffffffffffffp-4,4,085fe82af1ae12d1,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.001171875,0x1.3333333333333p-10,0.33171764855215313,42,45,4,3.6484375,0.0078125,0,0
9,0x1.24cccccccccccp-4,1,085fe82af1ae12d1,0,1,1.1937439059747379,0.001171875,0x1.3333333333333p-10,0.33171832942913937,42,45,4,3.6484375,0.0078125,0,0
