cycle,time,rk_stage,max_abs_prescribed_shift_state
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
1,0.018749999999999999,1,0
1,0.018749999999999999,2,0
1,0.018749999999999999,3,0
1,0.018749999999999999,4,0
2,0.028124999999999997,1,0
2,0.028124999999999997,2,0
2,0.028124999999999997,3,0
2,0.028124999999999997,4,0
3,0.032812499999999994,1,0
3,0.032812499999999994,2,0
3,0.032812499999999994,3,0
3,0.032812499999999994,4,0
4,0.035156249999999993,1,0
4,0.035156249999999993,2,0
4,0.035156249999999993,3,0
4,0.035156249999999993,4,0
5,0.037499999999999992,1,0
5,0.037499999999999992,2,0
5,0.037499999999999992,3,0
5,0.037499999999999992,4,0
6,0.03984374999999999,1,0
6,0.03984374999999999,2,0
6,0.03984374999999999,3,0
6,0.03984374999999999,4,0
7,0.042187499999999989,1,0
7,0.042187499999999989,2,0
7,0.042187499999999989,3,0
7,0.042187499999999989,4,0
8,0.044531249999999988,1,0
8,0.044531249999999988,2,0
8,0.044531249999999988,3,0
8,0.044531249999999988,4,0
9,0.046874999999999986,1,0
9,0.046874999999999986,2,0
9,0.046874999999999986,3,0
9,0.046874999999999986,4,0
10,0.049218749999999985,1,0
10,0.049218749999999985,2,0
10,0.049218749999999985,3,0
10,0.049218749999999985,4,0
11,0.051562499999999983,1,0
11,0.051562499999999983,2,0
11,0.051562499999999983,3,0
11,0.051562499999999983,4,0
12,0.053906249999999982,1,0
12,0.053906249999999982,2,0
12,0.053906249999999982,3,0
12,0.053906249999999982,4,0
13,0.056249999999999981,1,0
13,0.056249999999999981,2,0
13,0.056249999999999981,3,0
13,0.056249999999999981,4,0
14,0.058593749999999979,1,0
14,0.058593749999999979,2,0
14,0.058593749999999979,3,0
14,0.058593749999999979,4,0
15,0.060937499999999978,1,0
15,0.060937499999999978,2,0
15,0.060937499999999978,3,0
15,0.060937499999999978,4,0
16,0.063281249999999983,1,0
16,0.063281249999999983,2,0
16,0.063281249999999983,3,0
16,0.063281249999999983,4,0
17,0.065624999999999989,1,0
17,0.065624999999999989,2,0
17,0.065624999999999989,3,0
17,0.065624999999999989,4,0
18,0.067968749999999994,1,0
18,0.067968749999999994,2,0
18,0.067968749999999994,3,0
18,0.067968749999999994,4,0
19,0.0703125,1,0
19,0.0703125,2,0
19,0.0703125,3,0
19,0.0703125,4,0
20,0.072656250000000006,1,0
20,0.072656250000000006,2,0
20,0.072656250000000006,3,0
20,0.072656250000000006,4,0
21,0.075000000000000011,1,0
21,0.075000000000000011,2,0
21,0.075000000000000011,3,0
21,0.075000000000000011,4,0
22,0.077343750000000017,1,0
22,0.077343750000000017,2,0
22,0.077343750000000017,3,0
22,0.077343750000000017,4,0
23,0.079687500000000022,1,0
23,0.079687500000000022,2,0
23,0.079687500000000022,3,0
23,0.079687500000000022,4,0
24,0.082031250000000028,1,0
24,0.082031250000000028,2,0
24,0.082031250000000028,3,0
24,0.082031250000000028,4,0
25,0.084375000000000033,1,0
25,0.084375000000000033,2,0
25,0.084375000000000033,3,0
25,0.084375000000000033,4,0
26,0.086718750000000039,1,0
26,0.086718750000000039,2,0
26,0.086718750000000039,3,0
26,0.086718750000000039,4,0
27,0.089062500000000044,1,0
27,0.089062500000000044,2,0
27,0.089062500000000044,3,0
27,0.089062500000000044,4,0
28,0.09140625000000005,1,0
28,0.09140625000000005,2,0
28,0.09140625000000005,3,0
28,0.09140625000000005,4,0
29,0.093750000000000056,1,0
29,0.093750000000000056,2,0
29,0.093750000000000056,3,0
29,0.093750000000000056,4,0
30,0.096093750000000061,1,0
30,0.096093750000000061,2,0
30,0.096093750000000061,3,0
30,0.096093750000000061,4,0
31,0.098437500000000067,1,0
31,0.098437500000000067,2,0
31,0.098437500000000067,3,0
31,0.098437500000000067,4,0
32,0.10078125000000007,1,0
32,0.10078125000000007,2,0
32,0.10078125000000007,3,0
32,0.10078125000000007,4,0
33,0.10312500000000008,1,0
33,0.10312500000000008,2,0
33,0.10312500000000008,3,0
33,0.10312500000000008,4,0
34,0.10546875000000008,1,0
34,0.10546875000000008,2,0
34,0.10546875000000008,3,0
34,0.10546875000000008,4,0
35,0.10781250000000009,1,0
35,0.10781250000000009,2,0
35,0.10781250000000009,3,0
35,0.10781250000000009,4,0
36,0.11015625000000009,1,0
36,0.11015625000000009,2,0
36,0.11015625000000009,3,0
36,0.11015625000000009,4,0
37,0.1125000000000001,1,0
37,0.1125000000000001,2,0
37,0.1125000000000001,3,0
37,0.1125000000000001,4,0
38,0.11484375000000011,1,0
38,0.11484375000000011,2,0
38,0.11484375000000011,3,0
38,0.11484375000000011,4,0
39,0.11718750000000011,1,0
39,0.11718750000000011,2,0
39,0.11718750000000011,3,0
39,0.11718750000000011,4,0
40,0.11953125000000012,1,0
40,0.11953125000000012,2,0
40,0.11953125000000012,3,0
40,0.11953125000000012,4,0
41,0.12187500000000012,1,0
41,0.12187500000000012,2,0
41,0.12187500000000012,3,0
41,0.12187500000000012,4,0
42,0.12421875000000013,1,0
42,0.12421875000000013,2,0
42,0.12421875000000013,3,0
42,0.12421875000000013,4,0
43,0.12656250000000013,1,0
43,0.12656250000000013,2,0
43,0.12656250000000013,3,0
43,0.12656250000000013,4,0
44,0.12890625000000014,1,0
44,0.12890625000000014,2,0
44,0.12890625000000014,3,0
44,0.12890625000000014,4,0
45,0.13125000000000014,1,0
