cycle,time_hex,rk_stage,tree_checksum,gamma0,gamma1,beta_stage,dt,dt_hex,candidate_min,min_gid,min_i,min_j,min_rho,min_z,nonpositive,nonfinite
0,0x0p+0,1,e67d481b22cfb435,0,1,1.1937439059747379,0.018749999999999999,0x1.3333333333333p-6,0.33183298473008194,2,33,67,3.6875,-0.0625,0,0
0,0x0p+0,2,e67d481b22cfb435,0.121098479554482,0.72178167811141103,0.099279895495783005,0.018749999999999999,0x1.3333333333333p-6,0.33183327348043479,2,33,67,3.6875,-0.0625,0,0
0,0x0p+0,3,e67d481b22cfb435,-3.8438336996600251,2.121209265338722,1.131678018054042,0.018749999999999999,0x1.3333333333333p-6,0.33183371678154538,2,33,67,3.6875,-0.0625,0,0
0,0x0p+0,4,e67d481b22cfb435,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.018749999999999999,0x1.3333333333333p-6,0.33183420222877485,2,33,67,3.6875,-0.0625,0,0
1,0x1.3333333333333p-6,1,3f3ca37c524c6001,0,1,1.1937439059747379,0.0093749999999999997,0x1.3333333333333p-7,0.33171992909908404,10,62,4,3.65625,0.03125,0,0
1,0x1.3333333333333p-6,2,3f3ca37c524c6001,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0093749999999999997,0x1.3333333333333p-7,0.33171909115397641,4,62,67,3.65625,-0.03125,0,0
1,0x1.3333333333333p-6,3,3f3ca37c524c6001,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0093749999999999997,0x1.3333333333333p-7,0.33171988032788563,4,62,67,3.65625,-0.03125,0,0
1,0x1.3333333333333p-6,4,3f3ca37c524c6001,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0093749999999999997,0x1.3333333333333p-7,0.33172000137260466,4,62,67,3.65625,-0.03125,0,0
2,0x1.cccccccccccccp-6,1,13c904ccc25f6b34,0,1,1.1937439059747379,0.0046874999999999998,0x1.3333333333333p-8,0.33172107604685919,4,62,67,3.65625,-0.03125,0,0
2,0x1.cccccccccccccp-6,2,13c904ccc25f6b34,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0046874999999999998,0x1.3333333333333p-8,0.33172040771738087,4,62,67,3.65625,-0.03125,0,0
2,0x1.cccccccccccccp-6,3,13c904ccc25f6b34,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0046874999999999998,0x1.3333333333333p-8,0.33172094720449935,4,62,67,3.65625,-0.03125,0,0
2,0x1.cccccccccccccp-6,4,13c904ccc25f6b34,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0046874999999999998,0x1.3333333333333p-8,0.33172097744023948,4,62,67,3.65625,-0.03125,0,0
3,0x1.0ccccccccccccp-5,1,780255f2b66ca8c4,0,1,1.1937439059747379,0.0023437499999999999,0x1.3333333333333p-9,0.33171018033659411,20,56,4,3.640625,0.015625,0,0
3,0x1.0ccccccccccccp-5,2,780255f2b66ca8c4,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0023437499999999999,0x1.3333333333333p-9,0.33170978906563148,20,56,4,3.640625,0.015625,0,0
3,0x1.0ccccccccccccp-5,3,780255f2b66ca8c4,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0023437499999999999,0x1.3333333333333p-9,0.33171009111329913,7,56,67,3.640625,-0.015625,0,0
3,0x1.0ccccccccccccp-5,4,780255f2b66ca8c4,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0023437499999999999,0x1.3333333333333p-9,0.33171009864447099,7,56,67,3.640625,-0.015625,0,0
4,0x1.1ffffffffffffp-5,1,780255f2b66ca8c4,0,1,1.1937439059747379,0.0023437499999999999,0x1.3333333333333p-9,0.33171076342466477,7,56,67,3.640625,-0.015625,0,0
4,0x1.1ffffffffffffp-5,2,780255f2b66ca8c4,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0023437499999999999,0x1.3333333333333p-9,0.33171034336122956,7,56,67,3.640625,-0.015625,0,0
4,0x1.1ffffffffffffp-5,3,780255f2b66ca8c4,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0023437499999999999,0x1.3333333333333p-9,0.33171066688009881,7,56,67,3.640625,-0.015625,0,0
4,0x1.1ffffffffffffp-5,4,780255f2b66ca8c4,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0023437499999999999,0x1.3333333333333p-9,0.33171067440862911,7,56,67,3.640625,-0.015625,0,0
5,0x1.3333333333332p-5,1,780255f2b66ca8c4,0,1,1.1937439059747379,0.0023437499999999999,0x1.3333333333333p-9,0.331711384255169,7,56,67,3.640625,-0.015625,0,0
5,0x1.3333333333332p-5,2,780255f2b66ca8c4,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0023437499999999999,0x1.3333333333333p-9,0.33171093540980112,7,56,67,3.640625,-0.015625,0,0
5,0x1.3333333333332p-5,3,780255f2b66ca8c4,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0023437499999999999,0x1.3333333333333p-9,0.33171128039112718,7,56,67,3.640625,-0.015625,0,0
5,0x1.3333333333332p-5,4,780255f2b66ca8c4,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0023437499999999999,0x1.3333333333333p-9,0.33171128791636345,7,56,67,3.640625,-0.015625,0,0
6,0x1.4666666666665p-5,1,780255f2b66ca8c4,0,1,1.1937439059747379,0.0023437499999999999,0x1.3333333333333p-9,0.33171204280823791,7,56,67,3.640625,-0.015625,0,0
6,0x1.4666666666665p-5,2,780255f2b66ca8c4,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0023437499999999999,0x1.3333333333333p-9,0.33171156519396999,7,56,67,3.640625,-0.015625,0,0
6,0x1.4666666666665p-5,3,780255f2b66ca8c4,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0023437499999999999,0x1.3333333333333p-9,0.33171193162715568,7,56,67,3.640625,-0.015625,0,0
6,0x1.4666666666665p-5,4,780255f2b66ca8c4,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0023437499999999999,0x1.3333333333333p-9,0.33171193914845049,7,56,67,3.640625,-0.015625,0,0
7,0x1.5999999999998p-5,1,780255f2b66ca8c4,0,1,1.1937439059747379,0.0023437499999999999,0x1.3333333333333p-9,0.33171273906078202,7,56,67,3.640625,-0.015625,0,0
7,0x1.5999999999998p-5,2,780255f2b66ca8c4,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0023437499999999999,0x1.3333333333333p-9,0.3317122326931195,7,56,67,3.640625,-0.015625,0,0
7,0x1.5999999999998p-5,3,780255f2b66ca8c4,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0023437499999999999,0x1.3333333333333p-9,0.33171262056573364,7,56,67,3.640625,-0.015625,0,0
7,0x1.5999999999998p-5,4,780255f2b66ca8c4,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0023437499999999999,0x1.3333333333333p-9,0.33171262808244639,7,56,67,3.640625,-0.015625,0,0
8,0x1.6cccccccccccbp-5,1,780255f2b66ca8c4,0,1,1.1937439059747379,0.0023437499999999999,0x1.3333333333333p-9,0.33171347298653703,7,56,67,3.640625,-0.015625,0,0
8,0x1.6cccccccccccbp-5,2,780255f2b66ca8c4,0.121098479554482,0.72178167811141103,0.099279895495783005,0.0023437499999999999,0x1.3333333333333p-9,0.33171293788343015,7,56,67,3.640625,-0.015625,0,0
8,0x1.6cccccccccccbp-5,3,780255f2b66ca8c4,-3.8438336996600251,2.121209265338722,1.131678018054042,0.0023437499999999999,0x1.3333333333333p-9,0.33171334718123158,7,56,67,3.640625,-0.015625,0,0
8,0x1.6cccccccccccbp-5,4,780255f2b66ca8c4,0.54637089112186299,0.19865303568270501,0.31066576650933603,0.0023437499999999999,0x1.3333333333333p-9,0.3317133546927305,7,56,67,3.640625,-0.015625,0,0
9,0x1.7fffffffffffep-5,1,780255f2b66ca8c4,0,1,1.1937439059747379,0.0023437499999999999,0x1.3333333333333p-9,0.33171424455611898,7,56,67,3.640625,-0.015625,0,0
