domain,axisTau,region,field,n128,n256,n512,p_128_256,p_256_512,p_self
Rout16,3.98614742555601,R4,C,0.013480062821262634,8.465296447703448e-05,3.717430461872068e-07,7.315050913606055,7.831111025245689,7.3123117860690465
Rout16,3.98614742555601,R4,H,0.008550494726383164,5.558938857590384e-05,2.4426566033383965e-07,7.265054571574882,7.830214644770081,7.261997870295903
Rout16,3.98614742555601,R4,M,0.0024698616312140015,1.5762635045069186e-05,7.093296759074417e-08,7.29177767912667,7.795836709198154,7.289047787191136
Rout16,3.98614742555601,R4,Z,0.0004702324643340207,2.4707090633133415e-06,1.0431198035474121e-08,7.572305197206221,7.887876464245945,7.570808836289896
Rout16,3.98614742555601,R8,C,0.04844766374253969,0.001162070842905174,3.342640660802318e-05,5.3816571702211675,5.119565940419801,5.38873772451708
Rout16,3.98614742555601,R8,H,0.020559267511378508,0.00020928687936084116,1.7511921785694893e-06,6.618163185858932,6.901000642515408,6.615524172108703
Rout16,3.98614742555601,R8,M,0.007919856145745644,0.00037814597284259243,1.9762594153190167e-05,4.3884590660160585,4.258099013650258,4.395316075013491
Rout16,3.98614742555601,R8,Z,0.0027676530308515753,2.999698628670998e-05,4.438366805003153e-07,6.5277017149419985,6.0786448514903535,6.533485496675838
Rout16,3.98614742555601,R12,C,0.0535284632034111,0.0012001566806680937,3.580197773970638e-05,5.479011566287668,5.067039666283356,5.489989045033952
Rout16,3.98614742555601,R12,H,0.021421966965738094,0.00021809440817544798,3.3311861311948347e-06,6.617994363732958,6.03277300293811,6.625437009837287
Rout16,3.98614742555601,R12,M,0.008600886264092042,0.00038689412270499746,2.022954354097446e-05,4.474474609466915,4.2574031405846435,4.485550757571112
Rout16,3.98614742555601,R12,Z,0.003558255698533746,3.457497885947128e-05,5.225604256924973e-07,6.685298007840308,6.047986687756262,6.693182134122681
Rout16,3.98614742555601,R14,C,0.05364707286007694,0.0013142445455560509,0.0001404163798181769,5.351193803013441,3.226450603885699,5.478423095256875
Rout16,3.98614742555601,R14,H,0.02144190938283709,0.00023622648914664807,2.119476712680101e-05,6.504118822254488,3.4783907294643566,6.623757627535792
Rout16,3.98614742555601,R14,M,0.008605014916410811,0.000390994163296917,2.4301908985704798e-05,4.459958716647702,4.008005520064171,4.485446895112484
Rout16,3.98614742555601,R14,Z,0.0035814074424872404,5.726537135423092e-05,2.1031175203113077e-05,5.966719849437312,1.4451335291916554,6.603776386793191
Rout16,3.98614742555601,full,C,0.05580143396944152,0.003281335909836149,0.0018063376295836867,4.087947001508069,0.8612157121203411,5.154084432366893
Rout16,3.98614742555601,full,H,0.02155806062366236,0.0003504860498519747,0.0001254981764848724,5.942726565163432,1.481690621146315,6.558588581123648
Rout16,3.98614742555601,full,M,0.008642785396812775,0.0004283243510300991,5.73494523499708e-05,4.33472073452446,2.900852084818301,4.468772444446328
Rout16,3.98614742555601,full,Z,0.004071227826381679,0.0005050658776968215,0.00040068959033846385,3.010920475571635,0.33398654648158294,5.09450632423265
Rout128,3.986147425556009,R4,C,0.013480062821346001,8.465296442417542e-05,3.717430464987996e-07,7.315050914515826,7.831111023135582,7.312311786993874
Rout128,3.986147425556009,R4,H,0.00855049472215347,5.558938873728582e-05,2.442656605043212e-07,7.265054566672921,7.830214647951473,7.2619978653478245
Rout128,3.986147425556009,R4,M,0.0024698616312125495,1.576263504153098e-05,7.093296753875806e-08,7.291777679449661,7.7958367099316535,7.289047787512886
Rout128,3.986147425556009,R4,Z,0.0004702324643352843,2.4707090633154654e-06,1.0431198023943397e-08,7.572305197208858,7.887876465841951,7.57080883628578
Rout128,3.986147425556009,R8,C,0.048447862276612345,0.001162072853983935,3.342641960233999e-05,5.381660585516131,5.119567876305378,5.388741166410835
Rout128,3.986147425556009,R8,H,0.020559274619830762,0.00020928694155975593,1.751192291390876e-06,6.618163255915652,6.901000978330102,6.6155242400522996
Rout128,3.986147425556009,R8,M,0.00791985544803866,0.0003781459753146929,1.9762594137067244e-05,4.388458929489002,4.258099024258762,4.395315931055891
Rout128,3.986147425556009,R8,Z,0.002767707003351028,2.9997544745403968e-05,4.4384031543661225e-07,6.527702990288675,6.078659894780703,6.533486560073962
Rout128,3.986147425556009,R12,C,0.053528035337551405,0.001198377604096842,3.384099631645498e-05,5.481140229329981,5.146166713476825,5.489800925713094
Rout128,3.986147425556009,R12,H,0.021421626042786638,0.0002167933128824218,1.916765252228937e-06,6.626603927495097,6.8215027865625055,6.624741261711746
Rout128,3.986147425556009,R12,M,0.008600725959275898,0.0003865969650333245,1.9890372502413532e-05,4.47555622126894,4.2806881117590665,4.485409495806782
Rout128,3.986147425556009,R12,Z,0.003558281161876204,3.453063506958228e-05,4.7093514748334837e-07,6.687159833435535,6.196204657643557,6.692902253832586
Rout128,3.986147425556009,R14,C,0.05352962803946469,0.0011984029088481056,3.384125525701204e-05,5.48115269201663,5.146186137872605,5.489813109339047
Rout128,3.986147425556009,R14,H,0.021421806694538234,0.00021680526376482352,1.9169423456942714e-06,6.626536566527985,6.821449026849929,6.624673691607694
Rout128,3.986147425556009,R14,M,0.008600810626922379,0.0003865974714650326,1.989037791206551e-05,4.475568533550529,4.280689609275232,4.485422306335715
Rout128,3.986147425556009,R14,Z,0.0035585994258315943,3.4533767510488286e-05,4.7095392948903704e-07,6.687157998977641,6.196277988614729,6.692899387494803
Rout128,3.986147425556009,full,C,0.053529671909431205,0.001198424407940578,3.385613886128263e-05,5.481127992961351,5.14557765210408,5.489805530622689
Rout128,3.986147425556009,full,H,0.02142182652108603,0.0002168080937406135,1.917581270322854e-06,6.626519070299988,6.820987082368384,6.624660138001012
Rout128,3.986147425556009,full,M,0.00860081083563796,0.00038659762955849374,1.989052092587065e-05,4.475567978591148,4.280679826160201,4.485422255900463
Rout128,3.986147425556009,full,Z,0.00355860373969867,3.4538118776871694e-05,4.7436817167424184e-07,6.686977979253603,6.186038480328424,6.692859686044663
