domain,axisTau,resolution,field,shell,norm2,fraction_of_full,weighted_rho,weighted_z
Rout16,3.987120087174179,n512,C,shell_0_4,3.718962467686495e-07,0.00020570022003710528,3.375,0.03125
Rout16,3.987120087174179,n512,C,shell_12_16,0.0009191303021923876,0.5083818593129271,15.9375,-0.0625
Rout16,3.987120087174179,n512,C,shell_4_8,3.318514172747698e-05,0.018355095042276667,5.21875,0.0
Rout16,3.987120087174179,n512,C,shell_8_12,2.382564190130131e-06,0.0013178244804045436,11.75,-0.0625
Rout16,3.987120087174179,n512,C,shell_gt_16,0.0008528826914234693,0.47173952094435456,15.875,16.0
Rout16,3.987120087174179,n512,H,shell_0_4,2.4437947374155957e-07,0.001945901375684113,3.375,-0.03125
Rout16,3.987120087174179,n512,H,shell_12_16,8.151018572620611e-05,0.6490347986616456,15.9375,-0.0625
Rout16,3.987120087174179,n512,H,shell_4_8,1.5094410933096187e-06,0.012019108867922117,5.21875,-0.09375
Rout16,3.987120087174179,n512,H,shell_8_12,1.5847097313208064e-06,0.012618444581390149,11.75,0.0625
Rout16,3.987120087174179,n512,H,shell_gt_16,4.07380566635516e-05,0.324381746513358,15.875,16.0
Rout16,3.987120087174179,n512,M,shell_0_4,7.096591522042439e-08,0.0012352257020572,3.40625,-0.03125
Rout16,3.987120087174179,n512,M,shell_12_16,1.9430849357609813e-05,0.3382114422786098,15.5625,3.6875
Rout16,3.987120087174179,n512,M,shell_4_8,1.977438134177106e-05,0.34419092602086343,5.15625,0.0625
Rout16,3.987120087174179,n512,M,shell_8_12,4.68074690016646e-07,0.008147261763554556,11.75,-0.0625
Rout16,3.987120087174179,n512,M,shell_gt_16,1.770750864315566e-05,0.3082151442349155,15.9375,-4.25
Rout16,3.987120087174179,n512,Z,shell_0_4,1.0431541476831576e-08,2.6011684389043222e-05,3.28125,-0.03125
Rout16,3.987120087174179,n512,Z,shell_12_16,0.00020262953570062187,0.5052690958713274,15.9375,-0.0625
Rout16,3.987120087174179,n512,Z,shell_4_8,4.347642978915544e-07,0.0010841112720968644,5.21875,-0.03125
Rout16,3.987120087174179,n512,Z,shell_8_12,7.900956730279904e-08,0.00019701517105212194,11.9375,-1.1875
Rout16,3.987120087174179,n512,Z,shell_gt_16,0.00019787916859637856,0.49342376600113447,15.9375,1.4375
Rout128,3.9871200871741763,n512,C,shell_0_4,3.7189624708412385e-07,0.010942361730071033,3.375,0.03125
