diss,quantity,disposition,time,axisTau,magnitude,rho,z
0.02,C,sampled_campaign_peak,11.000142634628487,6.727205116529458,48.660991459728294,5.0,0.0
0.02,C,terminal_snapshot,11.000142634628487,6.727205116529458,48.660991459728294,5.0,0.0
0.02,H,sampled_campaign_peak,11.000142634628487,6.727205116529458,23.231653213500977,5.046875,0.015625
0.02,H,terminal_snapshot,11.000142634628487,6.727205116529458,23.231653213500977,5.046875,0.015625
0.02,M,sampled_campaign_peak,11.000142634628487,6.727205116529458,47.811713637324274,5.0,0.0
0.02,M,terminal_snapshot,11.000142634628487,6.727205116529458,47.811713637324274,5.0,0.0
0.02,Z,sampled_campaign_peak,10.501424084775557,6.416848247950477,1.0698689565005413,5.078125,0.015625
0.02,Z,terminal_snapshot,11.000142634628487,6.727205116529458,0.47650211764662637,5.046875,0.0
0.05,C,sampled_campaign_peak,10.75038573696092,6.572667658532731,25.464440778085525,5.03125,0.0
0.05,C,terminal_snapshot,11.3,6.91531987023357,12.097433628279388,5.046875,-0.015625
0.05,H,sampled_campaign_peak,10.75038573696092,6.572667658532731,17.81118392944336,5.03125,0.0
0.05,H,terminal_snapshot,11.3,6.91531987023357,9.793549537658691,5.109375,-0.203125
0.05,M,sampled_campaign_peak,10.75038573696092,6.572667658532731,18.175060514535605,5.03125,0.0
0.05,M,terminal_snapshot,11.3,6.91531987023357,11.814941799748542,5.046875,-0.015625
0.05,Z,sampled_campaign_peak,10.75038573696092,6.572667658532731,0.5709302770014704,5.0625,0.03125
0.05,Z,terminal_snapshot,11.3,6.91531987023357,0.2702955521799764,5.0625,0.0
0.10,C,sampled_campaign_peak,11.3,6.917003386065598,184.51395187762904,5.03125,0.0
0.10,C,terminal_snapshot,11.3,6.917003386065598,184.51395187762904,5.03125,0.0
0.10,H,sampled_campaign_peak,11.3,6.917003386065598,184.3562469482422,5.03125,0.0
0.10,H,terminal_snapshot,11.3,6.917003386065598,184.3562469482422,5.03125,0.0
0.10,M,sampled_campaign_peak,11.3,6.917003386065598,99.96510621680697,5.03125,0.0078125
0.10,M,terminal_snapshot,11.3,6.917003386065598,99.96510621680697,5.03125,0.0078125
0.10,Z,sampled_campaign_peak,11.3,6.917003386065598,0.7012227074518957,5.0234375,0.0
0.10,Z,terminal_snapshot,11.3,6.917003386065598,0.7012227074518957,5.0234375,0.0
0.20,C,sampled_campaign_peak,11.3,6.919452631449983,8.699411253903955,5.03125,0.03125
0.20,C,terminal_snapshot,11.3,6.919452631449983,8.699411253903955,5.03125,0.03125
0.20,H,sampled_campaign_peak,11.3,6.919452631449983,7.976410865783691,5.03125,0.0625
0.20,H,terminal_snapshot,11.3,6.919452631449983,7.976410865783691,5.03125,0.0625
0.20,M,sampled_campaign_peak,11.250811606992125,6.888651508768919,6.758089939662564,5.03125,0.0
0.20,M,terminal_snapshot,11.3,6.919452631449983,5.464165558905307,5.03125,0.03125
0.20,Z,sampled_campaign_peak,11.250811606992125,6.888651508768919,0.3764273776993007,5.0625,0.0
0.20,Z,terminal_snapshot,11.3,6.919452631449983,0.2578784395913981,5.09375,0.0
0.50,C,sampled_campaign_peak,10.750835863859189,6.579242533747733,0.5070304423885643,5.0625,0.0
0.50,C,terminal_snapshot,11.3,6.923736666532958,0.4482210607266327,5.0,0.0
0.50,H,sampled_campaign_peak,10.750835863859189,6.579242533747733,0.42402589321136475,5.0625,0.0
0.50,H,terminal_snapshot,11.3,6.923736666532958,0.3548144996166229,5.0,0.0
0.50,M,sampled_campaign_peak,11.3,6.923736666532958,0.1896206911102918,4.9375,0.0
0.50,M,terminal_snapshot,11.3,6.923736666532958,0.1896206911102918,4.9375,0.0
0.50,Z,sampled_campaign_peak,11.3,6.923736666532958,0.038882221017377615,5.0,-0.0625
0.50,Z,terminal_snapshot,11.3,6.923736666532958,0.038882221017377615,5.0,-0.0625
