diss,time,cycle,leaf_count,max_abs_kretschmann,signed_kretschmann,rho,z,logical_level,logical_lx1,logical_lx2,logical_lx3,source_file
0.02,0.0,0,32,95.4072036743164,95.4072036743164,5.25,0.0,0,1,3,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00000.bin
0.02,0.25239728765678654,93,50,81.20126342773438,81.20126342773438,5.21875,0.0,2,5,15,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00001.bin
0.02,0.5040083378180226,151,44,44.50532150268555,44.50532150268555,5.25,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00002.bin
0.02,0.7515878356031671,196,44,10.602986335754395,10.602986335754395,5.25,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00003.bin
0.02,1.001964564307453,238,44,16.80097770690918,-16.80097770690918,4.9375,-0.0625,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00004.bin
0.02,1.2559825348492695,278,44,15.343093872070312,-15.343093872070312,4.875,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00005.bin
0.02,1.502009723274411,315,44,11.011460304260254,-11.011460304260254,4.75,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00006.bin
0.02,1.7567424898220665,352,44,11.185057640075684,11.185057640075684,5.3125,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00007.bin
0.02,2.0041327005191922,387,44,10.228861808776855,10.228861808776855,5.25,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00008.bin
0.02,2.2528137941239863,422,44,8.462150573730469,8.462150573730469,5.25,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00009.bin
0.02,2.5002524330555738,457,44,6.617369174957275,6.617369174957275,5.25,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00010.bin
0.02,2.7526262553674243,493,44,5.0019049644470215,5.0019049644470215,5.1875,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00011.bin
0.02,3.00292232696495,529,44,3.6967780590057373,3.6967780590057373,5.125,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00012.bin
0.02,3.25132599008157,565,44,2.656653881072998,2.656653881072998,5.0625,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00013.bin
0.02,3.504955836124646,602,44,1.8280739784240723,1.8280739784240723,5.0625,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00014.bin
0.02,3.750323164247853,638,44,1.1983377933502197,1.1983377933502197,4.9375,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00015.bin
0.02,4.001270994058924,675,44,0.7149744629859924,0.7149744629859924,4.875,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00016.bin
0.02,4.251153769883675,712,44,0.40654224157333374,0.40654224157333374,4.5,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00017.bin
0.02,4.500066753059087,749,44,0.2989242970943451,0.2989242970943451,4.3125,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00018.bin
0.02,4.754814605136355,787,44,0.2450060248374939,0.2450060248374939,4.1875,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00019.bin
