diss,quantity,disposition,time,cycle,leaf_count,max_abs_kretschmann,signed_kretschmann,rho,z,logical_level,logical_lx1,logical_lx2,logical_lx3,source_file
0.02,maxAbsKret,campaign_peak,11.000142634628487,1979,68,8820.03125,-8820.03125,5.0,0.0,2,4,15,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t11p3_v1/bin/rank_00000000/n256_ko_record.curvature.00044.bin
0.02,maxAbsKret,terminal_snapshot,11.000142634628487,1979,68,8820.03125,-8820.03125,5.0,0.0,2,4,15,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p02_t11p3_v1/bin/rank_00000000/n256_ko_record.curvature.00044.bin
0.05,maxAbsKret,campaign_peak,10.75038573696092,1795,65,899.065185546875,899.065185546875,5.0625,0.03125,2,5,16,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p05_t11p3_v1/bin/rank_00000000/n256_ko_record.curvature.00043.bin
0.05,maxAbsKret,terminal_snapshot,11.3,2087,65,531.6109008789062,-531.6109008789062,5.046875,-0.015625,3,10,31,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p05_t11p3_v1/bin/rank_00000000/n256_ko_record.curvature.00046.bin
0.10,maxAbsKret,campaign_peak,11.3,1987,86,136009.84375,136009.84375,5.03125,0.0,4,20,63,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p10_t11p3_v1/bin/rank_00000000/n256_ko_record.curvature.00046.bin
0.10,maxAbsKret,terminal_snapshot,11.3,1987,86,136009.84375,136009.84375,5.03125,0.0,4,20,63,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p10_t11p3_v1/bin/rank_00000000/n256_ko_record.curvature.00046.bin
0.20,maxAbsKret,campaign_peak,11.3,1841,50,222.69790649414062,222.69790649414062,5.03125,0.0625,2,5,16,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p20_t11p3_v1/bin/rank_00000000/n256_ko_record.curvature.00046.bin
0.20,maxAbsKret,terminal_snapshot,11.3,1841,50,222.69790649414062,222.69790649414062,5.03125,0.0625,2,5,16,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p20_t11p3_v1/bin/rank_00000000/n256_ko_record.curvature.00046.bin
0.50,maxAbsKret,campaign_peak,0.0,0,32,95.4072036743164,95.4072036743164,5.25,0.0,0,1,3,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p50_t6p5_v1/bin/rank_00000000/n256_ko_record.curvature.00000.bin
0.50,maxAbsKret,terminal_snapshot,11.3,1823,44,0.4833953380584717,0.4833953380584717,5.0,0.0,1,2,7,0,/pscratch/sd/h/hzhu/z4c-vc-boundary-convergence-ko-scan-20260824/runs/ko_n256_diss0p50_t11p3_v1/bin/rank_00000000/n256_ko_record.curvature.00046.bin
