resolution,axisTau,time,cycle,leaf_count,minimum_chi,minimum_conformal_spd_pivot,minimum_conformal_determinant,minimum_physical_determinant,chi_psi_power,full_reconstructed_C,full_reconstructed_H,full_reconstructed_M,full_reconstructed_Z,full_history_C,full_history_H,full_history_M,full_history_Z,full_relative_difference_C,full_relative_difference_H,full_relative_difference_M,full_relative_difference_Z
n128,0.0,0.0,0,32,0.3322444558143616,0.19738458469774756,0.9999998904381442,1.9769680708678297,-4.0,0.13050838731176384,0.1297873898973781,0.0,0.00018024935853202295,0.1305083885462906,0.1297873911159934,0.0,0.00018024935757430345,-9.459367113095029e-09,-9.389319788973479e-09,nan,5.313303261090708e-09
n128,0.1540670901698768,0.25015903882253054,47,50,0.33609357476234436,0.2256412749496466,0.9999947756199838,1.9769680708677508,-4.0,0.036194568809946884,0.007360362496805963,0.01151850755211614,0.004185858774578243,0.036315621349623295,0.007508950389589345,0.01148374567883867,0.004187797340169492,-0.0033333462344206,-0.019788104205534316,0.003027050080143019,-0.00046290816717740115
n128,0.3123754969434922,0.5072046568982707,78,44,0.34421196579933167,0.28654961335424645,0.9999998671746394,1.9769699634123923,-4.0,0.03523117456321391,0.02058338571628132,0.004024716000700553,0.0023860937631654147,0.03504083167791826,0.020375348226872828,0.0040451709505823765,0.0023850308263628443,0.0054320310386811125,0.010210254425694463,-0.005056634226763392,0.00044567004787582094
n128,0.4685625622416315,0.7608055358204662,101,44,0.3392055332660675,0.3548541636071292,0.9999998735846599,1.9769722719548328,-4.0,0.015555737292795297,0.0040112850867707476,0.0057114455533546745,0.0010457617616748635,0.015651571952221048,0.004111187100643076,0.005693226043907852,0.001050024322095817,-0.006123005390021024,-0.024300040700337297,0.0032002083364173497,-0.004059487319727519
n128,0.623172124422098,1.011844081974866,122,44,0.3269655704498291,0.4396566598415319,0.9999998639843728,1.9769765006911828,-4.0,0.017136610844236313,0.00902249558616251,0.002454354181579646,0.0010439289831618182,0.017110102793448184,0.008959001619307409,0.0024719570667507246,0.001049068406189388,0.0015492630937482816,0.0070871699273126415,-0.007121031917523065,-0.004899035179448436
n128,0.7719172335654273,1.2533585964443617,141,44,0.3221953809261322,0.5319259944644728,0.999999858764913,1.9769813810683703,-4.0,0.016648022985904627,0.005706772788787599,0.0020908371289255186,0.0019463613638339668,0.016661929864022484,0.005714595296787792,0.002094601065624291,0.0019468221314757471,-0.0008346499013830243,-0.0013688647391337666,-0.001796970678829707,-0.00023667680489692793
n128,0.9275369664265303,1.5060314488469608,160,44,0.32113781571388245,0.60859683008578,0.9999998602675203,1.9769885976032338,-4.0,0.020808104762441673,0.0053852514983797105,0.0027078909085464487,0.0030052495321815018,0.02080810470877985,0.005385251487850664,0.002707890902484549,0.0030052495425529455,2.578890401847837e-09,1.955163358391005e-09,2.2386055784506197e-09,-3.451108992565453e-09
n128,1.080198340521055,1.753894382244796,178,44,0.3226379156112671,0.6621461317729023,0.9999998652973654,1.9769973530817415,-4.0,0.022614703468398528,0.005393505778441129,0.00296160745958905,0.0034023373873451096,0.022589493653510123,0.005381437139887041,0.002959657494616048,0.003399148346262879,0.0011159973426180681,0.0022426422980276663,0.0006588481865045332,0.0009381882628738027
n128,1.2369450516353684,2.0083801285132,196,44,0.3257026970386505,0.6960733325107853,0.9999998679680596,1.9770090061699492,-4.0,0.023147903480701806,0.005746550668079464,0.0031277217151091637,0.0033549753862272343,0.02314790342955644,0.005746550693973019,0.0031277217025720825,0.0033549754020313484,2.2095031576409656e-09,-4.505930062716904e-09,4.0083749049426744e-09,-4.710649766382533e-09
n128,1.3858836422867724,2.2501751471508733,213,44,0.32900911569595337,0.7165214157245288,0.9999998449659028,1.977021754462219,-4.0,0.023481890405796516,0.006292824226917283,0.003669996756489806,0.003099483766555079,0.02350972364363456,0.006298563194775755,0.003671031011272095,0.003104247981047617,-0.0011839032334001259,-0.0009111550810875948,-0.000281734144743888,-0.0015347403047774695
n128,1.5428315288865486,2.5049536625392697,231,44,0.3322405219078064,0.7302165803564988,0.9999997578101949,1.977037608245702,-4.0,0.025153485292184,0.00734729024437022,0.004237874530901841,0.003030575775809953,0.025178311103970397,0.007345128980806085,0.004246309968970558,0.0030355825887170562,-0.000985999882354415,0.00029424446729013013,-0.001986533750564129,-0.0016493746293423494
n128,1.6984713541272245,2.757584100542263,249,44,0.33544784784317017,0.7383972396397583,0.9999995609245415,1.977056477342425,-4.0,0.026491142573688894,0.00814748363246264,0.004841505686512774,0.002974997153137071,0.026493447684574293,0.00815483206435631,0.004841306546751518,0.0029736735230623665,-8.700682949396896e-05,-0.0009011138225381969,4.113347488589571e-05,0.00044511613814997097
n128,1.8528838721443097,3.008193577275298,267,44,0.338215708732605,0.7438774316191825,0.9999995065650893,1.9770776546551427,-4.0,0.027555979983237364,0.009276155308074241,0.004916896885058588,0.0028692844787401124,0.027550135071551348,0.009266023990451122,0.0049164461625806006,0.0028710729602460902,0.00021215546387835278,0.0010933834871957372,9.167647993739195e-05,-0.0006229314025598816
