resolution,time,axisTau,region,field,norm2,proper_volume,weighted,magnitude,weighted_rho,weighted_z,magnitude_rho,magnitude_z,fraction_of_full
n128,0.0,0.0,shell_0_4,C,0.0004671718297684505,1129.0918750738845,9.567843931326465e-05,0.0069426193329990985,4.0,0.0,4.0,0.0,0.0035796306995384986
n128,0.0,0.0,shell_0_4,H,0.0004603718598107393,1129.0918750738845,9.495375570514214e-05,0.00691627711057663,4.0,0.0,4.0,0.0,0.0035471231848853103
n128,0.0,0.0,shell_0_4,M,0.0,1129.0918750738845,0.0,0.0,0.0,-4.0,0.0,-4.0,nan
n128,0.0,0.0,shell_0_4,Z,1.6999935510236157e-06,1129.0918750738845,1.8117118238504021e-07,0.00030210705783861733,4.0,0.0,4.0,0.0,0.009431343139684996
n128,0.0,0.0,shell_4_8,C,0.13003823259854516,5728.244185817153,0.019855959084358103,0.0829956831204421,5.25,0.0,5.25,0.0,0.9963975134249758
n128,0.0,0.0,shell_4_8,H,0.12932404475877857,5728.244185817153,0.019839253521382945,0.08296076208353043,5.25,0.0,5.25,0.0,0.9964299679732685
n128,0.0,0.0,shell_4_8,M,0.0,5728.244185817153,0.0,0.0,0.0,-8.0,0.0,-8.0,nan
n128,0.0,0.0,shell_4_8,Z,0.0001785469638244248,5728.244185817153,7.348950040588709e-06,0.001203714890714633,5.25,-0.25,5.25,0.0,0.990555335555906
n128,0.0,0.0,shell_8_12,C,1.139296470701063e-08,10662.336111316848,1.0572179779172875e-09,1.558552565341245e-05,8.0,-0.25,8.0,-0.25,8.729680093122784e-08
n128,0.0,0.0,shell_8_12,H,1.7883385790880163e-09,10662.336111316848,8.364298436009164e-11,4.3907762119488325e-06,8.0,-0.5,8.0,-0.5,1.377898562026744e-08
n128,0.0,0.0,shell_8_12,M,0.0,10662.336111316848,0.0,0.0,0.0,-12.0,0.0,-12.0,nan
n128,0.0,0.0,shell_8_12,Z,2.401156574562129e-09,10662.336111316848,2.441095249895685e-10,7.4891330686369596e-06,8.0,-0.25,8.0,-0.25,1.3321304409166826e-05
n128,0.0,0.0,shell_12_16,C,1.2742608315866404e-07,17076.563686262823,5.0166712591779723e-08,0.00013986215608188362,16.0,0.0,16.0,0.0,9.76382329008965e-07
n128,0.0,0.0,shell_12_16,H,1.27426079601052e-07,17076.563686262823,5.0166710701082806e-08,0.00013986215344630182,16.0,0.0,16.0,0.0,9.818063195646883e-07
n128,0.0,0.0,shell_12_16,M,0.0,17076.563686262823,0.0,0.0,0.0,-16.0,0.0,-16.0,nan
n128,0.0,0.0,shell_12_16,Z,7.838709341534127e-28,17076.563686262823,3.4183443037025644e-30,6.295511944544812e-16,14.5,-3.5,10.0,-7.25,4.348814001544149e-24
n128,0.0,0.0,shell_gt_16,C,2.8440644023677612e-06,13163.091652829775,9.98966454428073e-08,0.00013956222972046238,16.0,-0.25,16.0,-0.25,2.1792196355731087e-05
n128,0.0,0.0,shell_gt_16,H,2.8440643705467235e-06,13163.091652829775,9.989663714122189e-08,0.00013956222392152995,16.0,-0.25,16.0,-0.25,2.191325654052758e-05
n128,0.0,0.0,shell_gt_16,M,0.0,13163.091652829775,0.0,0.0,0.25,-16.0,0.25,-16.0,nan
n128,0.0,0.0,shell_gt_16,Z,4.352054261174074e-28,13163.091652829775,3.418867503518056e-30,5.968615185016633e-16,15.5,7.0,9.5,-13.25,2.414463106342146e-24
n128,0.25015903882253054,0.1540670901698768,shell_0_4,C,0.00014676884016588156,1137.0615444454938,8.838769934248997e-06,0.0033547401035117,3.875,-0.125,4.0,0.0,0.004054996232626675
n128,0.25015903882253054,0.1540670901698768,shell_0_4,H,4.84895037988294e-06,1137.0615444454938,3.61981821960916e-07,0.0012459361460059881,3.875,-0.375,4.0,0.0,0.0006587923328487077
n128,0.25015903882253054,0.1540670901698768,shell_0_4,M,2.4411677938783294e-05,1137.0615444454938,2.2404276260386935e-06,0.001994128092682702,3.875,-0.125,4.0,0.0,0.0021193438323785676
n128,0.25015903882253054,0.1540670901698768,shell_0_4,Z,2.8916504337621923e-05,1137.0615444454938,1.5703158539288238e-06,0.0013785413786832337,3.875,-0.125,4.0,0.0,0.006908141410130464
n128,0.25015903882253054,0.1540670901698768,shell_4_8,C,0.03604238121478109,5739.7758574577965,0.0002933373707842163,0.025846026334036716,5.5,-0.25,5.5,-0.25,0.9957952919410391
n128,0.25015903882253054,0.1540670901698768,shell_4_8,H,0.007350878692939715,5739.7758574577965,0.00020238928461749236,0.02146860584616661,5.5,-0.25,5.5,-0.25,0.9987115031534978
n128,0.25015903882253054,0.1540670901698768,shell_4_8,M,0.01149349029243432,5739.7758574577965,0.00011585373356770646,0.017781117864025198,5.5625,-0.0625,5.5625,0.0,0.9978280814967887
n128,0.25015903882253054,0.1540670901698768,shell_4_8,Z,0.004156901733654461,5739.7758574577965,1.6618348325636444e-05,0.006133381965570021,4.875,-0.1875,4.875,-0.1875,0.9930821744155236
n128,0.25015903882253054,0.1540670901698768,shell_8_12,C,1.4778697110420382e-07,10643.894455897416,7.523381953597924e-09,8.312914309018487e-05,8.0,-0.125,8.0,-0.125,4.083125617001119e-06
n128,0.25015903882253054,0.1540670901698768,shell_8_12,H,2.8701812480598177e-08,10643.894455897416,4.167472863422949e-09,2.5510222258162685e-05,8.25,-0.25,8.25,0.0,3.899510722882651e-06
n128,0.25015903882253054,0.1540670901698768,shell_8_12,M,2.1074898176856336e-08,10643.894455897416,1.3118839897971606e-09,2.656948913130548e-05,8.25,-0.75,8.0,-0.125,1.8296552814244176e-06
n128,0.25015903882253054,0.1540670901698768,shell_8_12,Z,2.066736804174516e-08,10643.894455897416,1.620787623192238e-09,3.858422700616354e-05,8.0,-0.125,8.0,-0.125,4.9374260228900225e-06
n128,0.25015903882253054,0.1540670901698768,shell_12_16,C,2.4663910223603607e-07,17076.583990550047,7.629997588021728e-08,0.00017248626460289847,16.0,0.0,16.0,0.0,6.8142572309980235e-06
n128,0.25015903882253054,0.1540670901698768,shell_12_16,H,2.0886854072228296e-07,17076.583990550047,7.237451983196197e-08,0.0001679906708886847,16.0,0.0,16.0,0.0,2.837748015983203e-05
n128,0.25015903882253054,0.1540670901698768,shell_12_16,M,3.299343619058388e-08,17076.583990550047,3.4156971561567206e-09,3.649488469636416e-05,16.0,0.0,16.0,0.0,2.8643846471691935e-06
n128,0.25015903882253054,0.1540670901698768,shell_12_16,Z,1.110015977020013e-09,17076.583990550047,1.2623638624574098e-10,7.0159194390711964e-06,16.0,0.0,16.0,0.0,2.6518237637672223e-07
