resolution,nx1,nx2,nx3,cycle,region,weighting,measure,points,C_rms,H_rms,M_rms,Z_rms,H_linf,M_linf
128,128,256,1,1,box,coordinate,512.0,32768,0.00027880735436974134,0.0002786577642919806,4.679022462429257e-06,3.900784027810915e-06,0.011107561590409782,0.00014405644916273355
128,128,256,1,1,box,proper,1058.742868212745,32768,0.00033471403258576894,0.0003345125566778404,5.872814930629048e-06,4.984168038426616e-06,0.011107561590409782,0.00014405644916273355
128,128,256,1,1,r<=1,coordinate,1.625,104,0.0001798210799821759,0.00017976665397515228,4.383040076997994e-06,6.1123452168279786e-12,0.0009139470373878401,1.6163308746888418e-05
128,128,256,1,1,r<=1,proper,6.932360053315113,104,0.00018063396180544952,0.00018057927910697835,4.403291227807601e-06,6.148410561627412e-12,0.0009139470373878401,1.6163308746888418e-05
256,256,512,1,1,box,coordinate,512.0,131072,0.00025900839208852736,0.00025899843433097334,2.1954015695612896e-06,2.52267915230578e-07,0.008344260073661689,6.87062336904688e-05
256,256,512,1,1,box,proper,1058.741679391166,131072,0.0003197320120273066,0.00031971773752804354,2.9283874035289555e-06,3.227712074116444e-07,0.008344260073661689,6.87062336904688e-05
256,256,512,1,1,r<=1,coordinate,1.5859375,406,0.0004428146122244656,0.00044264684273186535,1.2165936509960951e-05,4.870288857701286e-12,0.003026970328697169,6.87062336904688e-05
256,256,512,1,1,r<=1,proper,6.766250911559116,406,0.0004445755511057656,0.0004444070591064544,1.2216330311897706e-05,4.897306238567285e-12,0.003026970328697169,6.87062336904688e-05
512,512,1024,1,1,box,coordinate,512.0,524288,0.0002560415462840189,0.0002560380670107357,1.3263425294322751e-06,1.5911521797859733e-08,0.008234552261100127,0.00013581934230929722
512,512,1024,1,1,box,proper,1058.7414402103395,524288,0.0003202685375826719,0.00032026338883157674,1.805874860429162e-06,2.037801864443586e-08,0.008234552261100127,0.00013581934230929722
512,512,1024,1,1,r<=1,coordinate,1.576171875,1614,0.0006153958836224943,0.0006152523616698915,1.3280163298839347e-05,1.967389220115862e-12,0.007344036523420628,0.00013581934230929722
512,512,1024,1,1,r<=1,proper,6.724716618566006,1614,0.0006173672312653352,0.0006172233450218202,1.3318281376621893e-05,1.9770565348564544e-12,0.007344036523420628,0.00013581934230929722
