family,variable,coarse_resolution,fine_resolution,rms,ring_rms,linf
state,z4c_chi,128,256,0.000729362527530289,0.0008581423639447839,0.004711449146270752
state,z4c_gxx,128,256,0.0016655515415183579,0.002201007932092494,0.0133131742477417
state,z4c_gxy,128,256,5.0010118781325817e-05,4.723334324945841e-05,0.000295296311378479
state,z4c_gxz,128,256,0.0,0.0,0.0
state,z4c_gyy,128,256,0.0014841037920480607,0.0014318828896222506,0.009105443954467773
state,z4c_gyz,128,256,0.0,0.0,0.0
state,z4c_gzz,128,256,0.0009750732728829745,0.0011420191078850795,0.006350517272949219
state,z4c_Khat,128,256,0.00041046553740983505,0.0004476563598735263,0.01964646577835083
state,z4c_Axx,128,256,0.0006498643632470179,0.0008305540994000668,0.01372481882572174
state,z4c_Axy,128,256,0.00010054891327967667,8.124489475301166e-05,0.007796362042427063
state,z4c_Axz,128,256,0.0,0.0,0.0
state,z4c_Ayy,128,256,0.0005749939147431406,0.0005405967492430189,0.014378532767295837
state,z4c_Ayz,128,256,0.0,0.0,0.0
state,z4c_Azz,128,256,0.0003660158112705957,0.0004232272839640103,0.009540736675262451
state,z4c_Gamx,128,256,0.0002923855137656033,0.00038846335988694476,0.002231404185295105
state,z4c_Gamy,128,256,0.00024048686058530575,0.00018567571141716758,0.0020362138748168945
state,z4c_Gamz,128,256,0.0,0.0,0.0
state,z4c_Theta,128,256,0.0004970822061311407,0.0005803339513739919,0.012866537785157561
state,z4c_alpha,128,256,0.00019385478244375007,0.00015221925047224723,0.0011250972747802734
state,z4c_betax,128,256,0.00011589043693767424,0.00015571411913319432,0.0008398033678531647
state,z4c_betay,128,256,9.520988055800393e-05,7.327788355958472e-05,0.0007353350520133972
state,z4c_betaz,128,256,0.0,0.0,0.0
state,z4c_Bx,128,256,0.0005073105201472911,0.0005223489935394393,0.0017233751714229584
state,z4c_By,128,256,0.0006184326575612366,0.0004559962491162143,0.001962222158908844
state,z4c_Bz,128,256,0.0,0.0,0.0
constraints,z4c_Kretschmann,128,256,0.00012543359001300041,9.269261782811991e-05,0.0035619735717773438
constraints,z4c_Exx,128,256,0.0003711561906346018,0.0003024221451607509,0.014505422906950116
constraints,z4c_Exy,128,256,0.0001036407859549529,7.53001797334814e-05,0.0020632296800613403
constraints,z4c_Exz,128,256,0.0,0.0,0.0
constraints,z4c_Eyy,128,256,0.00024048260900670076,0.0002470149904493317,0.014638200402259827
constraints,z4c_Eyz,128,256,0.0,0.0,0.0
constraints,z4c_Ezz,128,256,0.0004502114186079786,0.00029836108688171745,0.010831236839294434
constraints,z4c_Bxx,128,256,0.0,0.0,0.0
constraints,z4c_Bxy,128,256,0.0,0.0,0.0
constraints,z4c_Bxz,128,256,0.00014759039043213683,0.0001314870216620254,0.0024353638291358948
constraints,z4c_Byy,128,256,0.0,0.0,0.0
constraints,z4c_Byz,128,256,0.00023300227193217437,0.00016563030526500525,0.0065212249755859375
constraints,z4c_Bzz,128,256,0.0,0.0,0.0
constraints,z4c_Px,128,256,3.653192570926811e-05,2.482361222520481e-05,0.0013651326298713684
constraints,z4c_Py,128,256,1.858217799277893e-05,1.4263376872438932e-05,0.000341854989528656
constraints,z4c_Pz,128,256,0.0,0.0,0.0
state,z4c_chi,256,512,0.0010460984253460102,0.0012308982330003352,0.006630837917327881
state,z4c_gxx,256,512,0.0024030973763133,0.00317597440312157,0.019057750701904297
state,z4c_gxy,256,512,3.848493468057407e-05,5.012881889192804e-05,0.00015249686839524657
state,z4c_gxz,256,512,0.0,0.0,0.0
state,z4c_gyy,256,512,0.0021315146343512652,0.002053171082249152,0.012971639633178711
state,z4c_gyz,256,512,0.0,0.0,0.0
state,z4c_gzz,256,512,0.0013887739168992968,0.0016265273589691866,0.008872807025909424
state,z4c_Khat,256,512,0.00021557621520220473,0.00024577171809444094,0.002909243106842041
state,z4c_Axx,256,512,0.0008190489073218692,0.0010806456256368742,0.00576899666339159
state,z4c_Axy,256,512,1.2538203936314832e-05,1.0444624514117019e-05,0.0010857097804546356
state,z4c_Axz,256,512,0.0,0.0,0.0
state,z4c_Ayy,256,512,0.0007085342898282468,0.0006753584043131702,0.0038558361120522022
state,z4c_Ayz,256,512,0.0,0.0,0.0
state,z4c_Azz,256,512,0.0004612045981188132,0.0005411294193015575,0.0025548762641847134
state,z4c_Gamx,256,512,0.00036455689410876547,0.0004947821144235043,0.001689327647909522
state,z4c_Gamy,256,512,0.0002990880535372542,0.00023333138305445134,0.0012064808397553861
state,z4c_Gamz,256,512,0.0,0.0,0.0
state,z4c_Theta,256,512,0.0007077721213511011,0.0008358861437962085,0.004108121618628502
state,z4c_alpha,256,512,2.853456263208709e-05,2.350721482850201e-05,0.00016576051712036133
state,z4c_betax,256,512,0.0001502933505958884,0.00020481640216150023,0.0007396316796075553
state,z4c_betay,256,512,0.00012282203714024872,9.508907914023284e-05,0.0005225419445196167
state,z4c_betaz,256,512,0.0,0.0,0.0
state,z4c_Bx,256,512,0.00011696673793014501,0.00011995593746201238,0.00039289146661758423
state,z4c_By,256,512,0.00014330694700973054,0.0001060438306970988,0.00044417381286621094
state,z4c_Bz,256,512,0.0,0.0,0.0
constraints,z4c_Kretschmann,256,512,2.7668878066462493e-05,3.297701959396301e-05,0.003570916596800089
constraints,z4c_Exx,256,512,0.0002628371872564254,0.0002782448276892946,0.03259008098393679
constraints,z4c_Exy,256,512,1.6280384337418977e-05,1.4838872002395695e-05,0.0008570870850235224
constraints,z4c_Exz,256,512,0.0,0.0,0.0
constraints,z4c_Eyy,256,512,0.00019360755742821604,0.0002496011179352653,0.03267682250589132
constraints,z4c_Eyz,256,512,0.0,0.0,0.0
constraints,z4c_Ezz,256,512,0.00018750016232483758,0.00010589244481820019,0.013744181953370571
