region,family,variable,rms_order,ring_rms_order,linf_order
full,state,state_z4c_chi,-0.5497174664032337,-0.5494531911818649,-0.49302729279750435
full,state,state_z4c_gxx,-0.5579475362720353,-0.5588569715307167,-0.5175216891693998
full,state,state_z4c_gxy,0.3790085855012993,-0.08516803565512931,0.9548548677888757
full,state,state_z4c_gxz,,,
full,state,state_z4c_gyy,-0.5527829774877386,-0.5484355117759069,-0.5105554651608861
full,state,state_z4c_gyz,,,
full,state,state_z4c_gzz,-0.5395365953795235,-0.5392785968495826,-0.4825161686309985
full,state,state_z4c_Khat,1.4945606762959507,1.3965416909638098,2.755566681253848
full,state,state_z4c_Axx,-0.3458568370844044,-0.3922346245748872,1.3075557550981292
full,state,state_z4c_Axy,3.1501047861581797,3.093102848549379,3.035647189805715
full,state,state_z4c_Axz,,,
full,state,state_z4c_Ayy,-0.3152574246735854,-0.332723312791743,1.9553990757387267
full,state,state_z4c_Ayz,,,
full,state,state_z4c_Azz,-0.34520221708642473,-0.3655923081504608,1.9664984661902845
full,state,state_z4c_Gamx,-0.3231689738318236,-0.35463770312360576,0.40150439673489374
full,state,state_z4c_Gamy,-0.3229500382499782,-0.33519276155596844,0.7550843893912395
full,state,state_z4c_Gamz,,,
full,state,state_z4c_Theta,-0.6917422458477464,-0.704358367647687,1.6470729534674098
full,state,state_z4c_alpha,2.7629876874121395,2.6882872297336244,2.765038254577739
full,state,state_z4c_betax,-0.38060952864423203,-0.4017230282342089,0.1832431356917063
full,state,state_z4c_betay,-0.37636781055073526,-0.3820718884542564,0.49285670290730643
full,state,state_z4c_betaz,,,
full,state,state_z4c_Bx,2.120355780406227,2.1256651132114786,2.134563284206175
full,state,state_z4c_By,2.110962948160408,2.1078826831773414,2.143807535506205
full,state,state_z4c_Bz,,,
full,rhs,rhs_z4c_chi,-0.4223876632360451,-0.4211377674265676,-0.2903498254864667
full,rhs,rhs_z4c_gxx,-0.44225098099572635,-0.4434937194638991,-0.35190455077344307
full,rhs,rhs_z4c_gxy,0.8197569974148415,0.2304961254409841,2.415064940731024
full,rhs,rhs_z4c_gxz,,,
full,rhs,rhs_z4c_gyy,-0.43438201555509054,-0.42640840800840557,-0.3446114637045297
full,rhs,rhs_z4c_gyz,,,
full,rhs,rhs_z4c_gzz,-0.40462070034506,-0.40668611398238247,-0.27096353029174997
full,rhs,rhs_z4c_Khat,0.3546363862026196,1.552634236872964,1.7207675330278442
full,rhs,rhs_z4c_Axx,0.0495841765760177,-0.0822493696498733,1.6834516845541034
full,rhs,rhs_z4c_Axy,2.600153857057125,2.8913525628156425,3.0951226540972603
full,rhs,rhs_z4c_Axz,,,
full,rhs,rhs_z4c_Ayy,0.023528704305964293,0.1060665907501115,0.6071055276245747
full,rhs,rhs_z4c_Ayz,,,
full,rhs,rhs_z4c_Azz,0.15286926030543263,0.053596680260840926,1.5189405733449344
full,rhs,rhs_z4c_Gamx,1.4169336441103195,0.2848539003707625,2.650308779604467
full,rhs,rhs_z4c_Gamy,1.1207062770365719,0.6914313890515601,1.6044736670443962
full,rhs,rhs_z4c_Gamz,,,
full,rhs,rhs_z4c_Theta,-0.3413064843501925,-0.282034897000664,0.5767063447118537
full,rhs,rhs_z4c_alpha,2.165222374874215,2.140019273704167,1.8838182046621248
full,rhs,rhs_z4c_betax,0.06086731734621973,-0.1503237451729931,1.516906077050232
full,rhs,rhs_z4c_betay,0.03360955335425836,-0.03327762309166067,2.0238590436478976
full,rhs,rhs_z4c_betaz,,,
full,rhs,rhs_z4c_Bx,2.8018722215429617,2.8545591102136885,2.558178297025175
full,rhs,rhs_z4c_By,2.8294854688956614,2.829690498539806,2.760570315246059
full,rhs,rhs_z4c_Bz,,,
full,constraints,con_C,-1.162988909236813,-1.1622829264000352,-0.9006835673996786
full,constraints,con_H,0.254423706510888,0.22861174754556685,0.3835340598494581
full,constraints,con_M,-0.8253878672755217,-0.9050069470597832,-0.2735549721476316
full,constraints,con_Z,-1.1360817276816089,-1.1372865786291122,-1.0574932484715494
full,constraints,con_Mx,0.8339812471602324,0.3482085119123937,1.5362245141422846
full,constraints,con_My,-0.0754785033721471,-0.18548235658890475,-0.7880232172711127
full,constraints,con_Mz,,,
core_r8,state,state_z4c_chi,4.516562325350226,4.594876828731403,5.090205744323828
core_r8,state,state_z4c_gxx,4.26388710677231,4.369885070263421,4.76990729142225
core_r8,state,state_z4c_gxy,4.215456836006761,4.342873289134731,4.093133767521341
core_r8,state,state_z4c_gxz,,,
core_r8,state,state_z4c_gyy,4.18570381153147,4.260435415361076,3.9388320443115066
core_r8,state,state_z4c_gyz,,,
core_r8,state,state_z4c_gzz,3.92062620092101,4.0438636032184805,3.646062620400177
core_r8,state,state_z4c_Khat,2.8988930769426977,2.9785749147090272,2.755566681253848
core_r8,state,state_z4c_Axx,2.8251944643077755,2.834882760704043,2.4770334259144575
core_r8,state,state_z4c_Axy,3.214987645745286,3.225918368378511,3.035647189805715
core_r8,state,state_z4c_Axz,,,
core_r8,state,state_z4c_Ayy,2.712491498602458,2.7411537538834807,2.386873083423971
core_r8,state,state_z4c_Ayz,,,
core_r8,state,state_z4c_Azz,2.921945403767301,2.9761444308339393,2.5004597871024363
core_r8,state,state_z4c_Gamx,3.5553969079478294,3.7291598029066386,2.8996033461784
core_r8,state,state_z4c_Gamy,3.5145411690079675,3.552924048953093,3.1430702484545776
core_r8,state,state_z4c_Gamz,,,
core_r8,state,state_z4c_Theta,2.674147720168811,2.717073453790432,2.356329985104167
core_r8,state,state_z4c_alpha,2.8611798995685644,2.8948007155074738,2.765038254577739
core_r8,state,state_z4c_betax,4.016574683327267,4.09719494300718,3.011993825775372
core_r8,state,state_z4c_betay,4.019973745519477,4.035194883060184,3.2455430176366113
core_r8,state,state_z4c_betaz,,,
core_r8,state,state_z4c_Bx,2.0933389696035234,2.064446374659419,2.0088248734939067
core_r8,state,state_z4c_By,2.0970572777430734,2.0813315030411883,2.143807535506205
core_r8,state,state_z4c_Bz,,,
core_r8,rhs,rhs_z4c_chi,3.240896575899375,3.4241678609333572,2.9317693380944174
core_r8,rhs,rhs_z4c_gxx,3.271291108923772,3.5220380191642953,3.5106743383725223
core_r8,rhs,rhs_z4c_gxy,3.2339705072692477,3.2744386160619334,2.8840121414050177
core_r8,rhs,rhs_z4c_gxz,,,
core_r8,rhs,rhs_z4c_gyy,3.0421321746749994,3.3963793299493386,1.4641905799772361
core_r8,rhs,rhs_z4c_gyz,,,
core_r8,rhs,rhs_z4c_gzz,3.1764801250958627,3.2887468430921194,3.217564612983395
core_r8,rhs,rhs_z4c_Khat,0.27537997240637135,2.340199558204392,1.7207675330278442
core_r8,rhs,rhs_z4c_Axx,1.0503907309214568,2.070743365058392,1.6834516845541034
core_r8,rhs,rhs_z4c_Axy,2.6285448161657197,3.0393835321353526,3.0951226540972603
core_r8,rhs,rhs_z4c_Axz,,,
core_r8,rhs,rhs_z4c_Ayy,0.5395741015865901,2.099301436982897,0.6071055276245747
core_r8,rhs,rhs_z4c_Ayz,,,
core_r8,rhs,rhs_z4c_Azz,0.8999791421523768,2.470173335512671,1.5189405733449344
core_r8,rhs,rhs_z4c_Gamx,2.9075474654088134,2.8963441730687705,2.650308779604467
core_r8,rhs,rhs_z4c_Gamy,2.3930588030110176,2.8842177862834157,1.6044736670443962
core_r8,rhs,rhs_z4c_Gamz,,,
core_r8,rhs,rhs_z4c_Theta,-0.3494644651776591,1.8684381088097797,0.5767063447118537
core_r8,rhs,rhs_z4c_alpha,2.165693750767279,2.15689089476672,1.8838182046621248
core_r8,rhs,rhs_z4c_betax,3.2168554264112124,3.1392799628635544,2.8818296604508555
core_r8,rhs,rhs_z4c_betay,3.069538924702615,3.0363061534235967,3.137144591044079
core_r8,rhs,rhs_z4c_betaz,,,
core_r8,rhs,rhs_z4c_Bx,2.7094200720204125,2.7811290648016613,2.558178297025175
core_r8,rhs,rhs_z4c_By,2.821245508543387,2.8309518977750048,2.760570315246059
core_r8,rhs,rhs_z4c_Bz,,,
core_r8,constraints,con_C,-0.5670812167801649,4.451427049452773,0.2762759883389054
core_r8,constraints,con_H,0.44508732204866036,3.3506886701687,-0.6718706276298545
core_r8,constraints,con_M,-0.31753714815034795,2.989810569939587,-0.2735549721476316
core_r8,constraints,con_Z,5.6099693096880845,5.593408916142299,5.199499934819039
core_r8,constraints,con_Mx,2.041251157843495,2.8885981885480043,1.5362245141422846
core_r8,constraints,con_My,0.3879514365174185,2.994012319227068,-0.7880232172711127
core_r8,constraints,con_Mz,,,
core_r12,state,state_z4c_chi,4.309263996518974,4.253160692898139,4.635309565448694
core_r12,state,state_z4c_gxx,4.116498714703748,4.074492122543867,4.587314025490788
core_r12,state,state_z4c_gxy,4.0782637491975535,4.078631639071482,4.093133767521341
core_r12,state,state_z4c_gxz,,,
core_r12,state,state_z4c_gyy,4.108296321478241,4.144949942616614,3.9388320443115066
core_r12,state,state_z4c_gyz,,,
core_r12,state,state_z4c_gzz,3.90105714213395,3.9915757559736433,3.646062620400177
core_r12,state,state_z4c_Khat,2.803992586973419,2.828723018824271,2.755566681253848
core_r12,state,state_z4c_Axx,2.828354507075346,2.8394194712838527,2.4770334259144575
core_r12,state,state_z4c_Axy,3.192521945934027,3.189255387083493,3.035647189805715
core_r12,state,state_z4c_Axz,,,
core_r12,state,state_z4c_Ayy,2.712706787577439,2.7413133222803308,2.386873083423971
core_r12,state,state_z4c_Ayz,,,
core_r12,state,state_z4c_Azz,2.924996810300132,2.9769651336066603,2.5004597871024363
core_r12,state,state_z4c_Gamx,3.3296290201785874,3.16996654364589,2.8996033461784
core_r12,state,state_z4c_Gamy,3.3991347138190924,3.454553997545897,3.1430702484545776
core_r12,state,state_z4c_Gamz,,,
core_r12,state,state_z4c_Theta,2.6338717542737697,2.660398225176608,2.356329985104167
core_r12,state,state_z4c_alpha,2.840040454814587,2.856207454136558,2.765038254577739
core_r12,state,state_z4c_betax,3.8527625742743417,3.753185085968145,3.011993825775372
core_r12,state,state_z4c_betay,3.9350219560181876,3.969051284708977,3.2455430176366113
core_r12,state,state_z4c_betaz,,,
core_r12,state,state_z4c_Bx,2.1082047468578122,2.102581688580725,2.134563284206175
core_r12,state,state_z4c_By,2.104233982489115,2.0989164562195866,2.143807535506205
core_r12,state,state_z4c_Bz,,,
core_r12,rhs,rhs_z4c_chi,3.0503258199624494,2.9842938944828123,2.9317693380944174
core_r12,rhs,rhs_z4c_gxx,3.1015003323148282,3.0426274519689214,3.5106743383725223
core_r12,rhs,rhs_z4c_gxy,3.1327252101245233,3.0725331334998924,2.8840121414050177
core_r12,rhs,rhs_z4c_gxz,,,
core_r12,rhs,rhs_z4c_gyy,2.9693550065715812,3.210463012307166,1.4641905799772361
core_r12,rhs,rhs_z4c_gyz,,,
core_r12,rhs,rhs_z4c_gzz,3.1256291710100723,3.164516086029083,3.217564612983395
core_r12,rhs,rhs_z4c_Khat,0.36441508490612623,2.354165499059952,1.7207675330278442
core_r12,rhs,rhs_z4c_Axx,1.0874834229920969,2.112493427030541,1.6834516845541034
core_r12,rhs,rhs_z4c_Axy,2.608299741884005,2.9198107370440805,3.0951226540972603
core_r12,rhs,rhs_z4c_Axz,,,
core_r12,rhs,rhs_z4c_Ayy,0.550862764795875,2.109207047310069,0.6071055276245747
core_r12,rhs,rhs_z4c_Ayz,,,
core_r12,rhs,rhs_z4c_Azz,0.944806608572352,2.4920865441085085,1.5189405733449344
core_r12,rhs,rhs_z4c_Gamx,2.889559237031545,2.765146800540166,2.650308779604467
core_r12,rhs,rhs_z4c_Gamy,2.4412084459197665,2.8965997978562443,1.6044736670443962
core_r12,rhs,rhs_z4c_Gamz,,,
core_r12,rhs,rhs_z4c_Theta,-0.33379113900444596,1.881971164227518,0.5767063447118537
core_r12,rhs,rhs_z4c_alpha,2.1946762120436607,2.212110126163402,1.8838182046621248
core_r12,rhs,rhs_z4c_betax,3.0565426550888657,2.772051129342406,2.8818296604508555
core_r12,rhs,rhs_z4c_betay,2.9951901886442394,3.0031037470418838,3.137144591044079
core_r12,rhs,rhs_z4c_betaz,,,
core_r12,rhs,rhs_z4c_Bx,2.7721584525851046,2.8143631577932657,2.558178297025175
core_r12,rhs,rhs_z4c_By,2.818821246320244,2.818517164031234,2.760570315246059
core_r12,rhs,rhs_z4c_Bz,,,
core_r12,constraints,con_C,-0.5669930532092029,4.45135609576836,0.2762759883389054
core_r12,constraints,con_H,0.44627050460895407,3.3522419063111757,-0.6718706276298545
core_r12,constraints,con_M,-0.3162144963308516,2.9916906144779567,-0.2735549721476316
core_r12,constraints,con_Z,5.610016343077377,5.593494581124235,5.199499934819039
core_r12,constraints,con_Mx,2.0427279651375017,2.891087903874116,1.5362245141422846
core_r12,constraints,con_My,0.3913266226552505,2.9984635406939546,-0.7880232172711127
core_r12,constraints,con_Mz,,,
core_r8_mb_interior,state,state_z4c_chi,4.4409890572522395,4.549037435830766,4.989925664899599
core_r8_mb_interior,state,state_z4c_gxx,4.10895723029699,4.183453164717352,4.319574716850552
core_r8_mb_interior,state,state_z4c_gxy,4.1815458899653155,4.358865174595057,4.081869087052954
core_r8_mb_interior,state,state_z4c_gxz,,,
core_r8_mb_interior,state,state_z4c_gyy,4.333614514354781,4.437431597950598,4.145475447621406
core_r8_mb_interior,state,state_z4c_gyz,,,
core_r8_mb_interior,state,state_z4c_gzz,3.942320433562495,4.064198125402595,3.4957617005009887
