resolution,transfer_order,variable,samples,total_power,high_half_nyquist_fraction,dominant_k_over_nyquist
16,4,chi,17,1.011110812017196e-07,0.6147120319425443,0.75
16,4,gxx,17,1.5577683872510724e-07,0.5203796443748583,0.25
16,4,gxy,17,1.8683311897059837e-07,0.4901511472930673,0.25
16,4,gxz,17,4.593581504447569e-08,0.42773735944457786,0.25
16,4,gyy,17,3.1371824125981317e-07,0.7027364643705086,0.75
16,4,gyz,17,1.6138976524585665e-07,0.7156233807076521,0.75
16,4,gzz,17,9.044684493151896e-08,0.4154077234109179,0.25
16,4,Khat,17,0.0007715803633963531,0.9353086888789156,0.75
16,4,Axx,17,7.843829934717396e-05,0.6907348847594986,0.75
16,4,Axy,17,0.000229758847232491,0.9134068287904474,0.75
16,4,Axz,17,0.00018214747669156682,0.9212964026351244,0.75
16,4,Ayy,17,0.0002831327979979928,0.935259099389448,0.75
16,4,Ayz,17,0.00017561176656387398,0.9090160616524969,0.75
16,4,Azz,17,0.00013888834795637654,0.9347258719199502,0.75
16,4,Gamx,17,0.0008927780134621166,0.912530081478282,0.75
16,4,Gamy,17,0.001215528383597647,0.9454645016073944,0.75
16,4,Gamz,17,0.0007728189209924276,0.9297716609038259,0.75
16,4,Theta,17,0.0003295577852968245,0.9073372194513823,0.75
16,4,alpha,17,2.239229224907763e-11,0.9633822964910213,0.75
16,4,betax,17,2.265010959471334e-11,0.9625226495156601,0.75
16,4,betay,17,2.2695812063237482e-11,0.9626114374790495,0.75
16,4,betaz,17,2.25029902184862e-11,0.9638893387887432,0.75
16,4,Bx,17,2.2119662621890746e-11,0.9661189496980895,0.75
16,4,By,17,2.1668088770271e-11,0.968478002972219,0.75
16,4,Bz,17,2.1314161516716768e-11,0.9696805638245484,0.875
16,6,chi,17,1.7301359744018034e-08,0.641177978390711,0.75
16,6,gxx,17,2.538871180086985e-08,0.5554175132703835,0.25
16,6,gxy,17,3.111914948014965e-08,0.49762026430440237,0.25
16,6,gxz,17,6.883721734658209e-09,0.4769080082806741,0.25
16,6,gyy,17,5.4990925234053016e-08,0.7152810424767966,0.75
16,6,gyz,17,2.8995173729669513e-08,0.7168301576750529,0.75
16,6,gzz,17,1.53412135160768e-08,0.42376050861483805,0.25
16,6,Khat,17,0.0001309628896116807,0.9240610815864049,0.75
16,6,Axx,17,1.3695179879636851e-05,0.6615930133941109,0.75
16,6,Axy,17,4.13164758292181e-05,0.91351688893322,0.75
16,6,Axz,17,3.2513480532998645e-05,0.9152534905062992,0.75
16,6,Ayy,17,4.995130825160227e-05,0.9392889528317928,0.75
16,6,Ayz,17,3.1115532643694826e-05,0.9005544944613686,0.75
16,6,Azz,17,2.3128526760913012e-05,0.9224663876008743,0.75
16,6,Gamx,17,0.00015085085729577135,0.8924715161054492,0.75
16,6,Gamy,17,0.0002020029688619881,0.9359095058878498,0.75
16,6,Gamz,17,0.00012866973648362223,0.9135201172666154,0.75
16,6,Theta,17,5.346270065579297e-05,0.8959526451889581,0.75
16,6,alpha,17,3.629634953621377e-12,0.9602846272436529,0.75
16,6,betax,17,3.6147699299601852e-12,0.9608252819337404,0.75
16,6,betay,17,3.5816252854273964e-12,0.9610544238901454,0.75
16,6,betaz,17,3.534682115142782e-12,0.9609375546435546,0.75
16,6,Bx,17,3.4819934540610434e-12,0.9604042336821579,0.75
16,6,By,17,3.4339317963495626e-12,0.9593715242669676,0.75
16,6,Bz,17,3.4010473074691012e-12,0.9578022068059916,0.75
32,4,chi,33,4.227460256873719e-09,0.6059155397516076,0.875
32,4,gxx,33,9.48127539239639e-09,0.44327499738881193,0.125
32,4,gxy,33,7.449831105037622e-09,0.43570117425744864,0.125
32,4,gxz,33,4.321732450178993e-09,0.42205360976886735,0.125
32,4,gyy,33,8.961566784354814e-09,0.6688196977239301,0.125
32,4,gyz,33,3.776112625047952e-09,0.7774039518681598,0.875
32,4,gzz,33,3.6254928724181474e-09,0.4990032610935861,0.125
32,4,Khat,33,0.00028347255508901696,0.9531274117497641,0.875
32,4,Axx,33,4.076982376406397e-05,0.7842561004014086,0.875
32,4,Axy,33,7.106377524749902e-05,0.9460391191061203,0.875
32,4,Axz,33,6.791630446577832e-05,0.9577107547619068,0.875
32,4,Ayy,33,0.0001260448930650257,0.9424630768860137,0.875
32,4,Ayz,33,6.674138885241932e-05,0.9599141002054459,0.875
32,4,Azz,33,5.094847101413427e-05,0.9576963589475391,0.875
32,4,Gamx,33,0.0003243379672613454,0.9386264668433708,0.875
32,4,Gamy,33,0.00045326321660349195,0.9627766454657641,0.875
32,4,Gamz,33,0.00028266284554610485,0.9553242825213536,0.875
32,4,Theta,33,0.00012057271743344827,0.9529499316913538,0.875
32,4,alpha,33,2.97412173268355e-12,0.967818890430519,0.875
32,4,betax,33,2.984567936289251e-12,0.9673973433380743,0.875
32,4,betay,33,2.980715556776101e-12,0.9687113370304709,0.875
32,4,betaz,33,2.9627086069152695e-12,0.9717557354479456,0.875
32,4,Bx,33,2.934871141225531e-12,0.9760372188795444,0.875
32,4,By,33,2.9052554751422713e-12,0.9805632624880425,0.9375
32,4,Bz,33,2.883719425484041e-12,0.9840241293222931,0.9375
32,6,chi,33,5.811576196538037e-11,0.6486742227129452,0.875
32,6,gxx,33,1.2227468718813707e-10,0.48387166571432166,0.125
32,6,gxy,33,9.868082284372298e-11,0.45921790353476066,0.125
32,6,gxz,33,5.411360648274862e-11,0.4703883536357137,0.125
32,6,gyy,33,1.268408903293895e-10,0.6901175467203191,0.875
32,6,gyz,33,5.599309217796168e-11,0.7791072304029596,0.875
32,6,gzz,33,4.9203275391246335e-11,0.5331216048562165,0.125
32,6,Khat,33,4.0393769852468835e-06,0.9478715269862475,0.875
32,6,Axx,33,6.069828263255089e-07,0.7583533174544156,0.875
32,6,Axy,33,1.0491151707748327e-06,0.9399473804111431,0.875
32,6,Axz,33,1.0020085619414061e-06,0.9496004989359265,0.875
32,6,Ayy,33,1.8581576042926632e-06,0.942797864758057,0.875
32,6,Ayz,33,9.799680455982053e-07,0.9516037698650983,0.875
32,6,Azz,33,7.146183368437995e-07,0.951060237137387,0.875
32,6,Gamx,33,4.613619123662368e-06,0.9297416175951032,0.875
32,6,Gamy,33,6.376093531044141e-06,0.9620406059350026,0.875
32,6,Gamz,33,3.980875645008336e-06,0.9508977357098268,0.875
32,6,Theta,33,1.6648598824705714e-06,0.9481491923891344,0.875
32,6,alpha,33,4.1988307784373626e-14,0.9658324693624181,0.875
32,6,betax,33,4.1836365880443876e-14,0.9671979669887835,0.875
32,6,betay,33,4.157510014719364e-14,0.9693970091526506,0.875
32,6,betaz,33,4.124156065601759e-14,0.9721498946333772,0.875
32,6,Bx,33,4.088985049233631e-14,0.9750299580897422,0.875
32,6,By,33,4.058266557888623e-14,0.9775172481533447,0.875
32,6,Bz,33,4.0379456273903725e-14,0.9790987183231017,0.9375
64,4,chi,65,1.93355704558148e-10,0.5466216237149053,0.0625
64,4,gxx,65,5.723419985664704e-10,0.4138175330649043,0.0625
64,4,gxy,65,3.5139460514708533e-10,0.3951647175526071,0.0625
64,4,gxz,65,3.032807328202507e-10,0.4199855405019046,0.0625
64,4,gyy,65,2.636496481291991e-10,0.5526372070320272,0.0625
64,4,gyz,65,6.430904279010486e-11,0.8044095963083315,0.9375
64,4,gzz,65,1.723266523957901e-10,0.5019486106362822,0.0625
64,4,Khat,65,7.68981037720944e-05,0.9633476051437911,0.9375
64,4,Axx,65,1.1973774219316958e-05,0.8248706384545731,0.9375
64,4,Axy,65,1.8577301872802192e-05,0.9613061633069715,0.9375
64,4,Axz,65,1.8606607189761602e-05,0.9674118111339562,0.96875
64,4,Ayy,65,3.5252378965673994e-05,0.9595474138191372,0.9375
64,4,Ayz,65,1.8481341405066925e-05,0.9696814267522051,0.96875
64,4,Azz,65,1.3880260583756847e-05,0.9664045470038942,0.9375
64,4,Gamx,65,8.80998182701928e-05,0.9498149383961411,0.9375
64,4,Gamy,65,0.00012329597840932236,0.9727127763202043,0.9375
64,4,Gamz,65,7.690412070284568e-05,0.9652731195293787,0.9375
64,4,Theta,65,3.2877988851074494e-05,0.9652440705517302,0.9375
64,4,alpha,65,2.215496408021746e-13,0.9765002507350039,0.9375
64,4,betax,65,2.220366272849154e-13,0.9763280998647422,0.9375
64,4,betay,65,2.2198334751780488e-13,0.9772562854963771,0.9375
64,4,betaz,65,2.2141048061317765e-13,0.9792457118739322,0.9375
64,4,Bx,65,2.204905310298919e-13,0.9819577465967386,0.9375
64,4,By,65,2.1952766572133318e-13,0.9847748295791194,0.96875
64,4,Bz,65,2.1888606146956137e-13,0.9869307035231829,0.96875
64,6,chi,65,1.7264183808402027e-13,0.5985358471237426,0.0625
64,6,gxx,65,4.876704226923893e-13,0.45681080382941297,0.0625
64,6,gxy,65,3.012072979747466e-13,0.42852374722979286,0.0625
64,6,gxz,65,2.560359885898695e-13,0.46764638206469444,0.0625
64,6,gyy,65,2.392036230430999e-13,0.5871058293339229,0.0625
64,6,gyz,65,6.385352504682662e-14,0.8058459724702908,0.9375
64,6,gzz,65,1.518650597107599e-13,0.5514494254336135,0.0625
64,6,Khat,65,7.374214511195431e-08,0.9582910313943358,0.9375
64,6,Axx,65,1.2017751567354084e-08,0.7983704694373628,0.9375
64,6,Axy,65,1.8320340254410714e-08,0.954500444489311,0.9375
64,6,Axz,65,1.8339217781813765e-08,0.9600587795468736,0.9375
64,6,Ayy,65,3.495788986714921e-08,0.9580422909742182,0.9375
64,6,Ayz,65,1.8149464355046408e-08,0.962400419606946,0.9375
64,6,Azz,65,1.3098153051041966e-08,0.9604995310109795,0.9375
64,6,Gamx,65,8.448098022310129e-08,0.9417349026770621,0.9375
64,6,Gamy,65,1.171613823769471e-07,0.9714408226842408,0.9375
64,6,Gamz,65,7.315042006023469e-08,0.9611056278023176,0.9375
64,6,Theta,65,3.0667577986418645e-08,0.9604081524015751,0.9375
64,6,alpha,65,2.1170733103334853e-16,0.9735945403048187,0.9375
64,6,betax,65,2.1128829939751068e-16,0.9745116271224376,0.9375
64,6,betay,65,2.1058609333574136e-16,0.9759930774976515,0.9375
64,6,betaz,65,2.0970215691058252e-16,0.9778410341406999,0.9375
64,6,Bx,65,2.0877983002565915e-16,0.9797689857060189,0.9375
64,6,By,65,2.0798200257078108e-16,0.9814421404319635,0.96875
64,6,Bz,65,2.0746098443114436e-16,0.9825400020307361,0.96875
128,4,chi,129,1.056259552370722e-11,0.5009477734272737,0.03125
128,4,gxx,129,3.564707676304243e-11,0.412221473589039,0.03125
128,4,gxy,129,2.0263554232316647e-11,0.3942611827764504,0.03125
128,4,gxz,129,1.9672662023580173e-11,0.4190353816982377,0.03125
128,4,gyy,129,1.1361008006906105e-11,0.46680957697630576,0.03125
128,4,gyz,129,1.0354956607306864e-12,0.8200932023065246,0.96875
128,4,gzz,129,9.876798902740407e-12,0.48305085419113253,0.03125
128,4,Khat,129,1.9437440253687486e-05,0.9685296314263103,0.96875
128,4,Axx,129,3.100148428043441e-06,0.8449275156266863,0.96875
128,4,Axy,129,4.6925071661137814e-06,0.9678881718857648,0.96875
128,4,Axz,129,4.727706928523167e-06,0.9709383454149859,0.984375
128,4,Ayy,129,8.932490214886865e-06,0.9713723593869625,0.96875
128,4,Ayz,129,4.7192931653844415e-06,0.9722972725609077,0.984375
128,4,Azz,129,3.5202146124974517e-06,0.9702173318630288,0.96875
128,4,Gamx,129,2.2302531433761747e-05,0.9547408413628573,0.96875
128,4,Gamy,129,3.1168324743985606e-05,0.978002489519571,0.96875
128,4,Gamz,129,1.9483719960730708e-05,0.9696496177779805,0.96875
128,4,Theta,129,8.341730398837996e-06,0.96987541678823,0.96875
128,4,alpha,129,1.432423446628767e-14,0.9820621479885815,0.96875
128,4,betax,129,1.4351031517303276e-14,0.9819739361865484,0.96875
128,4,betay,129,1.4360252966075365e-14,0.9824967019866364,0.96875
128,4,betaz,129,1.4352691985287824e-14,0.9836027622631456,0.96875
128,4,Bx,129,1.4334073090799306e-14,0.9850986177955466,0.96875
128,4,By,129,1.4314367535691788e-14,0.9866432768545108,0.984375
128,4,Bz,129,1.4305452459731083e-14,0.9878245252911582,0.984375
128,6,chi,129,5.895689133919999e-16,0.5540233833447216,0.03125
128,6,gxx,129,1.92829151445507e-15,0.4572367535991186,0.03125
128,6,gxy,129,1.0927979082824397e-15,0.43422251357423985,0.03125
128,6,gxz,129,1.058857232613238e-15,0.4664565976528149,0.03125
128,6,gyy,129,6.333598473268777e-16,0.5081625686046846,0.03125
128,6,gyz,129,6.535387737108265e-17,0.821247928497706,0.96875
128,6,gzz,129,5.462004337932773e-16,0.535634477348393,0.03125
128,6,Khat,129,1.187420772728888e-09,0.9630521847067308,0.96875
128,6,Axx,129,1.9832791227506132e-10,0.8177443519776282,0.96875
128,6,Axy,129,2.93857440777121e-10,0.9612295761723698,0.96875
