resolution,transfer_order,variable,mode,k_over_nyquist,power
16,4,chi,0,0.0,0.0
16,4,chi,1,0.125,4.251582131315416e-09
16,4,chi,2,0.25,3.157263132226558e-08
16,4,chi,3,0.375,3.13266957072194e-09
16,4,chi,4,0.5,2.993776137679914e-09
16,4,chi,5,0.625,5.7513419955781906e-09
16,4,chi,6,0.75,4.73932526412377e-08
16,4,chi,7,0.875,4.965449881763046e-09
16,4,chi,8,1.0,1.050377521157809e-09
16,4,gxx,0,0.0,0.0
16,4,gxx,1,0.125,8.535370319348023e-09
16,4,gxx,2,0.25,6.491418934889382e-08
16,4,gxx,3,0.375,1.2641831192544023e-09
16,4,gxx,4,0.5,6.300196972037101e-10
16,4,gxx,5,0.625,2.1611736909862565e-09
16,4,gxx,6,0.75,4.3759217097807736e-08
16,4,gxx,7,0.875,1.365387850253724e-08
16,4,gxx,8,1.0,2.0858806949076028e-08
16,4,gxy,0,0.0,0.0
16,4,gxy,1,0.125,4.158296855874347e-09
16,4,gxy,2,0.25,8.520164953781282e-08
16,4,gxy,3,0.375,5.896704961130289e-09
16,4,gxy,4,0.5,4.860394328533206e-09
16,4,gxy,5,0.625,8.774137490813505e-09
16,4,gxy,6,0.75,6.837889835995126e-08
16,4,gxy,7,0.875,5.7202449223477024e-09
16,4,gxy,8,1.0,3.842792514135248e-09
16,4,gxz,0,0.0,0.0
16,4,gxz,1,0.125,2.650976383100803e-09
16,4,gxz,2,0.25,2.2578411422857043e-08
16,4,gxz,3,0.375,1.057963007459294e-09
16,4,gxz,4,0.5,5.715540550581914e-10
16,4,gxz,5,0.625,9.58576951919318e-10
16,4,gxz,6,0.75,1.0822424806915103e-08
16,4,gxz,7,0.875,4.838433330895179e-09
16,4,gxz,8,1.0,2.4574750862707525e-09
16,4,gyy,0,0.0,0.0
16,4,gyy,1,0.125,1.13050275395105e-08
16,4,gyy,2,0.25,8.067467434444514e-08
16,4,gyy,3,0.375,1.2772917044022535e-09
16,4,gyy,4,0.5,2.4990806309932435e-09
16,4,gyy,5,0.625,8.575181150505394e-09
16,4,gyy,6,0.75,1.3295370230993046e-07
16,4,gyy,7,0.875,3.8256723658860545e-08
16,4,gyy,8,1.0,3.817655992116566e-08
16,4,gyz,0,0.0,0.0
16,4,gyz,1,0.125,4.990181589309456e-09
16,4,gyz,2,0.25,3.9538473485854474e-08
16,4,gyz,3,0.375,1.366820753838482e-09
16,4,gyz,4,0.5,2.474600780999359e-09
16,4,gyz,5,0.625,6.601684957854566e-09
16,4,gyz,6,0.75,7.70199510401739e-08
16,4,gyz,7,0.875,1.8245102707800485e-08
16,4,gyz,8,1.0,1.1152949930025926e-08
16,4,gzz,0,0.0,0.0
16,4,gzz,1,0.125,3.8342361543636215e-09
16,4,gzz,2,0.25,4.640404273498992e-08
16,4,gzz,3,0.375,2.6362480994627963e-09
16,4,gzz,4,0.5,2.147764821290676e-09
16,4,gzz,5,0.625,3.872571950089741e-09
16,4,gzz,6,0.75,2.936838631231109e-08
16,4,gzz,7,0.875,1.4433953206248202e-09
16,4,gzz,8,1.0,7.401995383862861e-10
16,4,Khat,0,0.0,0.0
16,4,Khat,1,0.125,3.4184323309428742e-06
16,4,Khat,2,0.25,2.0793807986488885e-05
16,4,Khat,3,0.375,2.570230502596101e-05
16,4,Khat,4,0.5,3.0430138746950224e-05
16,4,Khat,5,0.625,6.205832633264927e-05
16,4,Khat,6,0.75,0.0005227018359831306
16,4,Khat,7,0.875,4.85191258910728e-05
16,4,Khat,8,1.0,5.795639109915747e-05
16,4,Axx,0,0.0,0.0
16,4,Axx,1,0.125,4.084839043063553e-06
16,4,Axx,2,0.25,1.957538962453481e-05
16,4,Axx,3,0.375,5.980010192743306e-07
16,4,Axx,4,0.5,1.697980150781007e-06
16,4,Axx,5,0.625,4.3397562889354354e-06
16,4,Axx,6,0.75,4.017002482029741e-05
16,4,Axx,7,0.875,2.169923881274537e-06
16,4,Axx,8,1.0,5.802384519012867e-06
16,4,Axy,0,0.0,0.0
16,4,Axy,1,0.125,3.5117519723499634e-06
16,4,Axy,2,0.25,1.1542599189103833e-05
16,4,Axy,3,0.375,4.841196033858739e-06
16,4,Axy,4,0.5,6.089527321103038e-06
16,4,Axy,5,0.625,1.3390308906998046e-05
16,4,Axy,6,0.75,0.0001363252674122496
16,4,Axy,7,0.875,5.1506436828572024e-05
16,4,Axy,8,1.0,2.551759568255764e-06
16,4,Axz,0,0.0,0.0
16,4,Axz,1,0.125,1.0965437707198437e-06
16,4,Axz,2,0.25,1.0318524716710364e-05
16,4,Axz,3,0.375,2.9205931791309436e-06
16,4,Axz,4,0.5,3.2682997169476257e-06
16,4,Axz,5,0.625,7.530182434990893e-06
16,4,Axz,6,0.75,9.406481464812103e-05
16,4,Axz,7,0.875,6.206910820383648e-05
16,4,Axz,8,1.0,8.794100211096459e-07
16,4,Ayy,0,0.0,0.0
16,4,Ayy,1,0.125,4.792279728509561e-06
16,4,Ayy,2,0.25,6.810394197950766e-06
16,4,Ayy,3,0.375,6.72759840831525e-06
16,4,Ayy,4,0.5,1.059503643772805e-05
16,4,Ayy,5,0.625,2.3445150733680224e-05
16,4,Ayy,6,0.75,0.00020353690312523436
16,4,Ayy,7,0.875,1.7961415391743998e-05
16,4,Ayy,8,1.0,9.264019974830593e-06
16,4,Ayz,0,0.0,0.0
16,4,Ayz,1,0.125,8.519050482446081e-07
16,4,Ayz,2,0.25,1.3840127724171803e-05
16,4,Ayz,3,0.375,1.2858173697272081e-06
16,4,Ayz,4,0.5,1.506470457822194e-06
16,4,Ayz,5,0.625,4.680782864109536e-06
16,4,Ayz,6,0.75,8.282069873051408e-05
16,4,Ayz,7,0.875,5.6119140877280066e-05
16,4,Ayz,8,1.0,1.45068234920045e-05
16,4,Azz,0,0.0,0.0
16,4,Azz,1,0.125,8.824149853223877e-07
16,4,Azz,2,0.25,4.862186232868681e-06
16,4,Azz,3,0.375,3.321214595140021e-06
16,4,Azz,4,0.5,3.9760512384590074e-06
16,4,Azz,5,0.625,8.696765351770778e-06
16,4,Azz,6,0.75,8.554111121256673e-05
16,4,Azz,7,0.875,9.054124405004592e-06
16,4,Azz,8,1.0,2.2554479935244352e-05
16,4,Gamx,0,0.0,0.0
16,4,Gamx,1,0.125,1.802175054395071e-06
16,4,Gamx,2,0.25,4.3902419989054616e-05
16,4,Gamx,3,0.375,3.238662505206291e-05
16,4,Gamx,4,0.5,3.665653276285065e-05
16,4,Gamx,5,0.625,7.336457938959587e-05
16,4,Gamx,6,0.75,0.0006021166537519468
16,4,Gamx,7,0.875,2.452352467877967e-05
16,4,Gamx,8,1.0,7.802550278343113e-05
16,4,Gamy,0,0.0,0.0
16,4,Gamy,1,0.125,1.901706917295195e-06
16,4,Gamy,2,0.25,2.6327421764684786e-05
16,4,Gamy,3,0.375,3.8060317527875776e-05
16,4,Gamy,4,0.5,4.6809458171226475e-05
16,4,Gamy,5,0.625,9.709498933932311e-05
16,4,Gamy,6,0.75,0.0008291285664122051
16,4,Gamy,7,0.875,6.823607669865623e-05
