resolution,transfer_order,category,variable,count,rms,linf,order_from_previous
16,4,all,Axx,405,0.0002017109560124669,0.0013627701677238814,
16,4,all,Axy,405,0.0002917804601291555,0.0020697764096407807,
16,4,all,Axz,405,0.00024547228989642376,0.002306730385075885,
16,4,all,Ayy,405,0.0003064835792153151,0.002121063000011917,
16,4,all,Ayz,405,0.00023939479374834023,0.0022959778503471536,
16,4,all,Azz,405,0.00021176054878744303,0.0020318002545797165,
16,4,all,Bx,405,8.37010780377806e-08,7.592291092787065e-07,
16,4,all,By,405,8.28485004329586e-08,7.640373399019703e-07,
16,4,all,Bz,405,8.221003012591635e-08,7.443560371941331e-07,
16,4,all,Gamx,405,0.0005441689220698374,0.005087231765768125,
16,4,all,Gamy,405,0.0006133046706699636,0.006096410721843472,
16,4,all,Gamz,405,0.0004941444750712231,0.0050165594149524945,
16,4,all,Khat,405,0.0005001160778369528,0.003996978709757625,
16,4,all,Theta,405,0.00032445873619339354,0.0032165496715913493,
16,4,all,alpha,405,8.590135803239967e-08,6.445827825984907e-07,
16,4,all,betax,405,8.56214137840537e-08,7.45960671875573e-07,
16,4,all,betay,405,8.517492349293779e-08,8.012549948493877e-07,
16,4,all,betaz,405,8.452451267943787e-08,8.056726693137776e-07,
16,4,all,chi,405,6.128202608000412e-06,4.023629659926178e-05,
16,4,all,gxx,405,8.67182488074528e-06,6.184066089201209e-05,
16,4,all,gxy,405,8.445153448425664e-06,6.703411970930529e-05,
16,4,all,gxz,405,5.418607839689709e-06,4.876102572376726e-05,
16,4,all,gyy,405,1.0174992942328252e-05,7.550362624571369e-05,
16,4,all,gyz,405,7.221777891281024e-06,5.557942138483159e-05,
16,4,all,gzz,405,5.867917106499032e-06,3.9620462646573155e-05,
16,4,coarse_all,Axx,81,1.3629274814963324e-19,8.673617379884035e-19,
16,4,coarse_all,Axy,81,1.1803298224917694e-19,8.673617379884035e-19,
16,4,coarse_all,Axz,81,1.7036593518704155e-20,1.0842021724855044e-19,
16,4,coarse_all,Ayy,81,0.0,0.0,
16,4,coarse_all,Ayz,81,0.0,0.0,
16,4,coarse_all,Azz,81,0.0,0.0,
16,4,coarse_all,Bx,81,1.7469163276015003e-22,1.1117307432712692e-21,
16,4,coarse_all,By,81,1.7469163276015003e-22,1.1117307432712692e-21,
16,4,coarse_all,Bz,81,3.08042847685421e-22,1.61465655570351e-21,
16,4,coarse_all,Gamx,81,2.4093381610788986e-20,2.168404344971009e-19,
16,4,coarse_all,Gamy,81,5.45170992598533e-19,3.469446951953614e-18,
16,4,coarse_all,Gamz,81,0.0,0.0,
16,4,coarse_all,Khat,81,0.0,0.0,
16,4,coarse_all,Theta,81,0.0,0.0,
16,4,coarse_all,alpha,81,0.0,0.0,
16,4,coarse_all,betax,81,1.6637298358109528e-22,1.0587911840678754e-21,
16,4,coarse_all,betay,81,1.876772799237349e-22,1.0587911840678754e-21,
16,4,coarse_all,betaz,81,1.830102819392048e-22,1.164670302474663e-21,
16,4,coarse_all,chi,81,0.0,0.0,
16,4,coarse_all,gxx,81,0.0,0.0,
16,4,coarse_all,gxy,81,3.407318703740831e-20,2.168404344971009e-19,
16,4,coarse_all,gxz,81,0.0,0.0,
16,4,coarse_all,gyy,81,0.0,0.0,
16,4,coarse_all,gyz,81,0.0,0.0,
16,4,coarse_all,gzz,81,0.0,0.0,
16,4,coarse_interior,Axx,36,0.0,0.0,
16,4,coarse_interior,Axy,36,0.0,0.0,
16,4,coarse_interior,Axz,36,0.0,0.0,
16,4,coarse_interior,Ayy,36,0.0,0.0,
16,4,coarse_interior,Ayz,36,0.0,0.0,
16,4,coarse_interior,Azz,36,0.0,0.0,
16,4,coarse_interior,Bx,36,0.0,0.0,
16,4,coarse_interior,By,36,0.0,0.0,
16,4,coarse_interior,Bz,36,0.0,0.0,
16,4,coarse_interior,Gamx,36,0.0,0.0,
16,4,coarse_interior,Gamy,36,0.0,0.0,
16,4,coarse_interior,Gamz,36,0.0,0.0,
16,4,coarse_interior,Khat,36,0.0,0.0,
