axis_tau,coordinate_time,region,family,variable,coarse_resolution,fine_resolution,rms,linf,ring_rms
0.0,0.0,full,state,state_z4c_chi,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_gxx,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_gxy,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_gxz,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_gyy,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_gyz,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_gzz,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_Khat,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_Axx,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_Axy,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_Axz,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_Ayy,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_Ayz,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_Azz,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_Gamx,128,256,3.9138670469410436e-05,0.0011674170830979769,3.1519883993145944e-05
0.0,0.0,full,state,state_z4c_Gamy,128,256,3.581952490483527e-05,0.0010730341887288386,2.8860375768829e-05
0.0,0.0,full,state,state_z4c_Gamz,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_Theta,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_alpha,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_betax,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_betay,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_betaz,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_Bx,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_By,128,256,0.0,0.0,0.0
0.0,0.0,full,state,state_z4c_Bz,128,256,0.0,0.0,0.0
0.0,0.0,full,rhs,rhs_z4c_chi,128,256,3.3224752339822e-08,1.6607936648593837e-06,2.6833747682601058e-08
0.0,0.0,full,rhs,rhs_z4c_gxx,128,256,4.543363464729408e-08,6.875102295733627e-07,3.651289447345495e-08
0.0,0.0,full,rhs,rhs_z4c_gxy,128,256,0.0,0.0,0.0
0.0,0.0,full,rhs,rhs_z4c_gxz,128,256,0.0,0.0,0.0
0.0,0.0,full,rhs,rhs_z4c_gyy,128,256,4.543363464729408e-08,6.875102295733627e-07,3.651289447345495e-08
0.0,0.0,full,rhs,rhs_z4c_gyz,128,256,0.0,0.0,0.0
0.0,0.0,full,rhs,rhs_z4c_gzz,128,256,2.232851490370465e-06,0.00012759482106275755,1.7986491895913273e-06
0.0,0.0,full,rhs,rhs_z4c_Khat,128,256,5.522966470057282e-06,0.00015791369915674203,4.5184381588247945e-06
0.0,0.0,full,rhs,rhs_z4c_Axx,128,256,2.3548133845344556e-05,0.0007631263869183058,1.9119272829948555e-05
0.0,0.0,full,rhs,rhs_z4c_Axy,128,256,1.0898780105454403e-05,0.0002881202864258789,8.83042182107189e-06
0.0,0.0,full,rhs,rhs_z4c_Axz,128,256,0.0,0.0,0.0
0.0,0.0,full,rhs,rhs_z4c_Ayy,128,256,2.2864342865014666e-05,0.0006785361821518565,1.8530046444850526e-05
0.0,0.0,full,rhs,rhs_z4c_Ayz,128,256,0.0,0.0,0.0
0.0,0.0,full,rhs,rhs_z4c_Azz,128,256,4.817648202310862e-05,0.0020456940588982064,3.909580724819946e-05
0.0,0.0,full,rhs,rhs_z4c_Gamx,128,256,1.2246954053047528e-06,4.776628918578219e-05,9.859143249196034e-07
0.0,0.0,full,rhs,rhs_z4c_Gamy,128,256,1.0992096891733187e-06,4.3077787926497635e-05,8.855941751476877e-07
0.0,0.0,full,rhs,rhs_z4c_Gamz,128,256,0.0,0.0,0.0
0.0,0.0,full,rhs,rhs_z4c_Theta,128,256,5.131578579444722e-05,0.0025137245057368683,4.15322170855169e-05
