axis_tau,region,family,variable,observed_order_rms,difference_128_256_rms,difference_256_512_rms,worst_rho,worst_z,N128_value,N256_value,N512_value,worst_abs_difference_256_512
0.125,outer_layer_0,rhs,rhs_z4c_Theta,-3.2616259606057274,7.888062638965936e-08,7.56515097405393e-07,16.0,0.0,6.263733329194136e-06,6.156416398574748e-06,4.528048993764589e-06,1.6283674048101585e-06
0.125,outer_layer_0,constraints,con_C,-1.5208127667248188,4.2225652407706783e-10,1.2116763435949875e-09,16.0,0.0,1.4475980831468689e-08,1.317180349132251e-08,9.429700447635991e-09,3.7421030436865194e-09
0.125,outer_layer_0,constraints,con_My,-1.349112093915447,1.2267480848887055e-06,3.125205618730384e-06,0.0,16.0,3.0346080163051697e-05,3.279721869847099e-05,2.7252455041844797e-05,5.5447636566261955e-06
0.125,outer_layer_0,constraints,con_Mx,-1.2854714656256625,1.4472423398397633e-06,3.5278225284228747e-06,16.0,0.0,4.3848197181069274e-05,4.755217743339248e-05,3.901908632317319e-05,8.533091110219285e-06
0.125,outer_layer_0,constraints,con_M,-1.1829667440940632,1.0221745895318725e-10,2.3207777621450848e-10,16.0,0.0,1.386667899861428e-09,1.6308338441746184e-09,1.0980524357658195e-09,5.327814084087989e-10
0.125,outer_layer_0,rhs,rhs_z4c_Gamx,-0.9670634220844483,4.180859284930228e-07,8.172983996251045e-07,16.0,0.0,3.147050767660754e-07,1.1426135475366638e-06,-1.3983685902608995e-06,2.5409821377975635e-06
0.125,outer_layer_0,rhs,rhs_z4c_Khat,-0.4648150638786465,1.403451435129698e-06,1.93696005970262e-06,16.0,0.0,-3.389146468514789e-05,-3.030434871256236e-05,-2.5460872133535353e-05,4.843476579027006e-06
0.125,outer_layer_0,constraints,con_H,-0.4451798001174284,4.706043049599081e-06,6.407201302844917e-06,16.0,0.0,-0.00011363585516728123,-0.00010628760689128368,-8.985475172661482e-05,1.6432855164668863e-05
0.125,outer_layer_0,rhs,rhs_z4c_Gamy,-0.4438203126678163,3.5495138503694353e-07,4.82805381182368e-07,0.0,-16.0,2.3514545376530365e-07,-2.9465235687343235e-07,8.947857707086647e-07,1.189438127582097e-06
0.125,outer_layer_1,constraints,con_C,-1.3086685138011274,2.30550561956497e-10,5.711032901555034e-10,15.875,0.0,1.9218979578272614e-09,2.4523568324950527e-09,3.778391374716034e-09,1.3260345422209814e-09
0.125,outer_layer_1,constraints,con_H,-1.2061438231654176,2.5699680640369816e-06,5.929433414101074e-06,15.875,0.0,-4.004917177362455e-05,-4.4534240451401714e-05,-5.5189427122112875e-05,1.0655186670711161e-05
0.125,outer_layer_1,rhs,rhs_z4c_Axy,-1.055255975614456,9.784718112725061e-07,2.0333494396183183e-06,15.875,-15.875,6.627565959230937e-06,4.029943798478499e-06,-1.7549161297477585e-07,4.205435411453275e-06
0.125,outer_layer_1,constraints,con_M,-0.7856484863778539,8.16053175417964e-11,1.4067671536270797e-10,15.875,0.0,2.9625574973719046e-10,4.604593795520048e-10,7.273207823717095e-10,2.6686140281970473e-10
0.125,outer_layer_1,rhs,rhs_z4c_Azz,-0.6507697490122428,1.118004997329238e-06,1.7552741601509208e-06,15.875,15.875,4.988211647367232e-06,3.2388038427893165e-06,4.498607993877219e-07,2.7889430434015945e-06
0.125,outer_layer_1,constraints,con_My,-0.49456960558967533,2.2326524881053856e-06,3.1455849386294452e-06,0.0,15.875,1.4620150301904539e-05,1.8201027717531748e-05,2.310034846307243e-05,4.899320745540681e-06
0.125,outer_layer_1,rhs,rhs_z4c_Ayy,-0.4756033998225713,1.3778781486980787e-06,1.915939107778266e-06,0.0,15.875,-4.4773100711858e-05,-4.232128779224162e-05,-3.89059246385773e-05,3.4153631536643195e-06
0.125,outer_layer_1,constraints,con_Mx,-0.45564030678034306,2.312043545833745e-06,3.170716473823432e-06,15.875,0.0,2.0293750474772753e-05,2.53002384006042e-05,3.1797425914918786e-05,6.497187514314584e-06
0.125,outer_layer_1,rhs,rhs_z4c_Axx,-0.4489138290013228,1.4960403468193477e-06,2.042113301740328e-06,15.875,0.0,-6.478528092572073e-05,-6.138367067334098e-05,-5.7506622741684515e-05,3.877047931656464e-06
0.125,outer_layer_1,rhs,rhs_z4c_Theta,-0.16912637094900398,4.2974885131907234e-07,4.831998994535364e-07,15.875,-0.125,3.923997598345874e-06,2.7686163095236174e-06,3.50574333512617e-06,7.371270256025528e-07
0.25,axis_core_r8,state,state_z4c_chi,-1.0958114607124363,1.0095751331648605e-10,2.1577978905379482e-10,0.0,5.375,0.5088422769695502,0.5088422769249821,0.5088422776591419,7.341598440291364e-10
0.25,outer_layer_0,state,state_z4c_Gamy,-1.1382888606705306,5.862666101196626e-08,1.290488833950265e-07,0.0,-16.0,7.661884306988085e-08,1.9920681668357095e-07,5.183637815705845e-07,3.1915696488701354e-07
0.25,outer_layer_0,state,state_z4c_Gamx,-0.8754830788968965,1.210945889504052e-07,2.2216283296618695e-07,16.0,0.0,1.9709546588566384e-07,-1.3711133186423626e-07,-8.264995224744661e-07,6.893881906102299e-07
