AthenaK Kokkos default execution space: Cuda

Root grid = 4 x 8 x 1 MeshBlocks
Total number of MeshBlocks = 32
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1
AssembleZ4cTasks
Direct global Brill coefficient import: radial_points=128 angular_points=32 adm_mass=2.6606354586228815 min_psi4=1.2467877953990329 lapse=psi^-2 min_lapse=0.31260438298701243 max_lapse=0.8955786439525143
Converted imported ADM data to Z4c proper_box_C_rms=0.00014028215946305404 proper_box_H_rms=0.00013992246604295375 proper_box_M_rms=0 proper_box_Z_rms=5.0196553685532509e-06 coordinate_support_H_rms=7.7623624693829033e-08 coordinate_support_M_rms=0
Initialized Z4c from IrisK data mode=direct_global_coefficients path=/pscratch/sd/h/hzhu/z4c-vc-cartoon-axis-boundary-20260823/authority/brill_global_128x32_origin_control.coefficients bytes=95927

Setup complete, executing task list(s)...

elapsed=4.624360e-01 cycle=0 time=0.000000e+00 dt=1.082331e-02
elapsed=4.894273e-01 cycle=1 time=1.082331e-02 dt=1.078638e-02
elapsed=5.039598e-01 cycle=2 time=2.160970e-02 dt=1.074699e-02
elapsed=5.179448e-01 cycle=3 time=3.235669e-02 dt=1.071084e-02
elapsed=5.343446e-01 cycle=4 time=4.306753e-02 dt=1.067781e-02
elapsed=5.483915e-01 cycle=5 time=5.374534e-02 dt=1.064781e-02
elapsed=5.632406e-01 cycle=6 time=6.439315e-02 dt=1.060281e-02
elapsed=5.775625e-01 cycle=7 time=7.499596e-02 dt=1.055520e-02
elapsed=5.942788e-01 cycle=8 time=8.555116e-02 dt=1.051154e-02
elapsed=6.086342e-01 cycle=9 time=9.606270e-02 dt=1.047169e-02
elapsed=6.229363e-01 cycle=10 time=1.065344e-01 dt=1.043554e-02
elapsed=6.373734e-01 cycle=11 time=1.169699e-01 dt=1.040297e-02
elapsed=6.580341e-01 cycle=12 time=1.273729e-01 dt=1.037388e-02
elapsed=6.731885e-01 cycle=13 time=1.377468e-01 dt=1.034816e-02
elapsed=6.877566e-01 cycle=14 time=1.480949e-01 dt=1.032116e-02
elapsed=7.024105e-01 cycle=15 time=1.584161e-01 dt=1.028741e-02
elapsed=7.193355e-01 cycle=16 time=1.687035e-01 dt=1.025744e-02
elapsed=7.339256e-01 cycle=17 time=1.789610e-01 dt=1.023112e-02
elapsed=7.483344e-01 cycle=18 time=1.891921e-01 dt=1.020834e-02
elapsed=7.620949e-01 cycle=19 time=1.994004e-01 dt=1.018897e-02
elapsed=9.194587e-01 cycle=20 time=2.095894e-01 dt=1.017292e-02
elapsed=9.346626e-01 cycle=21 time=2.197623e-01 dt=1.016008e-02
elapsed=9.474127e-01 cycle=22 time=2.299224e-01 dt=1.015034e-02
elapsed=9.601420e-01 cycle=23 time=2.400727e-01 dt=1.014361e-02
elapsed=9.749786e-01 cycle=24 time=2.502163e-01 dt=1.013980e-02
elapsed=9.877908e-01 cycle=25 time=2.603561e-01 dt=1.013881e-02
elapsed=1.000555e+00 cycle=26 time=2.704950e-01 dt=1.014056e-02
elapsed=1.013319e+00 cycle=27 time=2.806355e-01 dt=1.014495e-02
elapsed=1.028460e+00 cycle=28 time=2.907805e-01 dt=1.015191e-02
elapsed=1.041788e+00 cycle=29 time=3.009324e-01 dt=1.015472e-02
elapsed=1.054403e+00 cycle=30 time=3.110871e-01 dt=1.015724e-02
elapsed=1.066961e+00 cycle=31 time=3.212443e-01 dt=1.016239e-02
elapsed=1.081798e+00 cycle=32 time=3.314067e-01 dt=1.017007e-02
elapsed=1.094408e+00 cycle=33 time=3.415768e-01 dt=1.018022e-02
elapsed=1.107053e+00 cycle=34 time=3.517570e-01 dt=1.019278e-02
elapsed=1.119705e+00 cycle=35 time=3.619498e-01 dt=1.020766e-02
elapsed=1.134687e+00 cycle=36 time=3.721575e-01 dt=1.022480e-02
elapsed=1.149016e+00 cycle=37 time=3.823823e-01 dt=1.024414e-02
elapsed=1.162277e+00 cycle=38 time=3.926264e-01 dt=1.026559e-02
elapsed=1.288085e+00 cycle=39 time=4.028920e-01 dt=1.028909e-02
elapsed=1.303336e+00 cycle=40 time=4.131811e-01 dt=1.031458e-02
elapsed=1.316038e+00 cycle=41 time=4.234957e-01 dt=1.034199e-02
elapsed=1.327900e+00 cycle=42 time=4.338377e-01 dt=1.037124e-02
elapsed=1.339724e+00 cycle=43 time=4.442089e-01 dt=1.040226e-02
elapsed=1.354817e+00 cycle=44 time=4.546112e-01 dt=1.043089e-02
elapsed=1.368868e+00 cycle=45 time=4.650420e-01 dt=1.045682e-02
elapsed=1.380693e+00 cycle=46 time=4.754989e-01 dt=1.048467e-02
elapsed=1.392526e+00 cycle=47 time=4.859835e-01 dt=1.051438e-02
elapsed=1.406301e+00 cycle=48 time=4.964979e-01 dt=1.054590e-02
elapsed=1.418213e+00 cycle=49 time=5.070438e-01 dt=1.057917e-02
elapsed=1.429995e+00 cycle=50 time=5.176230e-01 dt=1.061413e-02
elapsed=1.441814e+00 cycle=51 time=5.282371e-01 dt=1.065072e-02
elapsed=1.456886e+00 cycle=52 time=5.388878e-01 dt=1.068887e-02
elapsed=1.469142e+00 cycle=53 time=5.495767e-01 dt=1.072852e-02
elapsed=1.481124e+00 cycle=54 time=5.603052e-01 dt=1.076960e-02
elapsed=1.493539e+00 cycle=55 time=5.710748e-01 dt=1.081203e-02
elapsed=1.507392e+00 cycle=56 time=5.818869e-01 dt=1.084937e-02
elapsed=1.519227e+00 cycle=57 time=5.927362e-01 dt=1.088587e-02
elapsed=1.633939e+00 cycle=58 time=6.036221e-01 dt=1.092399e-02
elapsed=1.647863e+00 cycle=59 time=6.145461e-01 dt=1.096365e-02
elapsed=1.662899e+00 cycle=60 time=6.255097e-01 dt=1.100480e-02
elapsed=1.676065e+00 cycle=61 time=6.365145e-01 dt=1.104738e-02
elapsed=1.689136e+00 cycle=62 time=6.475619e-01 dt=1.109132e-02
elapsed=1.702025e+00 cycle=63 time=6.586532e-01 dt=1.113655e-02
elapsed=1.716922e+00 cycle=64 time=6.697898e-01 dt=1.118298e-02
elapsed=1.729972e+00 cycle=65 time=6.809728e-01 dt=1.122556e-02
elapsed=1.743024e+00 cycle=66 time=6.921983e-01 dt=1.126486e-02
elapsed=1.756077e+00 cycle=67 time=7.034632e-01 dt=1.130568e-02
elapsed=1.771095e+00 cycle=68 time=7.147689e-01 dt=1.134796e-02
elapsed=1.784149e+00 cycle=69 time=7.261168e-01 dt=1.139163e-02
elapsed=1.797148e+00 cycle=70 time=7.375085e-01 dt=1.143663e-02
elapsed=1.810079e+00 cycle=71 time=7.489451e-01 dt=1.148288e-02
elapsed=1.824921e+00 cycle=72 time=7.604280e-01 dt=1.153031e-02
elapsed=1.838035e+00 cycle=73 time=7.719583e-01 dt=1.157282e-02
elapsed=1.851133e+00 cycle=74 time=7.835311e-01 dt=1.161191e-02
elapsed=1.864234e+00 cycle=75 time=7.951430e-01 dt=1.165250e-02
elapsed=1.990830e+00 cycle=76 time=8.067955e-01 dt=1.169455e-02
elapsed=2.003620e+00 cycle=77 time=8.184901e-01 dt=1.173799e-02
elapsed=2.015593e+00 cycle=78 time=8.302281e-01 dt=1.178274e-02
elapsed=2.027516e+00 cycle=79 time=8.420108e-01 dt=1.182872e-02
elapsed=2.041578e+00 cycle=80 time=8.538395e-01 dt=1.187502e-02
elapsed=2.053660e+00 cycle=81 time=8.657145e-01 dt=1.191141e-02
elapsed=2.065495e+00 cycle=82 time=8.776260e-01 dt=1.194938e-02
elapsed=2.077472e+00 cycle=83 time=8.895753e-01 dt=1.198885e-02
elapsed=2.091363e+00 cycle=84 time=9.015642e-01 dt=1.202978e-02
elapsed=2.103373e+00 cycle=85 time=9.135940e-01 dt=1.207209e-02
elapsed=2.116138e+00 cycle=86 time=9.256661e-01 dt=1.211570e-02
elapsed=2.128293e+00 cycle=87 time=9.377818e-01 dt=1.216054e-02
elapsed=2.143705e+00 cycle=88 time=9.499423e-01 dt=1.219748e-02
elapsed=2.156162e+00 cycle=89 time=9.621398e-01 dt=1.223222e-02
elapsed=2.168159e+00 cycle=90 time=9.743720e-01 dt=1.226854e-02
elapsed=2.180760e+00 cycle=91 time=9.866405e-01 dt=1.230636e-02
elapsed=2.198143e+00 cycle=92 time=9.989469e-01 dt=1.234563e-02
elapsed=2.318719e+00 cycle=93 time=1.011293e+00 dt=1.238627e-02
elapsed=2.331309e+00 cycle=94 time=1.023679e+00 dt=1.242820e-02
elapsed=2.343244e+00 cycle=95 time=1.036107e+00 dt=1.246710e-02
elapsed=2.358200e+00 cycle=96 time=1.048574e+00 dt=1.249833e-02
elapsed=2.370904e+00 cycle=97 time=1.061072e+00 dt=1.253117e-02
elapsed=2.382730e+00 cycle=98 time=1.073604e+00 dt=1.256557e-02
elapsed=2.394489e+00 cycle=99 time=1.086169e+00 dt=1.260147e-02
elapsed=2.408109e+00 cycle=100 time=1.098771e+00 dt=1.263880e-02
elapsed=2.419950e+00 cycle=101 time=1.111409e+00 dt=1.267747e-02
elapsed=2.431741e+00 cycle=102 time=1.124087e+00 dt=1.271741e-02
elapsed=2.443806e+00 cycle=103 time=1.136804e+00 dt=1.274717e-02
elapsed=2.458034e+00 cycle=104 time=1.149552e+00 dt=1.277643e-02
elapsed=2.469903e+00 cycle=105 time=1.162328e+00 dt=1.280729e-02
elapsed=2.481804e+00 cycle=106 time=1.175135e+00 dt=1.283968e-02
elapsed=2.493706e+00 cycle=107 time=1.187975e+00 dt=1.287355e-02
elapsed=2.610569e+00 cycle=108 time=1.200848e+00 dt=1.290880e-02
elapsed=2.624081e+00 cycle=109 time=1.213757e+00 dt=1.294537e-02
elapsed=2.636836e+00 cycle=110 time=1.226703e+00 dt=1.297939e-02
elapsed=2.649577e+00 cycle=111 time=1.239682e+00 dt=1.300511e-02
elapsed=2.664165e+00 cycle=112 time=1.252687e+00 dt=1.303244e-02
elapsed=2.677709e+00 cycle=113 time=1.265720e+00 dt=1.306132e-02
elapsed=2.691288e+00 cycle=114 time=1.278781e+00 dt=1.309170e-02
elapsed=2.705772e+00 cycle=115 time=1.291873e+00 dt=1.312351e-02
elapsed=2.722156e+00 cycle=116 time=1.304996e+00 dt=1.315666e-02
elapsed=2.735725e+00 cycle=117 time=1.318153e+00 dt=1.319107e-02
elapsed=2.748376e+00 cycle=118 time=1.331344e+00 dt=1.321843e-02
elapsed=2.762373e+00 cycle=119 time=1.344562e+00 dt=1.324234e-02
elapsed=2.779157e+00 cycle=120 time=1.357805e+00 dt=1.326781e-02
elapsed=2.792181e+00 cycle=121 time=1.371072e+00 dt=1.329478e-02
elapsed=2.804100e+00 cycle=122 time=1.384367e+00 dt=1.332320e-02
elapsed=2.816137e+00 cycle=123 time=1.397690e+00 dt=1.335297e-02
elapsed=2.932907e+00 cycle=124 time=1.411043e+00 dt=1.338404e-02
elapsed=2.946884e+00 cycle=125 time=1.424427e+00 dt=1.341630e-02
elapsed=2.959803e+00 cycle=126 time=1.437844e+00 dt=1.343841e-02
elapsed=2.972240e+00 cycle=127 time=1.451282e+00 dt=1.346061e-02
elapsed=2.986083e+00 cycle=128 time=1.464743e+00 dt=1.348432e-02
elapsed=2.998042e+00 cycle=129 time=1.478227e+00 dt=1.350946e-02
elapsed=3.009903e+00 cycle=130 time=1.491737e+00 dt=1.353597e-02
elapsed=3.021679e+00 cycle=131 time=1.505273e+00 dt=1.356378e-02
elapsed=3.035431e+00 cycle=132 time=1.518836e+00 dt=1.359281e-02
elapsed=3.047236e+00 cycle=133 time=1.532429e+00 dt=1.362194e-02
elapsed=3.059930e+00 cycle=134 time=1.546051e+00 dt=1.364108e-02
elapsed=3.071703e+00 cycle=135 time=1.559692e+00 dt=1.366169e-02
elapsed=3.085316e+00 cycle=136 time=1.573354e+00 dt=1.368373e-02
elapsed=3.097143e+00 cycle=137 time=1.587038e+00 dt=1.370714e-02
elapsed=3.212058e+00 cycle=138 time=1.600745e+00 dt=1.373184e-02
elapsed=3.225182e+00 cycle=139 time=1.614477e+00 dt=1.375777e-02
elapsed=3.240790e+00 cycle=140 time=1.628234e+00 dt=1.378483e-02
elapsed=3.252867e+00 cycle=141 time=1.642019e+00 dt=1.381037e-02
elapsed=3.264810e+00 cycle=142 time=1.655829e+00 dt=1.382811e-02
elapsed=3.276614e+00 cycle=143 time=1.669658e+00 dt=1.384725e-02
elapsed=3.290324e+00 cycle=144 time=1.683505e+00 dt=1.386774e-02
elapsed=3.302194e+00 cycle=145 time=1.697373e+00 dt=1.388951e-02
elapsed=3.314071e+00 cycle=146 time=1.711262e+00 dt=1.391249e-02
elapsed=3.326244e+00 cycle=147 time=1.725175e+00 dt=1.393661e-02
elapsed=3.340851e+00 cycle=148 time=1.739111e+00 dt=1.396178e-02
elapsed=3.352861e+00 cycle=149 time=1.753073e+00 dt=1.398456e-02
elapsed=3.364677e+00 cycle=150 time=1.767058e+00 dt=1.400103e-02
elapsed=3.379936e+00 cycle=151 time=1.781059e+00 dt=1.401881e-02
elapsed=3.394277e+00 cycle=152 time=1.795077e+00 dt=1.403784e-02
elapsed=3.520587e+00 cycle=153 time=1.809115e+00 dt=1.405808e-02
elapsed=3.534347e+00 cycle=154 time=1.823173e+00 dt=1.407943e-02
elapsed=3.547598e+00 cycle=155 time=1.837253e+00 dt=1.410183e-02
elapsed=3.561793e+00 cycle=156 time=1.851355e+00 dt=1.412520e-02
elapsed=3.573944e+00 cycle=157 time=1.865480e+00 dt=1.414587e-02
elapsed=3.586115e+00 cycle=158 time=1.879626e+00 dt=1.416117e-02
elapsed=3.598316e+00 cycle=159 time=1.893787e+00 dt=1.417769e-02
elapsed=3.612406e+00 cycle=160 time=1.907965e+00 dt=1.419537e-02
elapsed=3.624636e+00 cycle=161 time=1.922160e+00 dt=1.421416e-02
elapsed=3.636882e+00 cycle=162 time=1.936374e+00 dt=1.422659e-02
elapsed=3.649088e+00 cycle=163 time=1.950601e+00 dt=1.422455e-02
elapsed=3.663182e+00 cycle=164 time=1.964825e+00 dt=1.422284e-02
elapsed=3.675411e+00 cycle=165 time=1.979048e+00 dt=1.422147e-02
elapsed=3.687604e+00 cycle=166 time=1.993269e+00 dt=1.422043e-02
elapsed=3.804059e+00 cycle=167 time=2.007490e+00 dt=1.421972e-02
elapsed=3.820751e+00 cycle=168 time=2.021710e+00 dt=1.421936e-02
elapsed=3.833302e+00 cycle=169 time=2.035929e+00 dt=1.421933e-02
elapsed=3.845694e+00 cycle=170 time=2.050148e+00 dt=1.421965e-02
elapsed=3.858024e+00 cycle=171 time=2.064368e+00 dt=1.422032e-02
elapsed=3.873048e+00 cycle=172 time=2.078588e+00 dt=1.422133e-02
elapsed=3.885691e+00 cycle=173 time=2.092810e+00 dt=1.422268e-02
elapsed=3.897836e+00 cycle=174 time=2.107032e+00 dt=1.422439e-02
elapsed=3.910048e+00 cycle=175 time=2.121257e+00 dt=1.422645e-02
