coordinate_time,trusted_radius,resolution,field,ring_rms,linf,samples
0.0,16.0,n128,con_C,9.087055633408778e-05,0.006888283416628838,6290
0.0,16.0,n128,con_H,0.0016159508005104022,0.08296076208353043,6290
0.0,16.0,n128,con_M,0.0,0.0,6290
0.0,16.0,n128,con_Z,4.4403583409092754e-08,1.4489295381281408e-06,6290
0.0,16.0,n256,con_C,4.7016539883541765e-07,3.576796007109806e-05,6290
0.0,16.0,n256,con_H,0.00011690950927153311,0.005977977998554707,6290
0.0,16.0,n256,con_M,0.0,0.0,6290
0.0,16.0,n256,con_Z,2.2956845792124645e-10,7.934458423619617e-09,6290
0.0,16.0,n512,con_C,1.975409576490422e-09,1.5047150725422398e-07,6290
0.0,16.0,n512,con_H,7.588220769249309e-06,0.00038773167761974037,6290
0.0,16.0,n512,con_M,0.0,0.0,6290
0.0,16.0,n512,con_Z,9.663216635145053e-13,3.391434355570766e-11,6290
0.25,15.549509826249581,n128,con_C,1.5707112535209372e-05,0.0006680221071946417,5946
0.25,15.549509826249581,n128,con_H,0.0006056469896316014,0.021461314575971203,5946
0.25,15.549509826249581,n128,con_M,3.09572126542682e-06,0.00012554650000769606,5946
0.25,15.549509826249581,n128,con_Z,1.0842087249208392e-06,3.220949488876791e-05,5946
0.25,15.549509826249581,n256,con_C,1.473229370649502e-07,7.295437524016344e-06,5946
0.25,15.549509826249581,n256,con_H,7.743695189417269e-05,0.002621208930739928,5946
0.25,15.549509826249581,n256,con_M,1.4230353637420735e-08,6.317676722434582e-07,5946
0.25,15.549509826249581,n256,con_Z,8.119997195478507e-09,2.5491158595748e-07,5946
0.25,15.549509826249581,n512,con_C,4.215114572934426e-10,1.3718477884203182e-08,5946
0.25,15.549509826249581,n512,con_H,3.1850122233581696e-06,9.059524792015567e-05,5946
0.25,15.549509826249581,n512,con_M,1.8431592688858208e-10,1.1041699489926958e-08,5946
0.25,15.549509826249581,n512,con_Z,2.6698735925075776e-11,8.868949991155734e-10,5946
0.5,15.092923751657064,n128,con_C,1.9188790282805203e-05,0.0006372488015502604,5592
0.5,15.092923751657064,n128,con_H,0.0009072407938591372,0.02452847312877235,5592
0.5,15.092923751657064,n128,con_M,1.3700692994094908e-06,4.027113327325379e-05,5592
0.5,15.092923751657064,n128,con_Z,1.0677503018181534e-06,3.1044230645251544e-05,5592
0.5,15.092923751657064,n256,con_C,7.258555672261575e-08,2.46849812952425e-06,5592
0.5,15.092923751657064,n256,con_H,5.188415384863757e-05,0.0014196458050112467,5592
0.5,15.092923751657064,n256,con_M,1.557573427391195e-08,9.66358426420718e-07,5592
0.5,15.092923751657064,n256,con_Z,2.9622078484481066e-09,1.0240552196837541e-07,5592
0.5,15.092923751657064,n512,con_C,2.361311661608211e-10,1.495913690621715e-08,5592
0.5,15.092923751657064,n512,con_H,2.643443538333255e-06,0.00011822500477056037,5592
0.5,15.092923751657064,n512,con_M,2.6143725017363007e-11,1.5357470445992e-09,5592
0.5,15.092923751657064,n512,con_Z,1.1400648634005641e-11,3.5724515790994504e-10,5592
1.0,14.273804583904823,n128,con_C,6.9951621940953965e-06,0.00026622667063649317,5015
1.0,14.273804583904823,n128,con_H,0.0004866708645351232,0.014248366645466045,5015
1.0,14.273804583904823,n128,con_M,9.395081330613389e-07,3.974710971975106e-05,5015
1.0,14.273804583904823,n128,con_Z,5.386278521353737e-07,1.6308778280767104e-05,5015
1.0,14.273804583904823,n256,con_C,3.671792472622229e-08,1.282090928051257e-06,5015
1.0,14.273804583904823,n256,con_H,3.834145722908533e-05,0.0010212282208187367,5015
1.0,14.273804583904823,n256,con_M,6.42969452360129e-09,1.4578358365788234e-07,5015
1.0,14.273804583904823,n256,con_Z,1.944807723357905e-09,6.373295849803123e-08,5015
1.0,14.273804583904823,n512,con_C,1.3611099420723987e-10,5.216556312281399e-09,5015
1.0,14.273804583904823,n512,con_H,2.285973035018583e-06,6.374828056978754e-05,5015
1.0,14.273804583904823,n512,con_M,1.9286963229712037e-11,4.900729689450474e-10,5015
1.0,14.273804583904823,n512,con_Z,1.0007935354539738e-11,3.2404991620134353e-10,5015
1.5,13.552090748478449,n128,con_C,1.0465458695143159e-05,0.00024556322918078776,4502
1.5,13.552090748478449,n128,con_H,0.0005837826563541755,0.011912172966031385,4502
1.5,13.552090748478449,n128,con_M,1.3826190164458765e-06,4.5230629112659556e-05,4502
1.5,13.552090748478449,n128,con_Z,1.527839487635782e-06,4.7705165626265156e-05,4502
1.5,13.552090748478449,n256,con_C,3.808037777436395e-08,8.178767592343359e-07,4502
1.5,13.552090748478449,n256,con_H,3.253322431325135e-05,0.0007514735344129652,4502
1.5,13.552090748478449,n256,con_M,4.739390310480203e-09,1.5636302235969615e-07,4502
1.5,13.552090748478449,n256,con_Z,5.862024719273562e-09,1.587852035734969e-07,4502
1.5,13.552090748478449,n512,con_C,1.9429249098436464e-10,5.779407783495002e-09,4502
1.5,13.552090748478449,n512,con_H,2.518639848259836e-06,5.029483870868263e-05,4502
1.5,13.552090748478449,n512,con_M,1.81918522167264e-11,5.730428054014906e-10,4502
1.5,13.552090748478449,n512,con_Z,2.5788151190613453e-11,7.654274817703635e-10,4502
2.0,12.879921702544447,n128,con_C,9.608218401171182e-06,0.0002750704529724061,4061
2.0,12.879921702544447,n128,con_H,0.0006239133858541239,0.010743668502559313,4061
2.0,12.879921702544447,n128,con_M,2.5581189537580887e-06,0.00011598002069748513,4061
2.0,12.879921702544447,n128,con_Z,1.1077497872496732e-06,2.3684015146659963e-05,4061
2.0,12.879921702544447,n256,con_C,3.007526606935568e-08,6.629477868707163e-07,4061
2.0,12.879921702544447,n256,con_H,3.211451624935569e-05,0.0006361291029762018,4061
2.0,12.879921702544447,n256,con_M,3.6438156319804264e-09,7.109235940103737e-08,4061
2.0,12.879921702544447,n256,con_Z,4.869427724996172e-09,8.089163913212888e-08,4061
2.0,12.879921702544447,n512,con_C,1.3535251317858917e-10,2.0607570332461703e-09,4061
2.0,12.879921702544447,n512,con_H,2.19138641307935e-06,3.9075335621886946e-05,4061
2.0,12.879921702544447,n512,con_M,1.5401579252998128e-11,3.447869512670026e-10,4061
2.0,12.879921702544447,n512,con_Z,2.1343258584559444e-11,3.379813377689794e-10,4061
