time,resolution,common_lattice_min_chi,min_chi_rho,min_chi_z,minimum_sqrt_gamma,maximum_sqrt_gamma,common_lattice_max_abs_kretschmann,max_abs_kretschmann_rho,max_abs_kretschmann_z,common_lattice_spacing
0.0,n128,0.3322444558143616,3.75,0.0,1.5651794843735483,5.221717582769914,95.1534423828125,5.25,0.0,0.25
0.0,n256,0.3322444558143616,3.75,0.0,1.5651794843735483,5.221717582769914,95.4072036743164,5.25,0.0,0.25
0.0,n512,0.3322444558143616,3.75,0.0,1.5651794843735483,5.221717582769914,95.43020629882812,5.25,0.0,0.25
1.0,n128,0.32739690906070973,5.0,0.0,1.56519440472564,5.338064624175842,15.58912460809401,5.0,-0.25,0.25
1.0,n256,0.32731004185758034,5.0,0.0,1.5651943271687339,5.340232206134557,16.007528269515,5.0,-0.25,0.25
1.0,n512,0.32730150704830024,5.0,0.0,1.5651944069526078,5.340448355317078,16.035082248525587,5.0,-0.25,0.25
2.0,n128,0.32600337170138766,5.0,0.0,1.5652399682193245,5.372714020490198,10.527576006437355,5.25,0.0,0.25
2.0,n256,0.32633048632792894,5.0,0.0,1.5652398089306216,5.364474791562386,10.258192302157273,5.25,0.0,0.25
2.0,n512,0.3263537493262199,5.0,0.0,1.5652397839700851,5.363856939881725,10.246928298352877,5.25,0.0,0.25
3.0,n128,0.3386884979146736,4.5,0.0,1.5653184432569034,5.073530394963166,3.6153901976634955,5.25,0.0,0.25
3.0,n256,0.33871625386792514,4.5,0.0,1.56531849138225,5.0728277307295695,3.5980979505438957,5.25,0.0,0.25
3.0,n512,0.3387216544181885,4.5,0.0,1.5653183366971688,5.072684236335808,3.5965059995593007,5.25,0.0,0.25
4.0,n128,0.3472038772353108,4.25,0.0,1.5654336923942878,4.888004734975668,0.7055342761496466,4.75,0.0,0.25
4.0,n256,0.3472267688468393,4.25,0.0,1.5654336918297473,4.887442968847611,0.6986147492678005,4.75,0.0,0.25
4.0,n512,0.3472369709552243,4.25,0.0,1.5654335742369256,4.887253063483152,0.6982846325046393,4.75,0.0,0.25
5.0,n128,0.3538896268066424,4.0,0.0,1.5655897788392876,4.750082605700954,0.19286609465582297,4.0,0.0,0.25
5.0,n256,0.35392919906047243,4.0,0.0,1.5655897242023022,4.749276648107357,0.19500480501895653,4.0,0.0,0.25
5.0,n512,0.3539422452267989,4.0,0.0,1.5655895893362353,4.748996519458256,0.1951490279149788,4.0,0.0,0.25
6.0,n128,0.35952893610097725,3.5,0.0,1.5657910024500454,4.638784869272562,0.1395148560414872,3.75,0.0,0.25
6.0,n256,0.35936762120528837,3.5,0.0,1.5657908276099828,4.641872859881908,0.14033140357328294,3.75,0.0,0.25
6.0,n512,0.3593580967356011,3.5,0.0,1.5657908039885855,4.64204859014551,0.14042143439475563,3.75,0.0,0.25
7.0,n128,0.3618179128191957,3.25,0.0,1.5660422628228416,4.594836645328958,0.09869383473922527,3.5,-0.75,0.25
7.0,n256,0.3616436166714589,3.25,0.0,1.5660413350945999,4.598105089273686,0.09756711639048397,3.5,-0.75,0.25
7.0,n512,0.36162155054406275,3.25,0.0,1.5660412927804823,4.598534344403428,0.09750346966272512,3.5,-0.5,0.25
8.0,n128,0.36394766776272364,3.0,0.0,1.5663479843439614,4.554573020868746,0.09848340273997029,3.0,0.0,0.25
8.0,n256,0.3636348722784499,3.0,0.0,1.5663456686907908,4.560412498733539,0.0971888282812342,3.0,0.0,0.25
8.0,n512,0.36357365091523147,3.0,0.0,1.566345131062253,4.561546804034713,0.09710914079117068,3.0,0.0,0.25
9.0,n128,0.3620271191724936,2.5,0.0,1.5667125747713038,4.590822430422363,0.20491953961974205,0.0,0.0,0.25
9.0,n256,0.3615649581605005,2.5,0.0,1.5667069501442532,4.599606260142806,0.20390770888064627,0.0,0.0,0.25
9.0,n512,0.361475596531102,2.5,0.0,1.566705464634433,4.601314460043703,0.20236857126566118,0.0,0.0,0.25
10.0,n128,0.35887921457617017,2.25,0.0,1.567140251376579,4.651351780768596,0.27555426317220294,0.0,-0.5,0.25
10.0,n256,0.35811802594510006,2.25,0.0,1.5671287029550984,4.666193384019534,0.2869799934885135,0.0,0.0,0.25
10.0,n512,0.3579297605375569,2.25,0.0,1.5671247549223855,4.669862879070279,0.2897893084674053,0.0,0.0,0.25
11.0,n128,0.3503442527366623,1.75,0.0,1.567631508201983,4.8222880171258184,0.28302648033401523,1.0,0.0,0.25
11.0,n256,0.3498520157096336,1.75,0.0,1.5676098616590457,4.832514975469415,0.2706657581192658,1.0,0.0,0.25
11.0,n512,0.3497532262693742,1.75,0.0,1.5676019363803817,4.834555744845899,1.0819626349509812,5.0,0.0,0.25
12.0,n128,0.33977343219378964,1.5,0.0,1.5681764059728496,5.049139007792695,0.2254920846419653,1.0,-1.75,0.25
12.0,n256,0.3384461583611256,1.5,0.0,1.5681392325972303,5.0788421201561995,1.8093107964048483,5.0,0.0,0.25
12.0,n512,0.3380290853239198,1.5,0.0,1.5681245672822002,5.08825171359298,38.79934080254467,5.0,0.0,0.25
13.0,n128,0.3196155426751812,1.0,0.0,1.5687635129067747,5.534003161847597,1.281231445957277,0.0,0.0,0.25
13.0,n256,0.3191102268370209,1.0,0.0,1.5687049733448466,5.547388145534555,1.027330623204481,0.0,0.0,0.25
13.0,n512,0.31891848448155713,1.0,0.0,1.568680396682943,5.552365077523601,3.3875291268638423,5.0,0.0,0.25
14.0,n128,0.2957205991162242,0.75,0.0,1.569366869432212,6.218379280572877,20.594391857785254,5.0,0.0,0.25
14.0,n256,0.2933164675027634,0.75,0.0,1.5692917349293005,6.295099407269038,25.434875711839474,5.0,0.0,0.25
14.0,n512,0.2924368444549916,0.75,0.0,1.5692585561519268,6.323377645832425,981.3018014216512,5.0,0.0,0.25
