JobID|JobName|Partition|QOS|State|ExitCode|Elapsed|Timelimit|AllocTRES|NodeList
57522586|interactive|shared_urgent_gpu_ss11|gpu_shared_interactive|COMPLETED|0:0|00:01:11|00:30:00|billing=32,cpu=32,energy=25075,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.extern|extern|||COMPLETED|0:0|00:01:11||billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.0|athena|||COMPLETED|0:0|00:00:01||cpu=8,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.1|athena|||COMPLETED|0:0|00:00:01||cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.2|athena|||COMPLETED|0:0|00:00:03||cpu=8,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.3|athena|||COMPLETED|0:0|00:00:03||cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.4|athena|||COMPLETED|0:0|00:00:01||cpu=8,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.5|athena|||COMPLETED|0:0|00:00:03||cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.6|athena|||COMPLETED|0:0|00:00:01||cpu=8,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.7|athena|||COMPLETED|0:0|00:00:04||cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.8|athena|||COMPLETED|0:0|00:00:02||cpu=8,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.9|athena|||COMPLETED|0:0|00:00:04||cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.10|athena|||COMPLETED|0:0|00:00:01||cpu=8,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.11|athena|||COMPLETED|0:0|00:00:05||cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.12|athena|||COMPLETED|0:0|00:00:02||cpu=8,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.13|athena|||COMPLETED|0:0|00:00:04||cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.14|athena|||COMPLETED|0:0|00:00:01||cpu=8,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522586.15|athena|||COMPLETED|0:0|00:00:05||cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522958|interactive|shared_urgent_gpu_ss11|gpu_shared_interactive|COMPLETED|0:0|00:00:03|00:30:00|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57522958.extern|extern|||COMPLETED|0:0|00:00:03||billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57523029|interactive|gpu_ss11|gpu_debug|CANCELLED by 102811|0:0|00:00:00|00:10:00||None assigned
57523096|interactive|shared_urgent_gpu_ss11|gpu_shared_interactive|FAILED|1:0|00:00:03|00:30:00|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57523096.extern|extern|||COMPLETED|0:0|00:00:03||billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57523139|interactive|shared_urgent_gpu_ss11|gpu_shared_interactive|COMPLETED|0:0|00:00:33|00:30:00|billing=32,cpu=32,energy=11522,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57523139.extern|extern|||COMPLETED|0:0|00:00:33||billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
57523139.0|python3|||COMPLETED|0:0|00:00:18||cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1|nid001032
