cycle,time,rk_stage,max_abs_prescribed_shift_state
3994,9.5946303107077444,1,0
3994,9.5946303107077444,2,0
3994,9.5946303107077444,3,0
3994,9.5946303107077444,4,0
3995,9.5973691669817232,1,0
3995,9.5973691669817232,2,0
3995,9.5973691669817232,3,0
3995,9.5973691669817232,4,0
3996,9.6001080792086366,1,0
3996,9.6001080792086366,2,0
3996,9.6001080792086366,3,0
3996,9.6001080792086366,4,0
3997,9.6028470474048806,1,0
3997,9.6028470474048806,2,0
3997,9.6028470474048806,3,0
3997,9.6028470474048806,4,0
3998,9.6055860715868473,1,0
3998,9.6055860715868473,2,0
3998,9.6055860715868473,3,0
3998,9.6055860715868473,4,0
3999,9.6083251517709236,1,0
3999,9.6083251517709236,2,0
3999,9.6083251517709236,3,0
3999,9.6083251517709236,4,0
4000,9.6110642879734964,1,0
4000,9.6110642879734964,2,0
4000,9.6110642879734964,3,0
4000,9.6110642879734964,4,0
4001,9.6138034802109473,1,0
4001,9.6138034802109473,2,0
4001,9.6138034802109473,3,0
4001,9.6138034802109473,4,0
4002,9.6165427284996561,1,0
4002,9.6165427284996561,2,0
4002,9.6165427284996561,3,0
4002,9.6165427284996561,4,0
4003,9.6192820328559989,1,0
4003,9.6192820328559989,2,0
4003,9.6192820328559989,3,0
4003,9.6192820328559989,4,0
4004,9.6220213932963485,1,0
4004,9.6220213932963485,2,0
4004,9.6220213932963485,3,0
4004,9.6220213932963485,4,0
4005,9.624760809837074,1,0
4005,9.624760809837074,2,0
4005,9.624760809837074,3,0
4005,9.624760809837074,4,0
4006,9.6275002824945428,1,0
4006,9.6275002824945428,2,0
4006,9.6275002824945428,3,0
4006,9.6275002824945428,4,0
4007,9.6302398112851169,1,0
4007,9.6302398112851169,2,0
4007,9.6302398112851169,3,0
4007,9.6302398112851169,4,0
4008,9.63297939622516,1,0
4008,9.63297939622516,2,0
4008,9.63297939622516,3,0
4008,9.63297939622516,4,0
4009,9.6357190373310289,1,0
4009,9.6357190373310289,2,0
4009,9.6357190373310289,3,0
4009,9.6357190373310289,4,0
4010,9.6384587346190784,1,0
4010,9.6384587346190784,2,0
4010,9.6384587346190784,3,0
4010,9.6384587346190784,4,0
4011,9.64119848810566,1,0
4011,9.64119848810566,2,0
4011,9.64119848810566,3,0
4011,9.64119848810566,4,0
4012,9.6439382978071251,1,0
4012,9.6439382978071251,2,0
4012,9.6439382978071251,3,0
4012,9.6439382978071251,4,0
4013,9.6466781637398196,1,0
4013,9.6466781637398196,2,0
4013,9.6466781637398196,3,0
4013,9.6466781637398196,4,0
4014,9.6494180859200878,1,0
4014,9.6494180859200878,2,0
4014,9.6494180859200878,3,0
4014,9.6494180859200878,4,0
