cycle,time,rk_stage,checkpoint,max_abs,max_scaled,component,gid,z,nonfinite
3994,9.5946303107077444,1,pre_ko_rhs,2.0058531766560518e-16,2.0058531766560518e-16,14,61,-3.46875,0
3994,9.5946303107077444,2,pre_ko_rhs,2.0324683101114796e-16,2.0324683101114796e-16,14,61,-3.21875,0
3994,9.5946303107077444,3,pre_ko_rhs,2.2553904254074071e-16,2.2553904254074071e-16,14,61,-3.21875,0
3994,9.5946303107077444,4,pre_ko_rhs,2.4080885978017915e-16,2.4080885978017915e-16,14,61,-3.875,0
3995,9.5973691669817232,1,pre_ko_rhs,2.0628580716651754e-16,2.0628580716651754e-16,14,108,3.21875,0
3995,9.5973691669817232,2,pre_ko_rhs,2.1943403585557981e-16,2.1943403585557981e-16,14,61,-3.5625,0
3995,9.5973691669817232,3,pre_ko_rhs,1.840063405770108e-16,1.840063405770108e-16,14,108,3.21875,0
3995,9.5973691669817232,4,pre_ko_rhs,1.8356458366570157e-16,1.8356458366570157e-16,14,108,3.34375,0
3996,9.6001080792086366,1,pre_ko_rhs,2.0500154999734513e-16,2.0500154999734513e-16,14,61,-3.4375,0
3996,9.6001080792086366,2,pre_ko_rhs,2.0446846622703604e-16,2.0446846622703604e-16,14,61,-3.375,0
3996,9.6001080792086366,3,pre_ko_rhs,2.2235023047402406e-16,2.2235023047402406e-16,14,61,-3.25,0
3996,9.6001080792086366,4,pre_ko_rhs,1.8616041123349005e-16,1.8616041123349005e-16,14,108,3.3125,0
3997,9.6028470474048806,1,pre_ko_rhs,1.9059720902537551e-16,1.9059720902537551e-16,14,63,-1.8125,0
3997,9.6028470474048806,2,pre_ko_rhs,1.7500470896954174e-16,1.7500470896954174e-16,14,61,-4,0
3997,9.6028470474048806,3,pre_ko_rhs,1.8430415488833306e-16,1.8430415488833306e-16,14,108,3.90625,0
3997,9.6028470474048806,4,pre_ko_rhs,2.0310267127761232e-16,2.0310267127761232e-16,14,61,-3.625,0
3998,9.6055860715868473,1,pre_ko_rhs,1.8577334623258772e-16,1.8577334623258772e-16,14,61,-3.78125,0
3998,9.6055860715868473,2,pre_ko_rhs,2.2531511481521034e-16,2.2531511481521034e-16,14,108,3.34375,0
3998,9.6055860715868473,3,pre_ko_rhs,2.032665948213835e-16,2.032665948213835e-16,14,61,-3.90625,0
3998,9.6055860715868473,4,pre_ko_rhs,2.0387066858649125e-16,2.0387066858649125e-16,14,108,3.5625,0
3999,9.6083251517709236,1,pre_ko_rhs,1.8575572499380154e-16,1.8575572499380154e-16,14,108,3.84375,0
