cycle,time,rk_stage,checkpoint,max_abs,max_scaled,component,gid,z,nonfinite
0,0,1,pre_ko_rhs,3.5377516826448104e-14,3.5377516826448104e-14,9,60,10.3125,0
0,0,1,post_rk_state,1.3322676295501888e-15,1.3322676295501888e-15,14,34,-0.1875,0
0,0,2,pre_ko_rhs,2.9627787403685252e-14,2.9627787403685252e-14,9,54,7.8125,0
0,0,2,post_rk_state,9.6160636535024707e-16,9.6160636535024707e-16,14,34,-0.1875,0
0,0,3,pre_ko_rhs,5.5439400889420118e-14,5.5439400889420118e-14,9,24,-12,0
0,0,3,post_rk_state,2.8260184397127166e-15,2.8260184397127166e-15,14,34,-0.1875,0
0,0,4,pre_ko_rhs,5.5454293045267669e-14,5.5454293045267669e-14,9,60,8.3125,0
0,0,4,post_rk_state,2.6465900895194649e-16,2.6465900895194649e-16,14,34,-0.1875,0
1,0.0083001681691906148,1,pre_ko_rhs,5.6927741567540904e-14,5.6927741567540904e-14,9,62,12.96875,0
1,0.0083001681691906148,2,pre_ko_rhs,5.5579602131359992e-14,5.5579602131359992e-14,9,62,13.9375,0
1,0.0083001681691906148,3,pre_ko_rhs,5.5957470922293329e-14,5.5957470922293329e-14,9,24,-15.5625,0
1,0.0083001681691906148,4,pre_ko_rhs,6.022303003787612e-14,6.022303003787612e-14,9,60,11.78125,0
2,0.012450252253785999,1,pre_ko_rhs,5.8710112468968217e-14,5.8710112468968217e-14,9,129,19.15625,0
2,0.012450252253785999,2,pre_ko_rhs,6.3696255389101181e-14,6.3696255389101181e-14,9,131,22.65625,0
2,0.012450252253785999,3,pre_ko_rhs,6.3750974639615094e-14,6.3750974639615094e-14,9,36,-22.25,0
2,0.012450252253785999,4,pre_ko_rhs,6.0618510435612818e-14,6.0618510435612818e-14,9,131,21.125,0
3,0.016600781535627315,1,pre_ko_rhs,6.4695578786051405e-14,6.4695578786051405e-14,9,38,-16.4375,0
3,0.016600781535627315,2,pre_ko_rhs,5.6092264473768636e-14,5.6092264473768636e-14,9,38,-19.625,0
3,0.016600781535627315,3,pre_ko_rhs,5.9365081718825063e-14,5.9365081718825063e-14,9,38,-19.09375,0
3,0.016600781535627315,4,pre_ko_rhs,5.8379428792789636e-14,5.8379428792789636e-14,9,113,14.78125,0
4,0.018676052381636138,1,pre_ko_rhs,1.2232889027511405e-13,1.2232889027511405e-13,9,106,0.921875,0
