elapsed=9.392426e+03 cycle=30276 time=3.848454e+01 dt=1.224681e-03
elapsed=9.393644e+03 cycle=30280 time=3.848944e+01 dt=1.224826e-03
elapsed=9.394870e+03 cycle=30284 time=3.849434e+01 dt=1.224971e-03
elapsed=9.396063e+03 cycle=30288 time=3.849924e+01 dt=1.225116e-03
elapsed=9.398967e+03 cycle=30292 time=3.850414e+01 dt=1.225261e-03
elapsed=9.400198e+03 cycle=30296 time=3.850905e+01 dt=1.225405e-03
elapsed=9.401433e+03 cycle=30300 time=3.851395e+01 dt=1.225550e-03
elapsed=9.402659e+03 cycle=30304 time=3.851885e+01 dt=1.225694e-03
elapsed=9.403903e+03 cycle=30308 time=3.852375e+01 dt=1.225838e-03
elapsed=9.405119e+03 cycle=30312 time=3.852866e+01 dt=1.225982e-03
elapsed=9.406345e+03 cycle=30316 time=3.853356e+01 dt=1.226126e-03
elapsed=9.407554e+03 cycle=30320 time=3.853847e+01 dt=1.226269e-03
elapsed=9.408776e+03 cycle=30324 time=3.854337e+01 dt=1.226413e-03
elapsed=9.409982e+03 cycle=30328 time=3.854828e+01 dt=1.226556e-03
elapsed=9.411197e+03 cycle=30332 time=3.855318e+01 dt=1.226699e-03
elapsed=9.412420e+03 cycle=30336 time=3.855809e+01 dt=1.226842e-03
elapsed=9.413631e+03 cycle=30340 time=3.856300e+01 dt=1.226985e-03
elapsed=9.414848e+03 cycle=30344 time=3.856791e+01 dt=1.227127e-03
elapsed=9.416075e+03 cycle=30348 time=3.857281e+01 dt=1.227270e-03
elapsed=9.417316e+03 cycle=30352 time=3.857772e+01 dt=1.227412e-03
elapsed=9.418534e+03 cycle=30356 time=3.858263e+01 dt=1.227554e-03
elapsed=9.419751e+03 cycle=30360 time=3.858754e+01 dt=1.227695e-03
elapsed=9.420972e+03 cycle=30364 time=3.859245e+01 dt=1.227837e-03
elapsed=9.422184e+03 cycle=30368 time=3.859737e+01 dt=1.227978e-03
elapsed=9.423391e+03 cycle=30372 time=3.860228e+01 dt=1.228119e-03
elapsed=9.424602e+03 cycle=30376 time=3.860719e+01 dt=1.228260e-03
elapsed=9.425828e+03 cycle=30380 time=3.861210e+01 dt=1.228400e-03
elapsed=9.427064e+03 cycle=30384 time=3.861702e+01 dt=1.228540e-03
elapsed=9.428303e+03 cycle=30388 time=3.862193e+01 dt=1.228680e-03
elapsed=9.429525e+03 cycle=30392 time=3.862685e+01 dt=1.228820e-03
elapsed=9.430737e+03 cycle=30396 time=3.863176e+01 dt=1.228960e-03
elapsed=9.431956e+03 cycle=30400 time=3.863668e+01 dt=1.229099e-03
elapsed=9.433184e+03 cycle=30404 time=3.864160e+01 dt=1.229238e-03
elapsed=9.434398e+03 cycle=30408 time=3.864651e+01 dt=1.229377e-03
elapsed=9.435614e+03 cycle=30412 time=3.865143e+01 dt=9.015045e-04
Terminating on time limit
time=3.865233e+01 cycle=30413
MeshBlock-cycles = 6447076
cpu time used  = 9.433460e+03
zone-cycles/cpu_second = 1.119726e+07
