resolution,time,axisTau,cycle,field,norm2,Linf,rho,z,classification,local_h,owner_levels,distance_axis_over_h,distance_outer_over_h,distance_same_level_over_h,distance_coarse_fine_over_h
n256,0.0,0.0,0,C,0.0006850478187546891,0.0059806319316564405,5.25,0.0,same_level_seam,0.03125,8,168.0,3928.0,0.0,24.0
n256,0.0,0.0,0,H,0.0006815211961352934,0.005977977958172342,5.25,0.0,same_level_seam,0.03125,8,168.0,3928.0,0.0,24.0
n256,0.0,0.0,0,M,0.0,0.0,0.0,-128.0,axis,1.0,3,0.0,0.0,32.0,32.0
n256,0.0,0.0,0,Z,8.816556548489689e-07,0.00010646245125382329,5.125,0.0,same_level_seam,0.03125,8,164.0,3932.0,0.0,28.0
n256,0.024902953201920264,0.02490295320190115,4,C,0.0007008614405878728,0.005900832253091652,5.5625,0.0,same_level_seam,0.03125,8,178.0,3918.0,0.0,14.0
n256,0.024902953201920264,0.02490295320190115,4,H,0.0005778297213866568,0.005839796921219208,5.5625,0.0,same_level_seam,0.03125,8,178.0,3918.0,0.0,14.0
n256,0.024902953201920264,0.02490295320190115,4,M,2.671916382166747e-05,0.001308531739493645,5.53125,-0.03125,same_level_seam,0.03125,8,177.0,3919.0,1.0,15.0
n256,0.024902953201920264,0.02490295320190115,4,Z,2.396219445952929e-05,0.0005458936879881042,4.9375,-0.1875,same_level_seam,0.03125,8,158.0,3938.0,2.0,30.0
n256,0.03736082587794586,0.03736082587778624,8,C,0.00039963809183861203,0.0031921075689240507,5.5625,0.0,same_level_seam,0.03125,8,178.0,3918.0,0.0,14.0
n256,0.03736082587794586,0.03736082587778624,8,H,0.00021791826386744365,0.003077588300736474,5.5625,0.0,same_level_seam,0.03125,8,178.0,3918.0,0.0,14.0
n256,0.03736082587794586,0.03736082587778624,8,M,8.846342165236586e-05,0.002249951538249428,5.53125,-0.03125,same_level_seam,0.03125,8,177.0,3919.0,1.0,15.0
n256,0.03736082587794586,0.03736082587778624,8,Z,2.309698986986493e-05,0.0005239575052128563,4.9375,0.1875,same_level_seam,0.03125,8,158.0,3938.0,2.0,30.0
n256,0.049826352986998675,0.049826352986306374,12,C,0.0002435883380146485,0.002557620330730832,5.53125,-0.03125,same_level_seam,0.03125,8,177.0,3919.0,1.0,15.0
n256,0.049826352986998675,0.049826352986306374,12,H,3.311089095512858e-05,0.0010791839425183074,5.5,-0.15625,clean_interior,0.03125,8,176.0,3920.0,5.0,16.0
n256,0.049826352986998675,0.049826352986306374,12,M,0.00012006716765703138,0.002424172574256119,5.53125,-0.03125,same_level_seam,0.03125,8,177.0,3919.0,1.0,15.0
n256,0.049826352986998675,0.049826352986306374,12,Z,2.228575354600215e-05,0.0004903352029020936,4.9375,-0.3125,same_level_seam,0.03125,8,158.0,3938.0,2.0,30.0
n256,0.062302210966278915,0.062302210964140924,16,C,0.0003310114717048381,0.00413462610940754,5.5,-0.0625,same_level_seam,0.03125,8,176.0,3920.0,2.0,16.0
n256,0.062302210966278915,0.062302210964140924,16,H,0.00014730177187777393,0.00403330323892653,5.5,-0.0625,same_level_seam,0.03125,8,176.0,3920.0,2.0,16.0
n256,0.062302210966278915,0.062302210964140924,16,M,9.50636509893099e-05,0.001831004685604622,5.53125,-0.03125,same_level_seam,0.03125,8,177.0,3919.0,1.0,15.0
n256,0.062302210966278915,0.062302210964140924,16,Z,2.176119081737333e-05,0.00047689893938162133,5.53125,0.21875,clean_interior,0.03125,8,177.0,3919.0,7.0,15.0
