cycle,time,rk_stage,max_abs_prescribed_shift_state
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
1,0.0062251261268929997,1,0
1,0.0062251261268929997,2,0
1,0.0062251261268929997,3,0
1,0.0062251261268929997,4,0
2,0.012450252253785999,1,0
2,0.012450252253785999,2,0
2,0.012450252253785999,3,0
2,0.012450252253785999,4,0
3,0.015563149258646471,1,0
3,0.015563149258646471,2,0
3,0.015563149258646471,3,0
3,0.015563149258646471,4,0
4,0.018676052381636138,1,0
4,0.018676052381636138,2,0
4,0.018676052381636138,3,0
4,0.018676052381636138,4,0
5,0.020232709490593033,1,0
5,0.020232709490593033,2,0
5,0.020232709490593033,3,0
5,0.020232709490593033,4,0
6,0.021789431790567648,1,0
6,0.021789431790567648,2,0
6,0.021789431790567648,3,0
6,0.021789431790567648,4,0
7,0.023346224498144098,1,0
7,0.023346224498144098,2,0
7,0.023346224498144098,3,0
7,0.023346224498144098,4,0
8,0.024903092830036052,1,0
8,0.024903092830036052,2,0
8,0.024903092830036052,3,0
8,0.024903092830036052,4,0
9,0.026460042003085171,1,0
9,0.026460042003085171,2,0
9,0.026460042003085171,3,0
9,0.026460042003085171,4,0
10,0.028017077234225696,1,0
10,0.028017077234225696,2,0
10,0.028017077234225696,3,0
10,0.028017077234225696,4,0
11,0.029574203740416829,1,0
11,0.029574203740416829,2,0
11,0.029574203740416829,3,0
11,0.029574203740416829,4,0
12,0.031131426738547407,1,0
12,0.031131426738547407,2,0
12,0.031131426738547407,3,0
12,0.031131426738547407,4,0
13,0.032688751445319686,1,0
13,0.032688751445319686,2,0
13,0.032688751445319686,3,0
13,0.032688751445319686,4,0
14,0.034246183077120532,1,0
14,0.034246183077120532,2,0
14,0.034246183077120532,3,0
14,0.034246183077120532,4,0
15,0.03580372684988891,1,0
15,0.03580372684988891,2,0
15,0.03580372684988891,3,0
15,0.03580372684988891,4,0
16,0.037361387978988476,1,0
16,0.037361387978988476,2,0
16,0.037361387978988476,3,0
16,0.037361387978988476,4,0
17,0.038919171679093166,1,0
17,0.038919171679093166,2,0
17,0.038919171679093166,3,0
17,0.038919171679093166,4,0
18,0.040477083164092473,1,0
18,0.040477083164092473,2,0
18,0.040477083164092473,3,0
18,0.040477083164092473,4,0
19,0.042035127647021546,1,0
19,0.042035127647021546,2,0
19,0.042035127647021546,3,0
19,0.042035127647021546,4,0
20,0.043593310340019495,1,0
20,0.043593310340019495,2,0
20,0.043593310340019495,3,0
20,0.043593310340019495,4,0
21,0.045151636454317676,1,0
21,0.045151636454317676,2,0
21,0.045151636454317676,3,0
21,0.045151636454317676,4,0
22,0.046710111200258086,1,0
22,0.046710111200258086,2,0
22,0.046710111200258086,3,0
22,0.046710111200258086,4,0
23,0.048268739787340531,1,0
23,0.048268739787340531,2,0
23,0.048268739787340531,3,0
23,0.048268739787340531,4,0
24,0.049827527424295873,1,0
24,0.049827527424295873,2,0
24,0.049827527424295873,3,0
24,0.049827527424295873,4,0
25,0.051386479319181437,1,0
25,0.051386479319181437,2,0
25,0.051386479319181437,3,0
25,0.051386479319181437,4,0
26,0.052945600679493485,1,0
26,0.052945600679493485,2,0
26,0.052945600679493485,3,0
26,0.052945600679493485,4,0
27,0.0545048967122908,1,0
27,0.0545048967122908,2,0
27,0.0545048967122908,3,0
27,0.0545048967122908,4,0
28,0.056064372624322616,1,0
28,0.056064372624322616,2,0
28,0.056064372624322616,3,0
28,0.056064372624322616,4,0
29,0.05762403362215366,1,0
29,0.05762403362215366,2,0
29,0.05762403362215366,3,0
29,0.05762403362215366,4,0
30,0.059183884912278967,1,0
30,0.059183884912278967,2,0
30,0.059183884912278967,3,0
30,0.059183884912278967,4,0
31,0.060743931701221311,1,0
31,0.060743931701221311,2,0
31,0.060743931701221311,3,0
31,0.060743931701221311,4,0
32,0.062304179195604915,1,0
32,0.062304179195604915,2,0
32,0.062304179195604915,3,0
32,0.062304179195604915,4,0
33,0.063864632602200114,1,0
33,0.063864632602200114,2,0
33,0.063864632602200114,3,0
33,0.063864632602200114,4,0
34,0.065425297127935364,1,0
34,0.065425297127935364,2,0
34,0.065425297127935364,3,0
34,0.065425297127935364,4,0
35,0.066986177979874703,1,0
35,0.066986177979874703,2,0
35,0.066986177979874703,3,0
35,0.066986177979874703,4,0
36,0.068547280365160765,1,0
36,0.068547280365160765,2,0
36,0.068547280365160765,3,0
36,0.068547280365160765,4,0
37,0.070108609490925691,1,0
37,0.070108609490925691,2,0
37,0.070108609490925691,3,0
37,0.070108609490925691,4,0
38,0.071670170564173824,1,0
38,0.071670170564173824,2,0
38,0.071670170564173824,3,0
38,0.071670170564173824,4,0
39,0.073231968791641955,1,0
39,0.073231968791641955,2,0
39,0.073231968791641955,3,0
39,0.073231968791641955,4,0
40,0.074794009379643894,1,0
40,0.074794009379643894,2,0
40,0.074794009379643894,3,0
40,0.074794009379643894,4,0
41,0.076356297533906589,1,0
41,0.076356297533906589,2,0
41,0.076356297533906589,3,0
41,0.076356297533906589,4,0
42,0.077918838459405587,1,0
42,0.077918838459405587,2,0
42,0.077918838459405587,3,0
42,0.077918838459405587,4,0
43,0.079481637360206636,1,0
43,0.079481637360206636,2,0
43,0.079481637360206636,3,0
43,0.079481637360206636,4,0
44,0.081044699439319842,1,0
44,0.081044699439319842,2,0
44,0.081044699439319842,3,0
44,0.081044699439319842,4,0
