cycle,time,rk_stage,checkpoint,max_abs,max_scaled,component,gid,z,nonfinite
0,0,1,pre_ko_rhs,6.1859619069521042e-16,6.1859619069521042e-16,9,24,11.75,0
0,0,1,post_rk_state,1.6653345369383188e-16,1.6653345369383188e-16,14,10,-1.25,0
0,0,2,pre_ko_rhs,8.1768633302374275e-16,8.1768633302374275e-16,9,24,11.5,0
0,0,2,post_rk_state,1.2020079566882294e-16,1.2020079566882294e-16,14,10,-1.25,0
0,0,3,pre_ko_rhs,5.5694654844741962e-16,5.5694654844741962e-16,9,0,-15,0
0,0,3,post_rk_state,3.5325230496421323e-16,3.5325230496421323e-16,14,10,-1.25,0
0,0,4,pre_ko_rhs,6.0401245764429674e-16,6.0401245764429674e-16,9,26,13,0
0,0,4,post_rk_state,3.3082376119004886e-17,3.3082376119004886e-17,14,10,-1.25,0
1,0.010825573171132733,1,pre_ko_rhs,2.6167571795659672e-15,2.6167571795659672e-15,9,8,-8,0
1,0.010825573171132733,2,pre_ko_rhs,1.8683447940393724e-15,1.8683447940393724e-15,9,10,-4.875,0
1,0.010825573171132733,3,pre_ko_rhs,2.2608067892357369e-15,2.2608067892357369e-15,9,41,7.375,0
1,0.010825573171132733,4,pre_ko_rhs,1.7925493845546727e-15,1.7925493845546727e-15,9,39,5.5,0
2,0.016217895439318817,1,pre_ko_rhs,2.6467416943197851e-15,2.6467416943197851e-15,9,47,7.75,0
2,0.016217895439318817,2,pre_ko_rhs,1.7460902701170716e-15,1.7460902701170716e-15,9,10,-5.875,0
2,0.016217895439318817,3,pre_ko_rhs,2.2677750699477842e-15,2.2677750699477842e-15,9,8,-7.25,0
2,0.016217895439318817,4,pre_ko_rhs,2.3825849439523951e-15,2.3825849439523951e-15,9,47,7.75,0
3,0.018909301628650666,1,pre_ko_rhs,2.5546138246433722e-15,2.5546138246433722e-15,9,59,7.875,0
3,0.018909301628650666,2,pre_ko_rhs,1.6869691517556719e-15,1.6869691517556719e-15,9,57,5.125,0
3,0.018909301628650666,3,pre_ko_rhs,1.7219313629868076e-15,1.7219313629868076e-15,9,40,0.125,0
3,0.018909301628650666,4,pre_ko_rhs,2.0555864233105816e-15,2.0555864233105816e-15,9,59,7.625,0
4,0.021622451398960841,1,pre_ko_rhs,2.432857662506164e-15,2.432857662506164e-15,9,8,-7.25,0
4,0.021622451398960841,2,pre_ko_rhs,1.6939442039558524e-15,1.6939442039558524e-15,9,8,-7.625,0
4,0.021622451398960841,3,pre_ko_rhs,2.0044324949710954e-15,2.0044324949710954e-15,9,59,7.875,0
4,0.021622451398960841,4,pre_ko_rhs,2.5908121081515281e-15,2.5908121081515281e-15,9,8,-7.5,0
5,0.024331500955341014,1,pre_ko_rhs,2.4378665464420651e-15,2.4378665464420651e-15,9,8,-7.875,0
5,0.024331500955341014,2,pre_ko_rhs,2.1977461401035721e-15,2.1977461401035721e-15,9,59,7,0
5,0.024331500955341014,3,pre_ko_rhs,2.2273347614743248e-15,2.2273347614743248e-15,9,8,-7.875,0
5,0.024331500955341014,4,pre_ko_rhs,2.1861430375598137e-15,2.1861430375598137e-15,9,59,6.625,0
6,0.027036527685726685,1,pre_ko_rhs,1.4944369361063609e-15,1.4944369361063609e-15,9,59,6.125,0
6,0.027036527685726685,2,pre_ko_rhs,1.8283000618544729e-15,1.8283000618544729e-15,9,59,6.625,0
6,0.027036527685726685,3,pre_ko_rhs,2.4522347958603368e-15,2.4522347958603368e-15,9,8,-7.25,0
6,0.027036527685726685,4,pre_ko_rhs,2.3205215984490034e-15,2.3205215984490034e-15,9,59,7.625,0
7,0.029737608153590108,1,pre_ko_rhs,1.8984801038151747e-15,1.8984801038151747e-15,9,57,4.875,0
7,0.029737608153590108,2,pre_ko_rhs,2.1542072169210846e-15,2.1542072169210846e-15,9,59,7,0
7,0.029737608153590108,3,pre_ko_rhs,1.7272321776078056e-15,1.7272321776078056e-15,9,45,4,0
7,0.029737608153590108,4,pre_ko_rhs,2.4591842036847889e-15,2.4591842036847889e-15,9,59,7.875,0
8,0.032434818077705332,1,pre_ko_rhs,1.8837226043349245e-15,1.8837226043349245e-15,9,8,-7.875,0
8,0.032434818077705332,2,pre_ko_rhs,2.1373128677566053e-15,2.1373128677566053e-15,9,10,-5.75,0
8,0.032434818077705332,3,pre_ko_rhs,1.5612601150080675e-15,1.5612601150080675e-15,9,57,6,0
8,0.032434818077705332,4,pre_ko_rhs,2.728320952502535e-15,2.728320952502535e-15,9,8,-7.375,0
9,0.035128232319335796,1,pre_ko_rhs,1.9271286270395459e-15,1.9271286270395459e-15,9,8,-7.75,0
9,0.035128232319335796,2,pre_ko_rhs,2.0166121911944847e-15,2.0166121911944847e-15,9,59,7.125,0
9,0.035128232319335796,3,pre_ko_rhs,2.1512654679159707e-15,2.1512654679159707e-15,9,59,7.625,0
9,0.035128232319335796,4,pre_ko_rhs,2.1578020496226122e-15,2.1578020496226122e-15,9,59,6.625,0
10,0.037817924883957368,1,pre_ko_rhs,2.4104092277955588e-15,2.4104092277955588e-15,9,59,7,0
10,0.037817924883957368,2,pre_ko_rhs,1.973230158043968e-15,1.973230158043968e-15,9,59,7.25,0
10,0.037817924883957368,3,pre_ko_rhs,2.2517195689285454e-15,2.2517195689285454e-15,9,59,7.25,0
10,0.037817924883957368,4,pre_ko_rhs,1.8168793950620307e-15,1.8168793950620307e-15,9,8,-8,0
11,0.04050396894181689,1,pre_ko_rhs,2.8972783853542955e-15,2.8972783853542955e-15,9,8,-7.875,0
11,0.04050396894181689,2,pre_ko_rhs,2.0763240351667792e-15,2.0763240351667792e-15,9,8,-7.625,0
11,0.04050396894181689,3,pre_ko_rhs,2.559345616314849e-15,2.559345616314849e-15,9,59,7.5,0
11,0.04050396894181689,4,pre_ko_rhs,2.6263307285672914e-15,2.6263307285672914e-15,9,8,-6.75,0
12,0.043186436868178267,1,pre_ko_rhs,1.9630445420165711e-15,1.9630445420165711e-15,9,59,8,0
12,0.043186436868178267,2,pre_ko_rhs,2.2297050631197794e-15,2.2297050631197794e-15,9,8,-7.5,0
12,0.043186436868178267,3,pre_ko_rhs,1.8308187876864838e-15,1.8308187876864838e-15,9,8,-7.5,0
12,0.043186436868178267,4,pre_ko_rhs,2.0259345579373817e-15,2.0259345579373817e-15,9,10,-5.625,0
13,0.045865400300575801,1,pre_ko_rhs,2.1080894775631361e-15,2.1080894775631361e-15,9,8,-7.25,0
13,0.045865400300575801,2,pre_ko_rhs,1.8261952347889241e-15,1.8261952347889241e-15,9,8,-7.375,0
13,0.045865400300575801,3,pre_ko_rhs,2.4631851835562407e-15,2.4631851835562407e-15,9,8,-6.625,0
13,0.045865400300575801,4,pre_ko_rhs,2.3273749726605439e-15,2.3273749726605439e-15,9,59,7.625,0
14,0.048540930207309943,1,pre_ko_rhs,2.2579479934893735e-15,2.2579479934893735e-15,9,59,7,0
14,0.048540930207309943,2,pre_ko_rhs,2.5851228886297087e-15,2.5851228886297087e-15,9,59,7.875,0
14,0.048540930207309943,3,pre_ko_rhs,2.027665042936813e-15,2.027665042936813e-15,9,57,5.875,0
14,0.048540930207309943,4,pre_ko_rhs,1.6480798394709088e-15,1.6480798394709088e-15,9,8,-7.125,0
15,0.051213096959221723,1,pre_ko_rhs,2.3161136894073176e-15,2.3161136894073176e-15,9,59,7.5,0
15,0.051213096959221723,2,pre_ko_rhs,2.3468143164030692e-15,2.3468143164030692e-15,9,8,-7.375,0
15,0.051213096959221723,3,pre_ko_rhs,2.1269683090604073e-15,2.1269683090604073e-15,9,59,7.75,0
15,0.051213096959221723,4,pre_ko_rhs,1.8989702376133843e-15,1.8989702376133843e-15,9,8,-7.75,0
16,0.053881970395754625,1,pre_ko_rhs,2.104726085065739e-15,2.104726085065739e-15,9,59,7.875,0
16,0.053881970395754625,2,pre_ko_rhs,2.6626869665715932e-15,2.6626869665715932e-15,9,59,7.5,0
16,0.053881970395754625,3,pre_ko_rhs,1.7349282431925324e-15,1.7349282431925324e-15,9,59,6.75,0
16,0.053881970395754625,4,pre_ko_rhs,2.4591654133468916e-15,2.4591654133468916e-15,9,59,8,0
17,0.056547619876560762,1,pre_ko_rhs,1.7806174421978243e-15,1.7806174421978243e-15,9,8,-7.125,0
17,0.056547619876560762,2,pre_ko_rhs,2.6955671692278754e-15,2.6955671692278754e-15,9,8,-7.625,0
17,0.056547619876560762,3,pre_ko_rhs,1.8467619681872766e-15,1.8467619681872766e-15,9,59,7.125,0
17,0.056547619876560762,4,pre_ko_rhs,2.8507589878490516e-15,2.8507589878490516e-15,9,8,-8,0
18,0.059210114311351439,1,pre_ko_rhs,2.0260997078001919e-15,2.0260997078001919e-15,9,10,-4.75,0
18,0.059210114311351439,2,pre_ko_rhs,2.2294591101055988e-15,2.2294591101055988e-15,9,8,-8,0
18,0.059210114311351439,3,pre_ko_rhs,1.9098630351509052e-15,1.9098630351509052e-15,9,59,7,0
18,0.059210114311351439,4,pre_ko_rhs,1.8712930164583446e-15,1.8712930164583446e-15,9,59,7.75,0
19,0.061869522163089684,1,pre_ko_rhs,2.5251554520149186e-15,2.5251554520149186e-15,9,8,-7.25,0
19,0.061869522163089684,2,pre_ko_rhs,1.7126990859163017e-15,1.7126990859163017e-15,9,10,-4.625,0
19,0.061869522163089684,3,pre_ko_rhs,2.0053189225012592e-15,2.0053189225012592e-15,9,8,-7.125,0
19,0.061869522163089684,4,pre_ko_rhs,1.6754910924568936e-15,1.6754910924568936e-15,9,59,6.875,0
20,0.06452591142261932,1,pre_ko_rhs,2.0767150001684436e-15,2.0767150001684436e-15,9,59,7.375,0
20,0.06452591142261932,2,pre_ko_rhs,1.8561154326520039e-15,1.8561154326520039e-15,9,8,-8,0
20,0.06452591142261932,3,pre_ko_rhs,1.847141752045267e-15,1.847141752045267e-15,9,59,7.75,0
20,0.06452591142261932,4,pre_ko_rhs,2.3682899715876032e-15,2.3682899715876032e-15,9,8,-7.5,0
21,0.06717934955600946,1,pre_ko_rhs,1.9269178112944093e-15,1.9269178112944093e-15,9,45,2.625,0
21,0.06717934955600946,2,pre_ko_rhs,1.8637582409334631e-15,1.8637582409334631e-15,9,57,4.625,0
21,0.06717934955600946,3,pre_ko_rhs,2.3138594410509037e-15,2.3138594410509037e-15,9,8,-7.5,0
21,0.06717934955600946,4,pre_ko_rhs,2.1797873610727254e-15,2.1797873610727254e-15,9,59,7.125,0
22,0.069829903428856019,1,pre_ko_rhs,1.9297628812862605e-15,1.9297628812862605e-15,9,10,-5.625,0
22,0.069829903428856019,2,pre_ko_rhs,2.0112604747754904e-15,2.0112604747754904e-15,9,8,-6.125,0
22,0.069829903428856019,3,pre_ko_rhs,2.1888986904560507e-15,2.1888986904560507e-15,9,8,-7.625,0
22,0.069829903428856019,4,pre_ko_rhs,1.842069038467441e-15,1.842069038467441e-15,9,59,7.125,0
23,0.072477639214172912,1,pre_ko_rhs,2.800648959475292e-15,2.800648959475292e-15,9,59,7.125,0
23,0.072477639214172912,2,pre_ko_rhs,1.806410943955713e-15,1.806410943955713e-15,9,8,-8,0
23,0.072477639214172912,3,pre_ko_rhs,1.8247278202684706e-15,1.8247278202684706e-15,9,57,4.5,0
23,0.072477639214172912,4,pre_ko_rhs,1.8813720282147321e-15,1.8813720282147321e-15,9,8,-7.25,0
24,0.075122622292073268,1,pre_ko_rhs,2.2344030883306907e-15,2.2344030883306907e-15,9,8,-8,0
24,0.075122622292073268,2,pre_ko_rhs,1.8576383649242219e-15,1.8576383649242219e-15,9,10,-4.875,0
24,0.075122622292073268,3,pre_ko_rhs,2.2781698016987233e-15,2.2781698016987233e-15,9,59,7.25,0
24,0.075122622292073268,4,pre_ko_rhs,1.5466207705291899e-15,1.5466207705291899e-15,9,10,-4.75,0
25,0.077764917150057788,1,pre_ko_rhs,2.7976637688980306e-15,2.7976637688980306e-15,9,8,-7.25,0
25,0.077764917150057788,2,pre_ko_rhs,2.0002608036103266e-15,2.0002608036103266e-15,9,59,6.625,0
25,0.077764917150057788,3,pre_ko_rhs,2.4432291598482257e-15,2.4432291598482257e-15,9,8,-7.875,0
25,0.077764917150057788,4,pre_ko_rhs,2.3942516157755007e-15,2.3942516157755007e-15,9,8,-7.375,0
26,0.080404587292392207,1,pre_ko_rhs,1.7905670507783801e-15,1.7905670507783801e-15,9,10,-5.875,0
26,0.080404587292392207,2,pre_ko_rhs,1.9158782564170022e-15,1.9158782564170022e-15,9,8,-6.25,0
26,0.080404587292392207,3,pre_ko_rhs,1.8108166778261564e-15,1.8108166778261564e-15,9,57,5.125,0
26,0.080404587292392207,4,pre_ko_rhs,1.8404903246724421e-15,1.8404903246724421e-15,9,8,-6.25,0
27,0.08304168007579045,1,pre_ko_rhs,1.8861795072104548e-15,1.8861795072104548e-15,9,59,7.625,0
27,0.08304168007579045,2,pre_ko_rhs,2.3642453767017774e-15,2.3642453767017774e-15,9,59,7.75,0
27,0.08304168007579045,3,pre_ko_rhs,1.7328696975064686e-15,1.7328696975064686e-15,9,18,-0.875,0
27,0.08304168007579045,4,pre_ko_rhs,1.9888045550395526e-15,1.9888045550395526e-15,9,59,8,0
28,0.085676126618683068,1,pre_ko_rhs,2.8994145772367424e-15,2.8994145772367424e-15,9,59,8,0
28,0.085676126618683068,2,pre_ko_rhs,1.833340720324043e-15,1.833340720324043e-15,9,8,-6.25,0
28,0.085676126618683068,3,pre_ko_rhs,2.1766827238887904e-15,2.1766827238887904e-15,9,8,-7.625,0
28,0.085676126618683068,4,pre_ko_rhs,2.3510898272766925e-15,2.3510898272766925e-15,9,59,7.625,0
29,0.088307644990090139,1,pre_ko_rhs,1.951530737573412e-15,1.951530737573412e-15,9,8,-6.75,0
29,0.088307644990090139,2,pre_ko_rhs,1.7889080801617781e-15,1.7889080801617781e-15,9,8,-8,0
29,0.088307644990090139,3,pre_ko_rhs,1.9654941403906687e-15,1.9654941403906687e-15,9,8,-8,0
29,0.088307644990090139,4,pre_ko_rhs,1.8062170944597014e-15,1.8062170944597014e-15,9,18,-1.875,0
30,0.090936298919301634,1,pre_ko_rhs,1.9798578095377253e-15,1.9798578095377253e-15,9,59,7.875,0
30,0.090936298919301634,2,pre_ko_rhs,1.6172117797015047e-15,1.6172117797015047e-15,9,59,8,0
30,0.090936298919301634,3,pre_ko_rhs,2.4062842458014816e-15,2.4062842458014816e-15,9,59,8,0
30,0.090936298919301634,4,pre_ko_rhs,1.8749415484564625e-15,1.8749415484564625e-15,9,8,-7.625,0
31,0.093562151874483343,1,pre_ko_rhs,2.1624196477575096e-15,2.1624196477575096e-15,9,8,-7.625,0
31,0.093562151874483343,2,pre_ko_rhs,1.9895733217270992e-15,1.9895733217270992e-15,9,8,-6.375,0
31,0.093562151874483343,3,pre_ko_rhs,2.2978670406558603e-15,2.2978670406558603e-15,9,8,-7.375,0
31,0.093562151874483343,4,pre_ko_rhs,2.0135838547882228e-15,2.0135838547882228e-15,9,59,8,0
32,0.096185266870757249,1,pre_ko_rhs,1.7579579122407005e-15,1.7579579122407005e-15,9,59,6.25,0
32,0.096185266870757249,2,pre_ko_rhs,2.0124717407214072e-15,2.0124717407214072e-15,9,8,-7,0
32,0.096185266870757249,3,pre_ko_rhs,2.1943496000457523e-15,2.1943496000457523e-15,9,8,-7.875,0
32,0.096185266870757249,4,pre_ko_rhs,2.098055639595366e-15,2.098055639595366e-15,9,59,6.5,0
33,0.098805706282488831,1,pre_ko_rhs,1.9021224446341849e-15,1.9021224446341849e-15,9,8,-7.75,0
33,0.098805706282488831,2,pre_ko_rhs,2.0695640068734016e-15,2.0695640068734016e-15,9,8,-7.25,0
33,0.098805706282488831,3,pre_ko_rhs,2.2692047650072384e-15,2.2692047650072384e-15,9,59,8,0
33,0.098805706282488831,4,pre_ko_rhs,2.1083514039271008e-15,2.1083514039271008e-15,9,8,-7.25,0
34,0.10142353168288884,1,pre_ko_rhs,1.9500450790668839e-15,1.9500450790668839e-15,9,59,6.375,0
34,0.10142353168288884,2,pre_ko_rhs,1.8251357510102601e-15,1.8251357510102601e-15,9,57,5.5,0
34,0.10142353168288884,3,pre_ko_rhs,2.7792459080950389e-15,2.7792459080950389e-15,9,59,7.75,0
34,0.10142353168288884,4,pre_ko_rhs,2.1473583234034139e-15,2.1473583234034139e-15,9,8,-7.625,0
35,0.10403880372821714,1,pre_ko_rhs,1.8886540245797471e-15,1.8886540245797471e-15,9,59,7,0
35,0.10403880372821714,2,pre_ko_rhs,1.7378179514567037e-15,1.7378179514567037e-15,9,59,8,0
35,0.10403880372821714,3,pre_ko_rhs,2.2710106680793308e-15,2.2710106680793308e-15,9,59,7.75,0
35,0.10403880372821714,4,pre_ko_rhs,2.2373483161615944e-15,2.2373483161615944e-15,9,8,-7.75,0
36,0.10665158209663241,1,pre_ko_rhs,2.3981772078845716e-15,2.3981772078845716e-15,9,59,7,0
36,0.10665158209663241,2,pre_ko_rhs,1.9964671769957297e-15,1.9964671769957297e-15,9,8,-7.875,0
36,0.10665158209663241,3,pre_ko_rhs,2.276806711347536e-15,2.276806711347536e-15,9,59,7.625,0
36,0.10665158209663241,4,pre_ko_rhs,1.9729341189238698e-15,1.9729341189238698e-15,9,8,-6.125,0
37,0.10926192548418903,1,pre_ko_rhs,2.2997144680766609e-15,2.2997144680766609e-15,9,59,7.625,0
37,0.10926192548418903,2,pre_ko_rhs,1.9856142931368541e-15,1.9856142931368541e-15,9,59,8,0
37,0.10926192548418903,3,pre_ko_rhs,1.6439274761985443e-15,1.6439274761985443e-15,9,40,2,0
