cycle,time,rk_stage,checkpoint,max_abs,max_scaled,component,gid,z,nonfinite
0,0,1,pre_ko_rhs,1.3201806571642725e-14,1.3201806571642725e-14,9,26,15.8125,0
0,0,1,post_rk_state,6.6613381477509747e-16,6.6613381477509747e-16,14,10,-0.1875,0
0,0,2,pre_ko_rhs,1.2243632371976042e-14,1.2243632371976042e-14,9,26,15.625,0
0,0,2,post_rk_state,4.808031826751257e-16,4.808031826751257e-16,14,10,-0.1875,0
0,0,3,pre_ko_rhs,1.2935452163172946e-14,1.2935452163172946e-14,9,0,-14.8125,0
0,0,3,post_rk_state,1.4130092198563648e-15,1.4130092198563648e-15,14,10,-0.1875,0
0,0,4,pre_ko_rhs,1.0850061499229443e-14,1.0850061499229443e-14,9,26,15.4375,0
0,0,4,post_rk_state,1.3232950447597384e-16,1.3232950447597384e-16,14,10,-0.1875,0
1,0.0054042040995282009,1,pre_ko_rhs,1.0987326174946954e-14,1.0987326174946954e-14,9,26,13.9375,0
1,0.0054042040995282009,2,pre_ko_rhs,1.4403966426899415e-14,1.4403966426899415e-14,9,0,-13.9375,0
1,0.0054042040995282009,3,pre_ko_rhs,1.1204587305764642e-14,1.1204587305764642e-14,9,0,-13.25,0
1,0.0054042040995282009,4,pre_ko_rhs,1.1399598937635645e-14,1.1399598937635645e-14,9,24,10.875,0
2,0.01080156473589974,1,pre_ko_rhs,1.285467962880897e-14,1.285467962880897e-14,9,0,-14.875,0
2,0.01080156473589974,2,pre_ko_rhs,1.2710248385234404e-14,1.2710248385234404e-14,9,24,10.5,0
2,0.01080156473589974,3,pre_ko_rhs,1.351010189516278e-14,1.351010189516278e-14,9,0,-15.75,0
2,0.01080156473589974,4,pre_ko_rhs,1.3486652229881967e-14,1.3486652229881967e-14,9,0,-13.875,0
3,0.016192427326688137,1,pre_ko_rhs,1.1799626609252936e-14,1.1799626609252936e-14,9,24,11.8125,0
3,0.016192427326688137,2,pre_ko_rhs,1.1750522450839057e-14,1.1750522450839057e-14,9,26,15.25,0
3,0.016192427326688137,3,pre_ko_rhs,1.2953485709123179e-14,1.2953485709123179e-14,9,26,15.75,0
3,0.016192427326688137,4,pre_ko_rhs,1.2716343430942199e-14,1.2716343430942199e-14,9,18,7.625,0
4,0.021575598557290791,1,pre_ko_rhs,1.2153462520488102e-14,1.2153462520488102e-14,9,0,-15.9375,0
4,0.021575598557290791,2,pre_ko_rhs,1.4644891105897831e-14,1.4644891105897831e-14,9,2,-10.6875,0
4,0.021575598557290791,3,pre_ko_rhs,1.2734982046629119e-14,1.2734982046629119e-14,9,0,-13.5,0
4,0.021575598557290791,4,pre_ko_rhs,1.4373902668100719e-14,1.4373902668100719e-14,9,2,-10.5,0
5,0.02694912932494959,1,pre_ko_rhs,1.3844195812093061e-14,1.3844195812093061e-14,9,0,-15.0625,0
5,0.02694912932494959,2,pre_ko_rhs,1.3457653650541518e-14,1.3457653650541518e-14,9,0,-14.5625,0
5,0.02694912932494959,3,pre_ko_rhs,1.0363681972849717e-14,1.0363681972849717e-14,9,8,-7.25,0
5,0.02694912932494959,4,pre_ko_rhs,1.3014329464230044e-14,1.3014329464230044e-14,9,2,-11.375,0
6,0.032313424290754317,1,pre_ko_rhs,1.5091215614864049e-14,1.5091215614864049e-14,9,26,15.625,0
6,0.032313424290754317,2,pre_ko_rhs,1.452716792246763e-14,1.452716792246763e-14,9,0,-14.6875,0
6,0.032313424290754317,3,pre_ko_rhs,1.3831693538790898e-14,1.3831693538790898e-14,9,26,16,0
6,0.032313424290754317,4,pre_ko_rhs,1.3125546863487824e-14,1.3125546863487824e-14,9,2,-11.625,0
7,0.03766888116931414,1,pre_ko_rhs,1.2549330158433519e-14,1.2549330158433519e-14,9,26,12.6875,0
7,0.03766888116931414,2,pre_ko_rhs,1.3346733100295549e-14,1.3346733100295549e-14,9,24,11.625,0
7,0.03766888116931414,3,pre_ko_rhs,1.236971153146619e-14,1.236971153146619e-14,9,2,-11.5,0
7,0.03766888116931414,4,pre_ko_rhs,1.4181562788152725e-14,1.4181562788152725e-14,9,26,14.5,0
8,0.04301589088260506,1,pre_ko_rhs,1.281420747529863e-14,1.281420747529863e-14,9,26,14.4375,0
8,0.04301589088260506,2,pre_ko_rhs,1.1644082741742084e-14,1.1644082741742084e-14,9,24,11.9375,0
8,0.04301589088260506,3,pre_ko_rhs,1.156415812268408e-14,1.156415812268408e-14,9,2,-9.1875,0
8,0.04301589088260506,4,pre_ko_rhs,1.3524984688563998e-14,1.3524984688563998e-14,9,2,-11.75,0
9,0.048353518417357237,1,pre_ko_rhs,1.2854618679246796e-14,1.2854618679246796e-14,9,0,-14.4375,0
9,0.048353518417357237,2,pre_ko_rhs,1.510052091541841e-14,1.510052091541841e-14,9,26,15,0
9,0.048353518417357237,3,pre_ko_rhs,1.5363735430077761e-14,1.5363735430077761e-14,9,0,-13.25,0
9,0.048353518417357237,4,pre_ko_rhs,1.0074901259025472e-14,1.0074901259025472e-14,9,24,11.9375,0
10,0.05368012975494673,1,pre_ko_rhs,1.3067967732021386e-14,1.3067967732021386e-14,9,24,10.75,0
10,0.05368012975494673,2,pre_ko_rhs,1.2514606904053206e-14,1.2514606904053206e-14,9,2,-11.4375,0
10,0.05368012975494673,3,pre_ko_rhs,1.1875260155834289e-14,1.1875260155834289e-14,9,2,-11.6875,0
10,0.05368012975494673,4,pre_ko_rhs,1.5634623676035434e-14,1.5634623676035434e-14,9,26,12.8125,0
11,0.058996177245156371,1,pre_ko_rhs,1.3011050055303316e-14,1.3011050055303316e-14,9,26,12.5,0
11,0.058996177245156371,2,pre_ko_rhs,1.3173590347630668e-14,1.3173590347630668e-14,9,0,-15.8125,0
11,0.058996177245156371,3,pre_ko_rhs,1.3529817697114847e-14,1.3529817697114847e-14,9,26,12.375,0
11,0.058996177245156371,4,pre_ko_rhs,1.2104519940516913e-14,1.2104519940516913e-14,9,0,-13.6875,0
12,0.064302106093648836,1,pre_ko_rhs,1.1062790369160095e-14,1.1062790369160095e-14,9,0,-13.375,0
12,0.064302106093648836,2,pre_ko_rhs,1.28918640970729e-14,1.28918640970729e-14,9,26,14.25,0
12,0.064302106093648836,3,pre_ko_rhs,1.1355339906633089e-14,1.1355339906633089e-14,9,2,-9.6875,0
12,0.064302106093648836,4,pre_ko_rhs,1.2332541199506955e-14,1.2332541199506955e-14,9,24,10.75,0
13,0.069598354524536901,1,pre_ko_rhs,1.262118964205275e-14,1.262118964205275e-14,9,0,-15.875,0
13,0.069598354524536901,2,pre_ko_rhs,1.1263806553510871e-14,1.1263806553510871e-14,9,24,11.125,0
13,0.069598354524536901,3,pre_ko_rhs,1.35868417700637e-14,1.35868417700637e-14,9,24,10.375,0
13,0.069598354524536901,4,pre_ko_rhs,1.429633818888263e-14,1.429633818888263e-14,9,0,-16,0
14,0.074885353938573304,1,pre_ko_rhs,1.2041465774703957e-14,1.2041465774703957e-14,9,26,12.875,0
14,0.074885353938573304,2,pre_ko_rhs,1.369002084906299e-14,1.369002084906299e-14,9,0,-15.8125,0
14,0.074885353938573304,3,pre_ko_rhs,1.168263971038412e-14,1.168263971038412e-14,9,24,9.6875,0
14,0.074885353938573304,4,pre_ko_rhs,1.4262939410941083e-14,1.4262939410941083e-14,9,26,13.3125,0
15,0.080162996000668132,1,pre_ko_rhs,1.2073198646827486e-14,1.2073198646827486e-14,9,26,12.75,0
15,0.080162996000668132,2,pre_ko_rhs,1.1345016845793014e-14,1.1345016845793014e-14,9,0,-15.1875,0
15,0.080162996000668132,3,pre_ko_rhs,1.2296296853879883e-14,1.2296296853879883e-14,9,24,8.1875,0
15,0.080162996000668132,4,pre_ko_rhs,1.1851578159419756e-14,1.1851578159419756e-14,9,26,14.5625,0
16,0.085429473940138639,1,pre_ko_rhs,1.2817564191257363e-14,1.2817564191257363e-14,9,26,15.6875,0
16,0.085429473940138639,2,pre_ko_rhs,1.2349609767571476e-14,1.2349609767571476e-14,9,0,-14.6875,0
16,0.085429473940138639,3,pre_ko_rhs,1.3780182080833882e-14,1.3780182080833882e-14,9,24,9.5625,0
