# PC-GH Gauge A0 M=1; derivatives are d/d(log(r/M))
# log_r A dx_A chi dx_chi beta_r dx_beta_r K dx_K At_radial dx_At_radial h_perp dx_h_perp h_radial dx_h_radial
-1.84206807439523672e+01 1.66430501869126118e-18 3.63250249283159405e-18 5.80579997962591225e-17 1.16115999442719377e-16 5.51520764261619222e-09 5.51520762515334408e-09 3.00936506308818075e-01 -1.31056058456860224e-09 -1.35362578647604259e+00 3.92819975730439075e-09 6.01873012229404147e-01 -3.04480217029842611e-09 -3.04175152448608782e-09 -3.04175166347872721e-09
-1.84139348891877361e+01 1.68899021078666230e-18 3.68638025007328924e-18 5.88466093475728385e-17 1.17693218542190207e-16 5.55253820395864424e-09 5.55253818624769403e-09 3.00936506299944284e-01 -1.32032067343397366e-09 -1.35362578644944542e+00 3.95730484192185905e-09 6.01873012208787972e-01 -3.06744381175264985e-09 -3.06234010400550758e-09 -3.06234002854464760e-09
-1.84071890344231051e+01 1.71404238110969055e-18 3.74105897186768097e-18 5.96459306875489276e-17 1.19291861218919222e-16 5.59012144315033549e-09 5.59012142518775280e-09 3.00936506291004768e-01 -1.33004668539674642e-09 -1.35362578642265152e+00 3.98652639694539072e-09 6.01873012188019141e-01 -3.09006127272866044e-09 -3.08306804060212725e-09 -3.08306802206105745e-09
-1.84004431796584740e+01 1.73946585668621908e-18 3.79654810235633665e-18 6.04561093158405579e-17 1.20912218472211429e-16 5.62795907048151989e-09 5.62795905226373296e-09 3.00936506281999527e-01 -1.33984085116471710e-09 -1.35362578639565978e+00 4.01600874681966889e-09 6.01873012167097432e-01 -3.11282584179367082e-09 -3.10393627753648936e-09 -3.10393624319347813e-09
-1.83936973248938429e+01 1.76526663277314732e-18 3.85286072675219904e-18 6.12772927084420740e-17 1.22554585254054037e-16 5.66605280781881261e-09 5.66605278934219259e-09 3.00936506272927673e-01 -1.34979146714479367e-09 -1.35362578636846842e+00 4.04561515960837453e-09 6.01873012146021069e-01 -3.13591488317407027e-09 -3.12494576445373210e-09 -3.12494573378706596e-09
-1.83869514701292118e+01 1.79144889338875501e-18 3.91000597706930045e-18 6.21096303445339823e-17 1.24219260522806679e-16 5.70440438868356540e-09 5.70440436994444293e-09 3.00936506263788539e-01 -1.35973935839927518e-09 -1.35362578634107678e+00 4.07555074434695121e-09 6.01873012124788498e-01 -3.15904013419253954e-09 -3.14609745742682969e-09 -3.14609742520890336e-09
-1.83802056153645808e+01 1.81802105009352147e-18 3.96800221233078557e-18 6.29532737336923169e-17 1.25906547297619795e-16 5.74301555833073749e-09 5.74301553932537369e-09 3.00936506254582348e-01 -1.36973919260918116e-09 -1.35362578631348174e+00 4.10572427962538624e-09 6.01873012103399940e-01 -3.18228855713878968e-09 -3.16739231900006908e-09 -3.16739228662333523e-09
-1.83734597605999497e+01 1.84498680588999869e-18 4.02685751468853735e-18 6.38083764434679689e-17 1.27616752713593738e-16 5.78188807382833215e-09 5.78188805455294765e-09 3.00936506245307989e-01 -1.37992896825328507e-09 -1.35362578628568331e+00 4.13599930065056801e-09 6.01873012081853065e-01 -3.20594618049531246e-09 -3.18883131823289295e-09 -3.18883128531632118e-09
-1.83667139058353186e+01 1.87235283694778608e-18 4.08658645551161294e-18 6.46750941273402679e-17 1.29350188077685565e-16 5.82102370413733798e-09 5.82102368458809383e-09 3.00936506235964685e-01 -1.39014638583206008e-09 -1.35362578625767949e+00 4.16651915234208491e-09 6.01873012060146095e-01 -3.22967065223559982e-09 -3.21041543074395867e-09 -3.21041539738165939e-09
-1.83599680510706875e+01 1.90012365320355175e-18 4.14719887816161906e-18 6.55535845530505243e-17 1.31107168925376417e-16 5.86042423019224664e-09 5.86042421036525840e-09 3.00936506226552547e-01 -1.40035953563567797e-09 -1.35362578622946916e+00 4.19734065547756324e-09 6.01873012038279254e-01 -3.25340975995858307e-09 -3.23214563875557115e-09 -3.23214560491403362e-09
-1.83532221963060564e+01 1.92830733044465116e-18 4.20871240880522712e-18 6.64440076313203133e-17 1.32888015078107670e-16 5.90009144498208013e-09 5.90009142487339802e-09 3.00936506217071131e-01 -1.41071023530411615e-09 -1.35362578620104967e+00 4.22838942342463901e-09 6.01873012016251319e-01 -3.27746783746360507e-09 -3.25402293113834189e-09 -3.25402289681746684e-09
-1.83464763415414254e+01 1.95690845505671573e-18 4.27113705766110684e-18 6.73465254449598254e-17 1.34693050701498153e-16 5.94002715363199883e-09 5.94002713323762260e-09 3.00936506207519439e-01 -1.42115685965016852e-09 -1.35362578617242080e+00 4.25951119340484294e-09 6.01873011994060181e-01 -3.30171660684640167e-09 -3.27604830345622855e-09 -3.27604826864830956e-09
-1.83397304867767943e+01 1.98593364454524218e-18 4.33448726805838120e-18 6.82613022783716966e-17 1.36522604364351410e-16 5.98023317348543552e-09 5.98023315280130619e-09 3.00936506197897247e-01 -1.43162534465010528e-09 -1.35362578614358053e+00 4.29110116176667250e-09 6.01873011971705285e-01 -3.32606860452696039e-09 -3.29822275801181071e-09 -3.29822272270905821e-09
-1.83329846320121632e+01 2.01539074028999891e-18 4.39878015454707864e-18 6.91885046474554672e-17 1.38377009098464749e-16 6.02071133418679940e-09 6.02071131320879431e-09 3.00936506188204111e-01 -1.44220670375461613e-09 -1.35362578611452622e+00 4.32281902435295603e-09 6.01873011949185299e-01 -3.35065634776558722e-09 -3.32054730389190840e-09 -3.32054726808759949e-09
