formulation,puncture,time,x,y,z,min_alpha,dx
PC-GH,0,0.0,2.46875,-0.03125,0.03125,0.031114980578422546,0.0625
PC-GH,0,5.00855,2.40625,-0.03125,0.03125,0.07194113731384277,0.0625
PC-GH,0,10.0052,2.21875,-0.03125,0.03125,0.03264670446515083,0.0625
PC-GH,0,15.007,1.71875,-0.03125,0.03125,0.032731860876083374,0.0625
PC-GH,0,20.0073,0.84375,-0.03125,0.03125,0.02843932993710041,0.0625
PC-GH,0,25.0018,0.15625,-0.03125,0.03125,0.02797660045325756,0.0625
PC-GH,0,30.0035,0.03125,-0.03125,0.03125,0.019389018416404724,0.0625
PC-GH,0,35.0003,0.03125,-0.03125,0.03125,0.018047014251351357,0.0625
PC-GH,0,40.009,0.03125,-0.03125,0.03125,0.018272623419761658,0.0625
PC-GH,0,45.0049,0.03125,-0.03125,0.03125,0.01792948506772518,0.0625
PC-GH,0,50.0007,0.03125,-0.03125,0.03125,0.017679162323474884,0.0625
PC-GH,0,55.0014,0.03125,-0.03125,0.03125,0.01850854605436325,0.0625
PC-GH,0,60.0015,0.03125,-0.03125,0.03125,0.01861647143959999,0.0625
PC-GH,0,65.0019,0.03125,-0.03125,0.03125,0.014706430956721306,0.0625
PC-GH,0,70.0006,0.03125,-0.03125,0.03125,0.014555343426764011,0.0625
PC-GH,1,0.0,-2.46875,-0.03125,0.03125,0.031114980578422546,0.0625
PC-GH,1,5.00855,-2.40625,-0.03125,0.03125,0.07194113731384277,0.0625
PC-GH,1,10.0052,-2.21875,-0.03125,0.03125,0.03264670446515083,0.0625
PC-GH,1,15.007,-1.71875,-0.03125,0.03125,0.032731860876083374,0.0625
PC-GH,1,20.0073,-0.84375,-0.03125,0.03125,0.02843932993710041,0.0625
PC-GH,1,25.0018,-0.15625,-0.03125,0.03125,0.02797660045325756,0.0625
PC-GH,1,30.0035,-0.03125,-0.03125,0.03125,0.019389018416404724,0.0625
PC-GH,1,35.0003,-0.03125,-0.03125,0.03125,0.018047014251351357,0.0625
PC-GH,1,40.009,-0.03125,-0.03125,0.03125,0.018272623419761658,0.0625
PC-GH,1,45.0049,-0.03125,-0.03125,0.03125,0.01792948506772518,0.0625
PC-GH,1,50.0007,-0.03125,-0.03125,0.03125,0.017679162323474884,0.0625
