
Root grid = 4 x 4 x 4 MeshBlocks
Total number of MeshBlocks = 1464
Number of logical  levels of refinement = 9 (10 levels total)
Number of physical levels of refinement = 7 (8 levels total)
  Physical level = 1 (logical level = 3): 448 MeshBlocks, cost = 448
  Physical level = 2 (logical level = 4): 496 MeshBlocks, cost = 496
  Physical level = 3 (logical level = 5): 112 MeshBlocks, cost = 112
  Physical level = 4 (logical level = 6): 112 MeshBlocks, cost = 112
  Physical level = 5 (logical level = 7): 112 MeshBlocks, cost = 112
  Physical level = 6 (logical level = 8): 120 MeshBlocks, cost = 120
  Physical level = 7 (logical level = 9): 64 MeshBlocks, cost = 64
Number of parallel ranks = 1
PC-GH ADM initialization: min unguarded w=0.031115, division_floor=1e-14, guarded cells=0
TwoPuncture initialized.

Setup complete, executing task list(s)...

elapsed=2.624199e+01 cycle=0 time=0.000000e+00 dt=5.412659e-03
AMR_CHANGE cycle=10 time=5.412570e-02 created=0 deleted=672 blocks=792
elapsed=3.197177e+01 cycle=10 time=5.412570e-02 dt=5.412347e-03
elapsed=3.455913e+01 cycle=20 time=1.082455e-01 dt=5.411416e-03
elapsed=3.713657e+01 cycle=30 time=1.623523e-01 dt=5.409614e-03
elapsed=3.972054e+01 cycle=40 time=2.164343e-01 dt=5.406079e-03
elapsed=4.344928e+01 cycle=50 time=2.704717e-01 dt=5.400499e-03
elapsed=4.596167e+01 cycle=60 time=3.244464e-01 dt=5.393621e-03
elapsed=4.847137e+01 cycle=70 time=3.783493e-01 dt=5.386136e-03
elapsed=5.099374e+01 cycle=80 time=4.321763e-01 dt=5.378510e-03
elapsed=5.355945e+01 cycle=90 time=4.859276e-01 dt=5.370967e-03
elapsed=5.730974e+01 cycle=100 time=5.395996e-01 dt=5.362654e-03
elapsed=5.989680e+01 cycle=110 time=5.931898e-01 dt=5.354635e-03
elapsed=6.244363e+01 cycle=120 time=6.467012e-01 dt=5.346926e-03
elapsed=6.496125e+01 cycle=130 time=7.001368e-01 dt=5.339485e-03
elapsed=6.747194e+01 cycle=140 time=7.534989e-01 dt=5.332242e-03
elapsed=7.116430e+01 cycle=150 time=8.067892e-01 dt=5.325124e-03
elapsed=7.369926e+01 cycle=160 time=8.600087e-01 dt=5.318069e-03
elapsed=7.627004e+01 cycle=170 time=9.131577e-01 dt=5.311033e-03
elapsed=7.885329e+01 cycle=180 time=9.662364e-01 dt=5.303986e-03
elapsed=8.265149e+01 cycle=190 time=1.019244e+00 dt=5.296905e-03
elapsed=8.517899e+01 cycle=200 time=1.072181e+00 dt=5.289594e-03
elapsed=8.770187e+01 cycle=210 time=1.125042e+00 dt=5.281857e-03
elapsed=9.021541e+01 cycle=220 time=1.177826e+00 dt=5.273974e-03
elapsed=9.272696e+01 cycle=230 time=1.230529e+00 dt=5.265916e-03
elapsed=9.645644e+01 cycle=240 time=1.283151e+00 dt=5.257662e-03
elapsed=9.902582e+01 cycle=250 time=1.335690e+00 dt=5.249191e-03
elapsed=1.015988e+02 cycle=260 time=1.388143e+00 dt=5.240488e-03
elapsed=1.041579e+02 cycle=270 time=1.440508e+00 dt=5.231535e-03
elapsed=1.066852e+02 cycle=280 time=1.492782e+00 dt=5.222317e-03
elapsed=1.103842e+02 cycle=290 time=1.544963e+00 dt=5.212824e-03
elapsed=1.129040e+02 cycle=300 time=1.597047e+00 dt=5.203050e-03
elapsed=1.154220e+02 cycle=310 time=1.649033e+00 dt=5.192999e-03
elapsed=1.179858e+02 cycle=320 time=1.700916e+00 dt=5.182679e-03
elapsed=1.205532e+02 cycle=330 time=1.752696e+00 dt=5.172107e-03
elapsed=1.243149e+02 cycle=340 time=1.804368e+00 dt=5.161306e-03
elapsed=1.268894e+02 cycle=350 time=1.855932e+00 dt=5.150304e-03
elapsed=1.294341e+02 cycle=360 time=1.907385e+00 dt=5.139130e-03
elapsed=1.319477e+02 cycle=370 time=1.958726e+00 dt=5.127820e-03
elapsed=1.347394e+02 cycle=380 time=2.009952e+00 dt=5.116409e-03
elapsed=1.384572e+02 cycle=390 time=2.061065e+00 dt=5.104934e-03
elapsed=1.410518e+02 cycle=400 time=2.112063e+00 dt=5.093432e-03
elapsed=1.436554e+02 cycle=410 time=2.162945e+00 dt=5.081937e-03
elapsed=1.462332e+02 cycle=420 time=2.213713e+00 dt=5.070483e-03
elapsed=1.487883e+02 cycle=430 time=2.264366e+00 dt=5.059098e-03
elapsed=1.524962e+02 cycle=440 time=2.314907e+00 dt=5.047806e-03
elapsed=1.550140e+02 cycle=450 time=2.365334e+00 dt=5.036629e-03
elapsed=1.575233e+02 cycle=460 time=2.415651e+00 dt=5.025582e-03
elapsed=1.600685e+02 cycle=470 time=2.465857e+00 dt=5.014680e-03
elapsed=1.626277e+02 cycle=480 time=2.515956e+00 dt=5.003933e-03
elapsed=1.663768e+02 cycle=490 time=2.565947e+00 dt=4.993348e-03
elapsed=1.689530e+02 cycle=500 time=2.615834e+00 dt=4.982929e-03
elapsed=1.714964e+02 cycle=510 time=2.665616e+00 dt=4.972172e-03
elapsed=1.740099e+02 cycle=520 time=2.715287e+00 dt=4.960950e-03
elapsed=1.765318e+02 cycle=530 time=2.764846e+00 dt=4.949858e-03
elapsed=1.802245e+02 cycle=540 time=2.814295e+00 dt=4.938900e-03
elapsed=1.827776e+02 cycle=550 time=2.863636e+00 dt=4.928076e-03
elapsed=1.853491e+02 cycle=560 time=2.912868e+00 dt=4.917389e-03
elapsed=1.879162e+02 cycle=570 time=2.961994e+00 dt=4.906837e-03
elapsed=1.904817e+02 cycle=580 time=3.011016e+00 dt=4.896419e-03
elapsed=1.941832e+02 cycle=590 time=3.059934e+00 dt=4.886131e-03
elapsed=1.966995e+02 cycle=600 time=3.108749e+00 dt=4.875971e-03
elapsed=1.992125e+02 cycle=610 time=3.157464e+00 dt=4.865933e-03
elapsed=2.017294e+02 cycle=620 time=3.206078e+00 dt=4.856016e-03
elapsed=2.042867e+02 cycle=630 time=3.254594e+00 dt=4.846215e-03
elapsed=2.080385e+02 cycle=640 time=3.303013e+00 dt=4.836531e-03
elapsed=2.106141e+02 cycle=650 time=3.351335e+00 dt=4.826964e-03
elapsed=2.131726e+02 cycle=660 time=3.399562e+00 dt=4.817520e-03
elapsed=2.156996e+02 cycle=670 time=3.447695e+00 dt=4.808206e-03
elapsed=2.182104e+02 cycle=680 time=3.495736e+00 dt=4.799034e-03
elapsed=2.219188e+02 cycle=690 time=3.543685e+00 dt=4.790022e-03
elapsed=2.244415e+02 cycle=700 time=3.591546e+00 dt=4.781186e-03
elapsed=2.270045e+02 cycle=710 time=3.639318e+00 dt=4.772551e-03
elapsed=2.295780e+02 cycle=720 time=3.687006e+00 dt=4.764140e-03
elapsed=2.321517e+02 cycle=730 time=3.734610e+00 dt=4.755981e-03
elapsed=2.347067e+02 cycle=740 time=3.782134e+00 dt=4.748101e-03
elapsed=2.384144e+02 cycle=750 time=3.829581e+00 dt=4.740526e-03
elapsed=2.409345e+02 cycle=760 time=3.876954e+00 dt=4.733283e-03
elapsed=2.434533e+02 cycle=770 time=3.924255e+00 dt=4.726393e-03
elapsed=2.459810e+02 cycle=780 time=3.971488e+00 dt=4.719571e-03
elapsed=2.487716e+02 cycle=790 time=4.018654e+00 dt=4.713064e-03
elapsed=2.525112e+02 cycle=800 time=4.065757e+00 dt=4.706858e-03
elapsed=2.550758e+02 cycle=810 time=4.112798e+00 dt=4.700779e-03
elapsed=2.576087e+02 cycle=820 time=4.159768e+00 dt=4.692369e-03
elapsed=2.601285e+02 cycle=830 time=4.206657e+00 dt=4.684887e-03
elapsed=2.627318e+02 cycle=840 time=4.253475e+00 dt=4.678285e-03
elapsed=2.664306e+02 cycle=850 time=4.300231e+00 dt=4.672503e-03
elapsed=2.689988e+02 cycle=860 time=4.346933e+00 dt=4.667479e-03
elapsed=2.715561e+02 cycle=870 time=4.393588e+00 dt=4.663147e-03
elapsed=2.741121e+02 cycle=880 time=4.440202e+00 dt=4.659437e-03
elapsed=2.766886e+02 cycle=890 time=4.486782e+00 dt=4.656279e-03
elapsed=2.792176e+02 cycle=900 time=4.533332e+00 dt=4.653606e-03
elapsed=2.829240e+02 cycle=910 time=4.579858e+00 dt=4.651348e-03
elapsed=2.854359e+02 cycle=920 time=4.626363e+00 dt=4.649439e-03
elapsed=2.879644e+02 cycle=930 time=4.672849e+00 dt=4.647814e-03
elapsed=2.905078e+02 cycle=940 time=4.719321e+00 dt=4.646412e-03
elapsed=2.930831e+02 cycle=950 time=4.765779e+00 dt=4.644867e-03
elapsed=2.968425e+02 cycle=960 time=4.812217e+00 dt=4.642474e-03
elapsed=2.994139e+02 cycle=970 time=4.858632e+00 dt=4.640237e-03
AMR_CHANGE cycle=978 time=4.895748e+00 created=56 deleted=0 blocks=848
elapsed=3.020358e+02 cycle=980 time=4.905025e+00 dt=4.638144e-03
elapsed=3.047072e+02 cycle=990 time=4.951397e+00 dt=4.636184e-03
elapsed=3.073790e+02 cycle=1000 time=4.997751e+00 dt=4.634350e-03
elapsed=3.107949e+02 cycle=1010 time=5.044086e+00 dt=4.632635e-03
elapsed=3.146903e+02 cycle=1020 time=5.090405e+00 dt=4.631037e-03
elapsed=3.174234e+02 cycle=1030 time=5.136709e+00 dt=4.629554e-03
elapsed=3.201617e+02 cycle=1040 time=5.182998e+00 dt=4.628187e-03
elapsed=3.228795e+02 cycle=1050 time=5.229274e+00 dt=4.626937e-03
elapsed=3.255574e+02 cycle=1060 time=5.275539e+00 dt=4.625810e-03
elapsed=3.294096e+02 cycle=1070 time=5.321792e+00 dt=4.624809e-03
elapsed=3.320785e+02 cycle=1080 time=5.368036e+00 dt=4.623940e-03
elapsed=3.347628e+02 cycle=1090 time=5.414272e+00 dt=4.623209e-03
elapsed=3.374972e+02 cycle=1100 time=5.460501e+00 dt=4.622621e-03
elapsed=3.402965e+02 cycle=1110 time=5.506726e+00 dt=4.622181e-03
elapsed=3.430401e+02 cycle=1120 time=5.552946e+00 dt=4.621891e-03
elapsed=3.469398e+02 cycle=1130 time=5.599164e+00 dt=4.621755e-03
elapsed=3.496101e+02 cycle=1140 time=5.645382e+00 dt=4.621773e-03
elapsed=3.522812e+02 cycle=1150 time=5.691595e+00 dt=4.620784e-03
elapsed=3.549512e+02 cycle=1160 time=5.737799e+00 dt=4.619793e-03
elapsed=3.576693e+02 cycle=1170 time=5.783992e+00 dt=4.618904e-03
elapsed=3.615850e+02 cycle=1180 time=5.830178e+00 dt=4.618128e-03
elapsed=3.643097e+02 cycle=1190 time=5.876356e+00 dt=4.617473e-03
elapsed=3.670379e+02 cycle=1200 time=5.922528e+00 dt=4.616941e-03
elapsed=3.697310e+02 cycle=1210 time=5.968696e+00 dt=4.616530e-03
elapsed=3.727106e+02 cycle=1220 time=6.014860e+00 dt=4.616232e-03
elapsed=3.753817e+02 cycle=1230 time=6.061021e+00 dt=4.616043e-03
elapsed=3.792525e+02 cycle=1240 time=6.107181e+00 dt=4.615957e-03
elapsed=3.819612e+02 cycle=1250 time=6.153340e+00 dt=4.615972e-03
elapsed=3.847106e+02 cycle=1260 time=6.199501e+00 dt=4.616085e-03
elapsed=3.874377e+02 cycle=1270 time=6.245662e+00 dt=4.616297e-03
elapsed=3.901729e+02 cycle=1280 time=6.291827e+00 dt=4.616605e-03
elapsed=3.940431e+02 cycle=1290 time=6.337994e+00 dt=4.617003e-03
elapsed=3.967106e+02 cycle=1300 time=6.384167e+00 dt=4.617483e-03
elapsed=3.993841e+02 cycle=1310 time=6.430344e+00 dt=4.618034e-03
elapsed=4.020907e+02 cycle=1320 time=6.476527e+00 dt=4.618645e-03
elapsed=4.048385e+02 cycle=1330 time=6.522716e+00 dt=4.619302e-03
elapsed=4.075694e+02 cycle=1340 time=6.568912e+00 dt=4.619998e-03
elapsed=4.114887e+02 cycle=1350 time=6.615116e+00 dt=4.620726e-03
elapsed=4.141964e+02 cycle=1360 time=6.661326e+00 dt=4.621480e-03
elapsed=4.168789e+02 cycle=1370 time=6.707544e+00 dt=4.622255e-03
elapsed=4.195448e+02 cycle=1380 time=6.753771e+00 dt=4.623045e-03
elapsed=4.222132e+02 cycle=1390 time=6.800005e+00 dt=4.623844e-03
elapsed=4.261084e+02 cycle=1400 time=6.846247e+00 dt=4.624643e-03
elapsed=4.288301e+02 cycle=1410 time=6.892497e+00 dt=4.625435e-03
elapsed=4.315647e+02 cycle=1420 time=6.938755e+00 dt=4.626213e-03
elapsed=4.342990e+02 cycle=1430 time=6.985020e+00 dt=4.626973e-03
elapsed=4.370063e+02 cycle=1440 time=7.031293e+00 dt=4.627711e-03
elapsed=4.396798e+02 cycle=1450 time=7.077573e+00 dt=4.628425e-03
elapsed=4.435392e+02 cycle=1460 time=7.123861e+00 dt=4.629113e-03
elapsed=4.462009e+02 cycle=1470 time=7.170155e+00 dt=4.629773e-03
elapsed=4.489103e+02 cycle=1480 time=7.216456e+00 dt=4.630404e-03
elapsed=4.516284e+02 cycle=1490 time=7.262762e+00 dt=4.631004e-03
elapsed=4.543698e+02 cycle=1500 time=7.309075e+00 dt=4.631571e-03
elapsed=4.582802e+02 cycle=1510 time=7.355392e+00 dt=4.631333e-03
