case,axis,offset,h,var,state,rhs
0,0,-1,0.125,0,0.24687500000000001,-0.0025918664052327809
0,0,-1,0.125,1,1,0.018138783203125002
0,0,-1,0.125,2,0,-0.020146523437500001
0,0,-1,0.125,3,0,0.0013491308593749985
0,0,-1,0.125,4,1,0.012657794921875002
0,0,-1,0.125,5,0,0.0014034492187500001
0,0,-1,0.125,6,1,-0.030796578125000005
0,0,-1,0.125,7,0.010750000000000001,0.0074229224868743483
0,0,-1,0.125,8,-0.0052500000000000003,-0.0036227679625879228
0,0,-1,0.125,9,0.014999999999999999,0.001684924805384972
0,0,-1,0.125,10,-0.0037499999999999999,0.00089988250579362515
0,0,-1,0.125,11,0.01925,0.0026150668639722831
0,0,-1,0.125,12,0.00050000000000000001,-0.002087650312129426
0,0,-1,0.125,13,-0.013999999999999999,0.00097417639744376539
0,0,-1,0.125,14,0.002,-0.027448086373046889
0,0,-1,0.125,15,-0.014,0.030461295565592451
0,0,-1,0.125,16,0.0062500000000000003,-0.0060144965187988314
0,0,-1,0.125,17,-0.012500000000000001,0.005661747519263672
0,0,-1,0.125,18,1.4037499999999998,-0.021186936528727388
0,0,-1,0.125,19,0.091749999999999998,-0.21679850000000003
0,0,-1,0.125,20,0.21200000000000002,-0.44521650000000002
0,0,-1,0.125,21,0.29325000000000007,-0.59504850000000009
0,0,-1,0.125,22,0.016250000000000001,0.01049653472615562
0,0,-1,0.125,23,-0.0025000000000000001,-0.036534482243652376
0,0,-1,0.125,24,0.017750000000000002,-0.0055810716958822632
0,0,-1,0.125,25,-0.001,0.0035373737988281212
0,0,-1,0.125,26,-0.017000000000000001,0.019660187499999999
0,0,-1,0.125,27,0.0032500000000000003,-0.021312734375000017
0,0,-1,0.125,28,-0.0155,0.021740405048828119
0,0,-1,0.125,29,0.0047499999999999999,0.01077559375
0,0,-1,0.125,30,0.016500000000000001,-0.02529317307617187
0,0,-1,0.125,31,0.0090000000000000011,-0.013246408707682273
0,0,-1,0.125,32,-0.00975,0.0070282968750000011
0,0,-1,0.125,33,0.01325,-0.001307890624999997
0,0,-1,0.125,34,-0.0054999999999999997,0.0043773100423176977
0,0,-1,0.125,35,0.014750000000000001,-0.012574671874999999
0,0,-1,0.125,36,-0.0035000000000000014,0.0095405287923177005
0,0,-1,0.125,37,0.019,-0.021399661629394537
0,0,-1,0.125,38,0.00025000000000000001,0.0035989531249999993
0,0,-1,0.125,39,-0.018499999999999999,-0.0030904687500000159
0,0,-1,0.125,40,0.00175,-0.0054571772543945372
0,0,-1,0.125,41,-0.014250000000000001,0.022732171875000002
0,0,-1,0.125,42,-0.020750000000000001,0.027762666495605479
0,0,-1,0.125,43,-0.012750000000000001,0.054631031249999934
0,0,-1,0.125,44,0.01025,-0.10788290625000028
0,0,-1,0.125,45,-0.0085000000000000006,0.044173187499999614
0,0,-1,0.125,46,0.01175,-0.033490687500000005
0,0,-1,0.125,47,-0.0070000000000000001,0.01133206249999999
0,0,-1,0.125,48,0.016,-0.044338000000000009
0,0,-1,0.125,49,-0.0027499999999999998,-0.0019211875000000123
0,0,-1,0.125,50,0.017500000000000002,-0.033300499999999997
0,0,-1,0.125,51,-0.00125,-0.0084343750000000078
0,0,-1,0.125,52,-0.017250000000000001,0.048208187499999999
0,0,-1,0.125,53,0.0030000000000000001,-0.023277937500000002
0,0,-1,0.125,54,-0.01575,0.052678062500000018
0,0,0,0.125,0,0.25,-0.0026950000000000125
