block,level,x,y,z,r,h,w,rho,alpha,K,product_derivative_defect,half_ell_factorized,half_ell_direct,energy_rate_margin,frozen_spectral_abscissa
0,1,-7.75,-7.75,-7.75,13.423393758658799,0.5,0.9300998644972285,0.9993758289882776,0.9295193231238024,3.9848988586872264e-05,9.393654340336778e-08,0.00035443715735990845,0.00035453109390331183,15.999814520693096,-15.99989764738013
0,1,-4.25,-4.25,-7.25,9.41740410091868,0.5,0.902011161297741,0.9989127597942568,0.9010304584971489,-1.49933453483657e-05,2.0347250427415017e-06,7.615706522527181e-06,9.395598265566086e-06,15.998831157354806,-15.999736316124254
0,1,-4.25,-7.25,-5.25,9.908960591303208,0.5,0.9065170974309401,0.9988592400980629,0.9054829790757705,-9.560922673745185e-06,1.5027732495505162e-06,6.844384901838006e-06,8.031646994412713e-06,15.999062177760486,-15.99970693501724
1,1,-0.25,-4.75,-4.75,6.722164829874376,0.5,0.8661666012401966,1.0013012024131207,0.867293659311895,-0.0005674637314573608,4.106913552235866e-06,2.6580992589715726e-08,4.133477292511263e-06,15.996880032684206,-15.998618172265564
2,1,-6.75,-0.25,-7.75,10.280442597476044,0.5,0.9099672823689288,0.9991703341906405,0.9092123136271115,-1.3637614316576168e-05,8.958526038725823e-07,0.0003726038544816104,0.0003730238510594679,15.999318323047001,-15.99981718687555
2,1,-4.75,-3.75,-4.75,7.693341276714559,0.5,0.8816429893459318,0.9998961998711553,0.8815514746900427,-5.633386317091799e-05,2.824448417970311e-06,1.9284711272293535e-08,2.843563314507977e-06,15.998290728467383,-15.999770424962055
3,1,-0.25,-0.25,-4.75,4.763139720814412,0.5,0.8182835468101584,1.0099454206667429,0.8264217209078598,-0.003040319650553465,1.8224763306604342e-05,1.3539737033780922e-05,4.685052220683559e-06,15.986766511240067,-15.993238556865943
4,1,-4.25,-7.75,-0.25,8.842369591913696,0.5,0.8963721665222637,0.9993472224623128,0.89578703490655,-8.876020620456321e-05,1.4467486320315298e-06,0.0005637937506813043,0.0005623510772590932,15.998675747875426,-15.999766166810312
6,1,-5.75,-0.75,-2.75,6.417748826496718,0.5,0.8603644529287191,1.0025282565972322,0.8625396750328602,-0.000925314184844377,7.168514360148292e-06,1.4858166980858283e-07,7.024330057594897e-06,15.995915409877767,-15.99790553437679
7,2,-3.625,-3.625,-2.125,5.549493220105778,0.25,0.8410187425665399,1.0057698619049207,0.8458713045705988,-0.0011373315538220335,1.0085487122287186e-05,1.360225458547063e-05,2.3687718445700923e-05,15.99402170948672,-15.997265543027128
8,2,-0.125,-2.375,-2.375,3.361082414937188,0.25,0.7567623597451328,1.032499988750258,0.7813571279234683,-0.009068229311643597,2.056213623880181e-05,5.442594388157791e-07,2.0018044071012245e-05,15.962786153856444,-15.978997741524495
9,2,-2.375,-1.125,-2.625,3.7144144895259066,0.25,0.775673831448617,1.024996613802185,0.7950630506497993,-0.00718567897583121,1.860471023705493e-05,6.859139108847421e-07,1.7921392862708345e-05,15.97234463878926,-15.983699111629418
10,2,-0.125,-0.125,-2.375,2.381569860407206,0.25,0.6841010426583416,1.0654171029317148,0.7288529509816157,-0.013654847481200032,4.1488206378512675e-05,1.349903937041935e-05,2.7989322291892693e-05,15.910948817179095,-15.964444482573633
11,2,-3.375,-2.625,-0.375,4.292071178347349,0.25,0.8011745097335315,1.0164607783014392,0.8143624657190195,-0.004775700240425517,2.4696393690500287e-05,3.936831402141499e-06,2.828983880411747e-05,15.981794095894875,-15.989404065586552
13,2,-2.625,-0.625,-1.375,3.0285103598964294,0.25,0.736019049525112,1.040880080315709,0.7661075673835903,-0.010400229284920466,3.150567528742253e-05,3.507906990976565e-06,2.8001946740607492e-05,15.951575399237099,-15.975085026896132
14,3,-1.0625,-1.9375,-1.0625,2.451880655741629,0.125,0.6906660635262382,1.062221357033308,0.7336402432556935,-0.01342558941234747,2.9630339853672564e-05,5.488670782532207e-05,8.431776399404889e-05,15.92861103831599,-15.965611017761798
15,3,-0.0625,-1.0625,-1.3125,1.6898132293244719,0.125,0.6005983619359097,1.1099427857528006,0.6666298189657124,-0.014406819447304294,1.5053959418105757e-05,9.777303347786925e-07,1.4093157309778478e-05,15.868771275280677,-15.914913734580505
16,3,-1.0625,-0.8125,-1.3125,1.8739580438206187,0.125,0.6268847886019548,1.095154913238246,0.6865359562717501,-0.014655959243812914,1.3014249056646948e-05,9.82245982970901e-07,1.2051661080149337e-05,15.894437205267984,-15.932616849799201
17,3,-0.0625,-0.0625,-1.1875,1.190784930203603,0.125,0.5058211619727643,1.1720485219395738,0.5928469452559361,-0.009998586425829358,7.92575036932355e-06,2.156059802940946e-06,1.0067806347209573e-05,15.766806998757529,-15.840298620313082
18,3,-1.6875,-1.4375,-0.1875,2.2246839663197107,0.125,0.6683556072409464,1.0734378777098201,0.7174382245921797,-0.014394275046275848,2.8552060128963807e-05,5.486566118795839e-06,3.3364605890662235e-05,15.91337473067986,-15.956768745218033
19,3,-0.0625,-1.5625,-0.0625,1.5649980031936144,0.125,0.5805291844727912,1.121785728406542,0.6512293540650659,-0.013879369088435735,3.277752454089085e-05,6.278817501824177e-07,3.215458888964921e-05,15.827901994812661,-15.900331627912948
20,3,-1.1875,-0.1875,-0.8125,1.4510233457804875,0.125,0.5603091248413996,1.134389269502373,0.6356086588243492,-0.013196312148751265,1.3531492769776875e-05,4.377778408085471e-06,9.229724336170758e-06,15.840235155700881,-15.884910986239017
20,3,-1.5625,-0.0625,-0.0625,1.5649980031936144,0.125,0.5805291844727917,1.1217857284065476,0.6512293540650697,-0.01387936908845336,3.277752454055777e-05,6.278817522563291e-07,3.215458888709407e-05,15.82790199481264,-15.900331627912957
