
Root grid = 2 x 2 x 2 MeshBlocks
Total number of MeshBlocks = 456
Number of logical  levels of refinement = 9 (10 levels total)
Number of physical levels of refinement = 8 (9 levels total)
  Physical level = 1 (logical level = 2): 56 MeshBlocks, cost = 56
  Physical level = 2 (logical level = 3): 56 MeshBlocks, cost = 56
  Physical level = 3 (logical level = 4): 56 MeshBlocks, cost = 56
  Physical level = 4 (logical level = 5): 56 MeshBlocks, cost = 56
  Physical level = 5 (logical level = 6): 56 MeshBlocks, cost = 56
  Physical level = 6 (logical level = 7): 56 MeshBlocks, cost = 56
  Physical level = 7 (logical level = 8): 56 MeshBlocks, cost = 56
  Physical level = 8 (logical level = 9): 64 MeshBlocks, cost = 64
Number of parallel ranks = 1
Research qualification execution backend: Cuda

Setup complete, executing task list(s)...

elapsed=7.148984e-01 cycle=6814 time=4.563889e+00 dt=6.541628e-04
elapsed=1.261926e+00 cycle=6815 time=4.564543e+00 dt=6.541508e-04
elapsed=1.793518e+00 cycle=6816 time=4.565197e+00 dt=6.541388e-04
elapsed=2.313181e+00 cycle=6817 time=4.565852e+00 dt=6.541268e-04
elapsed=2.831219e+00 cycle=6818 time=4.566506e+00 dt=6.541147e-04
elapsed=3.349012e+00 cycle=6819 time=4.567160e+00 dt=6.541027e-04
elapsed=3.871320e+00 cycle=6820 time=4.567814e+00 dt=6.540907e-04
elapsed=4.393635e+00 cycle=6821 time=4.568468e+00 dt=6.540786e-04
elapsed=4.920267e+00 cycle=6822 time=4.569122e+00 dt=6.540666e-04
elapsed=5.449554e+00 cycle=6823 time=4.569776e+00 dt=6.540545e-04
elapsed=5.977216e+00 cycle=6824 time=4.570430e+00 dt=6.540424e-04
elapsed=6.495155e+00 cycle=6825 time=4.571084e+00 dt=6.540304e-04
elapsed=7.012755e+00 cycle=6826 time=4.571738e+00 dt=6.540183e-04
elapsed=7.530151e+00 cycle=6827 time=4.572392e+00 dt=6.540062e-04
elapsed=8.056845e+00 cycle=6828 time=4.573046e+00 dt=6.539941e-04
elapsed=8.593413e+00 cycle=6829 time=4.573700e+00 dt=6.539820e-04
elapsed=9.129064e+00 cycle=6830 time=4.574354e+00 dt=6.539699e-04
elapsed=9.653744e+00 cycle=6831 time=4.575008e+00 dt=6.539578e-04
elapsed=1.017747e+01 cycle=6832 time=4.575662e+00 dt=6.539456e-04
elapsed=1.069543e+01 cycle=6833 time=4.576316e+00 dt=6.539335e-04
elapsed=1.121244e+01 cycle=6834 time=4.576970e+00 dt=6.539214e-04
elapsed=1.172989e+01 cycle=6835 time=4.577624e+00 dt=6.539092e-04
elapsed=1.225688e+01 cycle=6836 time=4.578278e+00 dt=6.538970e-04
elapsed=1.279261e+01 cycle=6837 time=4.578932e+00 dt=6.538849e-04
elapsed=1.332530e+01 cycle=6838 time=4.579586e+00 dt=6.538727e-04
elapsed=1.385182e+01 cycle=6839 time=4.580240e+00 dt=6.538605e-04
elapsed=1.437440e+01 cycle=6840 time=4.580893e+00 dt=6.538483e-04
elapsed=1.489162e+01 cycle=6841 time=4.581547e+00 dt=6.538361e-04
elapsed=1.541161e+01 cycle=6842 time=4.582201e+00 dt=6.538239e-04
elapsed=1.592803e+01 cycle=6843 time=4.582855e+00 dt=6.538117e-04
elapsed=1.645138e+01 cycle=6844 time=4.583509e+00 dt=6.537995e-04
elapsed=1.697394e+01 cycle=6845 time=4.584163e+00 dt=6.537873e-04
elapsed=1.749860e+01 cycle=6846 time=4.584816e+00 dt=6.537750e-04
elapsed=1.802498e+01 cycle=6847 time=4.585470e+00 dt=6.537628e-04
elapsed=1.854584e+01 cycle=6848 time=4.586124e+00 dt=6.537506e-04
elapsed=1.906320e+01 cycle=6849 time=4.586778e+00 dt=6.537383e-04
elapsed=1.958017e+01 cycle=6850 time=4.587431e+00 dt=6.537260e-04
elapsed=2.009670e+01 cycle=6851 time=4.588085e+00 dt=6.537138e-04
elapsed=2.063301e+01 cycle=6852 time=4.588739e+00 dt=6.537015e-04
elapsed=2.115704e+01 cycle=6853 time=4.589393e+00 dt=6.536892e-04
elapsed=2.168045e+01 cycle=6854 time=4.590046e+00 dt=6.536769e-04
elapsed=2.220598e+01 cycle=6855 time=4.590700e+00 dt=6.536646e-04
elapsed=2.272731e+01 cycle=6856 time=4.591354e+00 dt=6.536523e-04
elapsed=2.324515e+01 cycle=6857 time=4.592007e+00 dt=6.536400e-04
elapsed=2.376194e+01 cycle=6858 time=4.592661e+00 dt=6.536276e-04
elapsed=2.428604e+01 cycle=6859 time=4.593315e+00 dt=6.536153e-04
elapsed=2.481327e+01 cycle=6860 time=4.593968e+00 dt=6.536030e-04
elapsed=2.533554e+01 cycle=6861 time=4.594622e+00 dt=6.535906e-04
elapsed=2.586738e+01 cycle=6862 time=4.595275e+00 dt=6.535782e-04
elapsed=2.639727e+01 cycle=6863 time=4.595929e+00 dt=6.535659e-04
elapsed=2.691486e+01 cycle=6864 time=4.596582e+00 dt=6.535535e-04
elapsed=2.743255e+01 cycle=6865 time=4.597236e+00 dt=6.535411e-04
