
Root grid = 2 x 2 x 2 MeshBlocks
Total number of MeshBlocks = 456
Number of logical  levels of refinement = 9 (10 levels total)
Number of physical levels of refinement = 8 (9 levels total)
  Physical level = 1 (logical level = 2): 56 MeshBlocks, cost = 56
  Physical level = 2 (logical level = 3): 56 MeshBlocks, cost = 56
  Physical level = 3 (logical level = 4): 56 MeshBlocks, cost = 56
  Physical level = 4 (logical level = 5): 56 MeshBlocks, cost = 56
  Physical level = 5 (logical level = 6): 56 MeshBlocks, cost = 56
  Physical level = 6 (logical level = 7): 56 MeshBlocks, cost = 56
  Physical level = 7 (logical level = 8): 56 MeshBlocks, cost = 56
  Physical level = 8 (logical level = 9): 64 MeshBlocks, cost = 64
Number of parallel ranks = 1
Research qualification execution backend: Cuda

Setup complete, executing task list(s)...

elapsed=6.608348e-01 cycle=4670 time=3.143568e+00 dt=6.677767e-04
elapsed=1.204192e+00 cycle=4671 time=3.144235e+00 dt=6.677733e-04
elapsed=1.743096e+00 cycle=4672 time=3.144903e+00 dt=6.677699e-04
elapsed=2.292545e+00 cycle=4673 time=3.145571e+00 dt=6.677666e-04
elapsed=2.845249e+00 cycle=4674 time=3.146239e+00 dt=6.677632e-04
elapsed=3.384814e+00 cycle=4675 time=3.146906e+00 dt=6.677598e-04
elapsed=3.909725e+00 cycle=4676 time=3.147574e+00 dt=6.677565e-04
elapsed=4.429081e+00 cycle=4677 time=3.148242e+00 dt=6.677531e-04
elapsed=4.948384e+00 cycle=4678 time=3.148910e+00 dt=6.677497e-04
elapsed=5.504567e+00 cycle=4679 time=3.149577e+00 dt=6.677464e-04
elapsed=6.062313e+00 cycle=4680 time=3.150245e+00 dt=6.677430e-04
elapsed=6.629984e+00 cycle=4681 time=3.150913e+00 dt=6.677396e-04
elapsed=7.180489e+00 cycle=4682 time=3.151581e+00 dt=6.677363e-04
elapsed=7.705016e+00 cycle=4683 time=3.152248e+00 dt=6.677329e-04
elapsed=8.224556e+00 cycle=4684 time=3.152916e+00 dt=6.677295e-04
elapsed=8.742558e+00 cycle=4685 time=3.153584e+00 dt=6.677262e-04
elapsed=9.269596e+00 cycle=4686 time=3.154252e+00 dt=6.677228e-04
elapsed=9.826995e+00 cycle=4687 time=3.154919e+00 dt=6.677194e-04
elapsed=1.036629e+01 cycle=4688 time=3.155587e+00 dt=6.677160e-04
elapsed=1.090288e+01 cycle=4689 time=3.156255e+00 dt=6.677126e-04
elapsed=1.144084e+01 cycle=4690 time=3.156922e+00 dt=6.677093e-04
elapsed=1.195757e+01 cycle=4691 time=3.157590e+00 dt=6.677059e-04
elapsed=1.247362e+01 cycle=4692 time=3.158258e+00 dt=6.677025e-04
elapsed=1.299443e+01 cycle=4693 time=3.158926e+00 dt=6.676991e-04
elapsed=1.352815e+01 cycle=4694 time=3.159593e+00 dt=6.676957e-04
elapsed=1.406224e+01 cycle=4695 time=3.160261e+00 dt=6.676924e-04
elapsed=1.461141e+01 cycle=4696 time=3.160929e+00 dt=6.676890e-04
elapsed=1.516235e+01 cycle=4697 time=3.161596e+00 dt=6.676856e-04
elapsed=1.568540e+01 cycle=4698 time=3.162264e+00 dt=6.676822e-04
elapsed=1.620665e+01 cycle=4699 time=3.162932e+00 dt=6.676788e-04
elapsed=1.672121e+01 cycle=4700 time=3.163599e+00 dt=6.676754e-04
elapsed=1.724862e+01 cycle=4701 time=3.164267e+00 dt=6.676720e-04
elapsed=1.778480e+01 cycle=4702 time=3.164935e+00 dt=6.676687e-04
elapsed=1.831546e+01 cycle=4703 time=3.165602e+00 dt=6.676653e-04
elapsed=1.884845e+01 cycle=4704 time=3.166270e+00 dt=6.676619e-04
elapsed=1.938646e+01 cycle=4705 time=3.166938e+00 dt=6.676585e-04
elapsed=1.991437e+01 cycle=4706 time=3.167605e+00 dt=6.676550e-04
elapsed=2.043284e+01 cycle=4707 time=3.168273e+00 dt=6.676516e-04
elapsed=2.094869e+01 cycle=4708 time=3.168941e+00 dt=6.676481e-04
elapsed=2.167265e+01 cycle=4709 time=3.169608e+00 dt=6.676446e-04
elapsed=2.220707e+01 cycle=4710 time=3.170276e+00 dt=6.676412e-04
elapsed=2.274729e+01 cycle=4711 time=3.170944e+00 dt=6.676377e-04
elapsed=2.328974e+01 cycle=4712 time=3.171611e+00 dt=6.676342e-04
elapsed=2.380809e+01 cycle=4713 time=3.172279e+00 dt=6.676308e-04
elapsed=2.432385e+01 cycle=4714 time=3.172947e+00 dt=6.676273e-04
elapsed=2.484007e+01 cycle=4715 time=3.173614e+00 dt=6.676238e-04
elapsed=2.536992e+01 cycle=4716 time=3.174282e+00 dt=6.676204e-04
elapsed=2.590470e+01 cycle=4717 time=3.174949e+00 dt=6.676169e-04
elapsed=2.644041e+01 cycle=4718 time=3.175617e+00 dt=6.676134e-04
elapsed=2.698195e+01 cycle=4719 time=3.176285e+00 dt=6.676099e-04
elapsed=2.751345e+01 cycle=4720 time=3.176952e+00 dt=6.676065e-04
elapsed=2.803664e+01 cycle=4721 time=3.177620e+00 dt=6.676030e-04
elapsed=2.855159e+01 cycle=4722 time=3.178287e+00 dt=6.675995e-04
elapsed=2.906764e+01 cycle=4723 time=3.178955e+00 dt=6.675960e-04
elapsed=2.960794e+01 cycle=4724 time=3.179623e+00 dt=6.675925e-04
elapsed=3.014542e+01 cycle=4725 time=3.180290e+00 dt=6.675891e-04
elapsed=3.068952e+01 cycle=4726 time=3.180958e+00 dt=6.675856e-04
elapsed=3.124399e+01 cycle=4727 time=3.181625e+00 dt=6.675821e-04
elapsed=3.176512e+01 cycle=4728 time=3.182293e+00 dt=6.675786e-04
elapsed=3.230199e+01 cycle=4729 time=3.182961e+00 dt=6.675751e-04
elapsed=3.281951e+01 cycle=4730 time=3.183628e+00 dt=6.675716e-04
elapsed=3.335370e+01 cycle=4731 time=3.184296e+00 dt=6.675681e-04
elapsed=3.388550e+01 cycle=4732 time=3.184963e+00 dt=6.675647e-04
elapsed=3.442127e+01 cycle=4733 time=3.185631e+00 dt=6.675612e-04
elapsed=3.495877e+01 cycle=4734 time=3.186298e+00 dt=6.675577e-04
elapsed=3.549894e+01 cycle=4735 time=3.186966e+00 dt=6.675542e-04
elapsed=3.601777e+01 cycle=4736 time=3.187634e+00 dt=6.675507e-04
elapsed=3.653906e+01 cycle=4737 time=3.188301e+00 dt=6.675472e-04
elapsed=3.705759e+01 cycle=4738 time=3.188969e+00 dt=6.675437e-04
elapsed=3.759813e+01 cycle=4739 time=3.189636e+00 dt=6.675402e-04
elapsed=3.813673e+01 cycle=4740 time=3.190304e+00 dt=6.675367e-04
elapsed=3.867547e+01 cycle=4741 time=3.190971e+00 dt=6.675332e-04
elapsed=3.921707e+01 cycle=4742 time=3.191639e+00 dt=6.675297e-04
elapsed=3.974587e+01 cycle=4743 time=3.192306e+00 dt=6.675262e-04
elapsed=4.026877e+01 cycle=4744 time=3.192974e+00 dt=6.675227e-04
