
Root grid = 2 x 2 x 2 MeshBlocks
Total number of MeshBlocks = 456
Number of logical  levels of refinement = 9 (10 levels total)
Number of physical levels of refinement = 8 (9 levels total)
  Physical level = 1 (logical level = 2): 56 MeshBlocks, cost = 56
  Physical level = 2 (logical level = 3): 56 MeshBlocks, cost = 56
  Physical level = 3 (logical level = 4): 56 MeshBlocks, cost = 56
  Physical level = 4 (logical level = 5): 56 MeshBlocks, cost = 56
  Physical level = 5 (logical level = 6): 56 MeshBlocks, cost = 56
  Physical level = 6 (logical level = 7): 56 MeshBlocks, cost = 56
  Physical level = 7 (logical level = 8): 56 MeshBlocks, cost = 56
  Physical level = 8 (logical level = 9): 64 MeshBlocks, cost = 64
Number of parallel ranks = 1
Research qualification execution backend: Cuda

Setup complete, executing task list(s)...

elapsed=6.698735e-01 cycle=8053 time=5.367967e+00 dt=6.131133e-04
elapsed=1.320538e+00 cycle=8054 time=5.368580e+00 dt=6.128217e-04
elapsed=1.950718e+00 cycle=8055 time=5.369193e+00 dt=6.125659e-04
elapsed=2.628905e+00 cycle=8056 time=5.369806e+00 dt=6.123089e-04
elapsed=3.306235e+00 cycle=8057 time=5.370418e+00 dt=6.120499e-04
elapsed=3.984752e+00 cycle=8058 time=5.371030e+00 dt=6.117882e-04
elapsed=4.651985e+00 cycle=8059 time=5.371642e+00 dt=6.115234e-04
elapsed=5.300162e+00 cycle=8060 time=5.372253e+00 dt=6.112548e-04
elapsed=5.945997e+00 cycle=8061 time=5.372865e+00 dt=6.109820e-04
elapsed=6.610005e+00 cycle=8062 time=5.373476e+00 dt=6.107047e-04
elapsed=7.280390e+00 cycle=8063 time=5.374086e+00 dt=6.104228e-04
elapsed=7.953450e+00 cycle=8064 time=5.374697e+00 dt=6.101361e-04
elapsed=8.611771e+00 cycle=8065 time=5.375307e+00 dt=6.098448e-04
elapsed=9.276552e+00 cycle=8066 time=5.375917e+00 dt=6.095492e-04
elapsed=9.922677e+00 cycle=8067 time=5.376526e+00 dt=6.092494e-04
elapsed=1.058747e+01 cycle=8068 time=5.377135e+00 dt=6.089458e-04
elapsed=1.126172e+01 cycle=8069 time=5.377744e+00 dt=6.086387e-04
elapsed=1.195055e+01 cycle=8070 time=5.378353e+00 dt=6.083284e-04
elapsed=1.262370e+01 cycle=8071 time=5.378961e+00 dt=6.080152e-04
elapsed=1.327575e+01 cycle=8072 time=5.379569e+00 dt=6.076991e-04
elapsed=1.392316e+01 cycle=8073 time=5.380177e+00 dt=6.073803e-04
elapsed=1.459139e+01 cycle=8074 time=5.380784e+00 dt=6.070587e-04
elapsed=1.529163e+01 cycle=8075 time=5.381392e+00 dt=6.067343e-04
elapsed=1.597071e+01 cycle=8076 time=5.381998e+00 dt=6.064067e-04
elapsed=1.664648e+01 cycle=8077 time=5.382605e+00 dt=6.060759e-04
elapsed=1.739924e+01 cycle=8078 time=5.383211e+00 dt=6.057416e-04
elapsed=1.805648e+01 cycle=8079 time=5.383816e+00 dt=6.054034e-04
elapsed=2.039564e+01 cycle=8080 time=5.384422e+00 dt=6.050612e-04
elapsed=2.107537e+01 cycle=8081 time=5.385027e+00 dt=6.047146e-04
elapsed=2.177356e+01 cycle=8082 time=5.385632e+00 dt=6.043635e-04
elapsed=2.258125e+01 cycle=8083 time=5.386236e+00 dt=6.040077e-04
elapsed=2.325257e+01 cycle=8084 time=5.386840e+00 dt=6.036471e-04
elapsed=2.390530e+01 cycle=8085 time=5.387444e+00 dt=6.032817e-04
elapsed=2.455892e+01 cycle=8086 time=5.388047e+00 dt=6.029113e-04
elapsed=2.522757e+01 cycle=8087 time=5.388650e+00 dt=6.025361e-04
elapsed=2.591283e+01 cycle=8088 time=5.389252e+00 dt=6.021560e-04
elapsed=2.661609e+01 cycle=8089 time=5.389855e+00 dt=6.017711e-04
elapsed=2.728510e+01 cycle=8090 time=5.390456e+00 dt=6.013815e-04
elapsed=2.794754e+01 cycle=8091 time=5.391058e+00 dt=6.009871e-04
elapsed=2.860128e+01 cycle=8092 time=5.391659e+00 dt=6.005881e-04
elapsed=2.927509e+01 cycle=8093 time=5.392259e+00 dt=6.001843e-04
elapsed=2.995565e+01 cycle=8094 time=5.392859e+00 dt=5.997758e-04
elapsed=3.064503e+01 cycle=8095 time=5.393459e+00 dt=5.993625e-04
elapsed=3.130617e+01 cycle=8096 time=5.394059e+00 dt=5.989444e-04
elapsed=3.195535e+01 cycle=8097 time=5.394658e+00 dt=5.985211e-04
elapsed=3.260582e+01 cycle=8098 time=5.395256e+00 dt=5.980928e-04
elapsed=3.327839e+01 cycle=8099 time=5.395854e+00 dt=5.976590e-04
elapsed=3.395770e+01 cycle=8100 time=5.396452e+00 dt=5.972198e-04
elapsed=3.463525e+01 cycle=8101 time=5.397049e+00 dt=5.967749e-04
elapsed=3.529840e+01 cycle=8102 time=5.397646e+00 dt=5.963240e-04
elapsed=3.595208e+01 cycle=8103 time=5.398242e+00 dt=5.958671e-04
elapsed=3.660221e+01 cycle=8104 time=5.398838e+00 dt=5.954040e-04
elapsed=3.727261e+01 cycle=8105 time=5.399433e+00 dt=5.949344e-04
elapsed=3.795023e+01 cycle=8106 time=5.400028e+00 dt=5.944583e-04
