cycle,time,stage,region,component,volume,cells,L1_integral,L2_integral,RMS,maximum,signed_at_max,gid,logical_level,k,j,i,x,y,z
1,0.0001,3,full,H,2.2099999999999955,512,0.88376399185675103,0.71923809458208143,0.48381189863111324,1.2596067320510009,-1.2596067320510009,3,1,3,3,3,0.9375,1.21875,0.74375000000000002
1,0.0001,3,full,Mx,2.2099999999999955,512,0.017501583807437486,0.013872158070022667,0.0093314233277206494,0.018385077726143159,-0.018385077726143159,2,1,2,0,2,0.3125,0.73125000000000007,0.53125
1,0.0001,3,full,My,2.2099999999999955,512,0.011964944088800084,0.0099965292414306902,0.0067243932550990274,0.017585341159097673,-0.017585341159097673,6,1,3,3,3,0.4375,1.21875,1.59375
1,0.0001,3,full,Mz,2.2099999999999955,512,0.017605562703927512,0.01365793615895748,0.0091873220762692023,0.017488199649897309,0.017488199649897309,4,1,3,3,3,0.4375,0.56874999999999998,1.59375
1,0.0001,3,full,alpha_Mx,2.2099999999999955,512,0.017501588963058264,0.013872171372780975,0.0093314322761242491,0.018399039328583437,-0.018399039328583437,2,1,2,0,2,0.3125,0.73125000000000007,0.53125
1,0.0001,3,full,alpha_My,2.2099999999999955,512,0.011964930799908404,0.009996517437603292,0.0067243853149854711,0.017585024454432864,0.017585024454432864,6,1,1,3,3,0.4375,1.21875,1.16875
1,0.0001,3,full,alpha_Mz,2.2099999999999955,512,0.017605560043738942,0.013657941707653011,0.0091873258087257267,0.017488760322915811,0.017488760322915811,4,1,3,3,3,0.4375,0.56874999999999998,1.59375
1,0.0001,3,full,C,2.2099999999999955,512,0.00087708565540285991,0.00066936924505593242,0.00045026648028697691,0.0006433853363267734,0.0006433853363267734,1,1,2,3,1,0.6875,0.56874999999999998,0.53125
1,0.0001,3,full,Zx,2.2099999999999955,512,0.0009118796867385163,0.00071042551521336957,0.00047788391624484759,0.00067940948649538712,0.00067940948649538712,7,1,0,1,2,0.8125,0.89375000000000004,0.95624999999999993
1,0.0001,3,full,Zy,2.2099999999999955,512,0.00094699563219302553,0.00069641971756386942,0.00046846259720781131,0.00064408846511458684,0.00064408846511458684,6,1,1,1,3,0.4375,0.89375000000000004,1.16875
1,0.0001,3,full,Zz,2.2099999999999955,512,0.00093382667658786127,0.00068218776570527697,0.00045888915038707088,0.00062193428595186677,0.00062193428595186677,2,1,2,2,0,0.0625,1.0562500000000001,0.53125
1,0.0001,3,full,E_x_w,2.2099999999999955,512,0.0090569658490384976,0.0066269662791374195,0.0044577799227067194,0.0064148869402596391,0.0064148869402596391,1,1,2,2,2,0.8125,0.40625,0.53125
1,0.0001,3,full,E_x_alpha,2.2099999999999955,512,0.017242251434058886,0.013683306128494907,0.0092043877645615439,0.017616756841595568,-0.017616756841595568,1,1,0,0,3,0.9375,0.081249999999999989,0.10625000000000001
1,0.0001,3,full,E_x_a,2.2099999999999955,512,0.014216248189784498,0.01099516262780148,0.0073961467652870665,0.01086501629713494,0.01086501629713494,3,1,1,2,2,0.8125,1.0562500000000001,0.31874999999999998
1,0.0001,3,full,E_x_c,2.2099999999999955,512,0.008251949290853499,0.0060775896467048602,0.0040882292084120243,0.0060706823814070856,0.0060706823814070856,3,1,0,2,1,0.6875,1.0562500000000001,0.10625000000000001
1,0.0001,3,full,E_x_b,2.2099999999999955,512,0.015039185144935803,0.011025877741855655,0.0074168079868758034,0.010588326105027702,-0.010588326105027702,6,1,1,3,1,0.1875,1.21875,1.16875
1,0.0001,3,full,E_x_d,2.2099999999999955,512,0.013157764283423249,0.010135531866061793,0.0068178965389824528,0.010133521802012737,0.010133521802012737,7,1,1,3,3,0.9375,1.21875,1.16875
1,0.0001,3,full,E_x_e,2.2099999999999955,512,0.0074644117842079033,0.0056151918350631717,0.0037771867805172282,0.0057366931035935844,-0.0057366931035935844,3,1,3,2,3,0.9375,1.0562500000000001,0.74375000000000002
1,0.0001,3,full,E_x_betax,2.2099999999999955,512,0.013996046141522486,0.010202074695593647,0.0068626580900440649,0.0094295234808499922,-0.0094295234808499922,5,1,1,2,0,0.5625,0.40625,1.16875
1,0.0001,3,full,E_x_betay,2.2099999999999955,512,0.012603950578136871,0.0093961301977983965,0.0063205211529061773,0.0092215906503550962,0.0092215906503550962,7,1,1,3,3,0.9375,1.21875,1.16875
1,0.0001,3,full,E_x_betaz,2.2099999999999955,512,0.0067548276229461284,0.0052125895137634078,0.0035063671521791146,0.0053669880628959667,0.0053669880628959667,1,1,3,3,3,0.9375,0.56874999999999998,0.74375000000000002
1,0.0001,3,full,E_y_w,2.2099999999999955,512,0.0069668968069525605,0.0051133835409729192,0.0034396339932810144,0.0050329412080056483,-0.0050329412080056483,1,1,0,0,2,0.8125,0.081249999999999989,0.10625000000000001
1,0.0001,3,full,E_y_alpha,2.2099999999999955,512,0.0084898194910425946,0.0070962979307783612,0.0047734865561269357,0.0092159566583619179,-0.0092159566583619179,5,1,1,3,3,0.9375,0.56874999999999998,1.16875
1,0.0001,3,full,E_y_a,2.2099999999999955,512,0.0062665683191999843,0.0048157244048060892,0.0032394067904971441,0.0050565512935581572,-0.0050565512935581572,7,1,1,2,2,0.8125,1.0562500000000001,1.16875
1,0.0001,3,full,E_y_c,2.2099999999999955,512,0.011871372919824128,0.0087198058011112127,0.0058655761313387393,0.0083483994171468182,-0.0083483994171468182,0,1,1,2,0,0.0625,0.40625,0.31874999999999998
1,0.0001,3,full,E_y_b,2.2099999999999955,512,0.011568603957643961,0.0084865034625637697,0.0057086399954221568,0.0082101081755008402,-0.0082101081755008402,0,1,3,0,1,0.1875,0.081249999999999989,0.74375000000000002
1,0.0001,3,full,E_y_d,2.2099999999999955,512,0.010724123067704316,0.0082645620998360661,0.0055593460788527626,0.008305507418865158,0.008305507418865158,7,1,1,3,3,0.9375,1.21875,1.16875
1,0.0001,3,full,E_y_e,2.2099999999999955,512,0.01013484118390872,0.0076042624143917862,0.005115180444570073,0.0074922164716111272,0.0074922164716111272,1,1,3,2,3,0.9375,0.40625,0.74375000000000002
1,0.0001,3,full,E_y_betax,2.2099999999999955,512,0.010161059013142312,0.007412599996493594,0.0049862543504184068,0.0069353940510472117,0.0069353940510472117,6,1,1,2,0,0.0625,1.0562500000000001,1.16875
1,0.0001,3,full,E_y_betay,2.2099999999999955,512,0.0097468870443020682,0.007232775602476987,0.0048652913728665622,0.0071060434120136622,0.0071060434120136622,0,1,1,2,0,0.0625,0.40625,0.31874999999999998
1,0.0001,3,full,E_y_betaz,2.2099999999999955,512,0.0052253149717432458,0.004018450739107257,0.0027031024862118279,0.0042163037382093324,-0.0042163037382093324,5,1,3,0,2,0.8125,0.081249999999999989,1.59375
1,0.0001,3,full,E_z_w,2.2099999999999955,512,0.0053276270607719653,0.0039303507473168664,0.0026438400185831339,0.0039988229448430276,0.0039988229448430276,5,1,0,0,3,0.9375,0.081249999999999989,0.95624999999999993
1,0.0001,3,full,E_z_alpha,2.2099999999999955,512,0.0065642024984890468,0.0054396769925423262,0.003659122721010908,0.007196810645701681,-0.007196810645701681,5,1,1,3,3,0.9375,0.56874999999999998,1.16875
1,0.0001,3,full,E_z_a,2.2099999999999955,512,0.0048199374544650973,0.0036937188480874916,0.0024846641777798565,0.0039503111618468308,-0.0039503111618468308,5,1,1,3,3,0.9375,0.56874999999999998,1.16875
1,0.0001,3,full,E_z_c,2.2099999999999955,512,0.0048540878181428503,0.003593389982241939,0.0024171756792730472,0.0036968575350660488,-0.0036968575350660488,2,1,2,1,1,0.1875,0.89375000000000004,0.53125
1,0.0001,3,full,E_z_b,2.2099999999999955,512,0.004730288562418943,0.0034979669351160475,0.0023529871915512319,0.0036195266865280571,-0.0036195266865280571,2,1,3,1,0,0.0625,0.89375000000000004,0.74375000000000002
1,0.0001,3,full,E_z_d,2.2099999999999955,512,0.004452651984994377,0.0034071990266030098,0.0022919300889265651,0.0036619619250949299,0.0036619619250949299,5,1,1,3,3,0.9375,0.56874999999999998,1.16875
1,0.0001,3,full,E_z_e,2.2099999999999955,512,0.0043908304612988672,0.003321523531198686,0.0022342985140559202,0.0032085312900568871,-0.0032085312900568871,3,1,0,3,3,0.9375,1.21875,0.10625000000000001
1,0.0001,3,full,E_z_betax,2.2099999999999955,512,0.0044021891043262915,0.0032349648342658759,0.0021760728335454469,0.0032321439947777357,-0.0032321439947777357,4,1,1,0,3,0.4375,0.081249999999999989,1.16875
1,0.0001,3,full,E_z_betay,2.2099999999999955,512,0.0042004233125729901,0.0031570616482429117,0.0021236694797421652,0.0033168789731642845,-0.0033168789731642845,5,1,2,0,3,0.9375,0.081249999999999989,1.3812499999999999
1,0.0001,3,full,E_z_betaz,2.2099999999999955,512,0.0074072781651984667,0.0057280143627267332,0.003853079425426403,0.0058328791223018145,-0.0058328791223018145,3,1,0,1,3,0.9375,0.89375000000000004,0.10625000000000001
1,0.0001,3,full,Omega_xy_w,2.2099999999999955,512,0.0063256205854426255,0.0051391824863012995,0.0034569882419172144,0.0065938623028270341,0.0065938623028270341,2,1,0,0,0,0.0625,0.73125000000000007,0.10625000000000001
1,0.0001,3,full,Omega_xy_alpha,2.2099999999999955,512,0.0084211515902095219,0.0067964040716628708,0.0045717561160133827,0.0088805350293050984,0.0088805350293050984,1,1,3,0,2,0.8125,0.081249999999999989,0.74375000000000002
1,0.0001,3,full,Omega_xy_a,2.2099999999999955,512,0.0099157738130012281,0.0081311967099472037,0.0054696348094138147,0.010755849077956847,-0.010755849077956847,3,1,1,0,1,0.6875,0.73125000000000007,0.31874999999999998
1,0.0001,3,full,Omega_xy_c,2.2099999999999955,512,0.0084768662176895708,0.0065658702372540581,0.004416682277510923,0.0082084005170739698,0.0082084005170739698,4,1,0,1,0,0.0625,0.24375000000000002,0.95624999999999993
1,0.0001,3,full,Omega_xy_b,2.2099999999999955,512,0.0052758481043518931,0.0043102898659042755,0.0028994147270318231,0.0056484895046725516,0.0056484895046725516,7,1,1,3,0,0.5625,1.21875,1.16875
