sample,operation,k,j,i,var,value
0,3,0,4,4,0,0.62121295369962526
0,3,0,4,4,1,1.0733209113156483
0,3,0,4,4,2,0.013116707804009035
0,3,0,4,4,3,0.0065599207873505618
0,3,0,4,4,4,1.043500773006615
0,3,0,4,4,5,0.025623440817095049
0,3,0,4,4,6,0.89365083637629339
0,3,0,4,4,7,-0.0058561941344520037
0,3,0,4,4,8,-0.0017052633410851396
0,3,0,4,4,9,-0.0097085283165945415
0,3,0,4,4,10,-0.0098291254620593068
0,3,0,4,4,11,-0.0021223075742344112
0,3,0,4,4,12,-0.0060350975603319923
0,3,0,4,4,13,0.0026266605570157246
0,3,0,4,4,14,0
0,3,0,4,4,15,0
0,3,0,4,4,16,0
0,3,0,4,4,17,0
0,3,0,4,4,18,0.82762745324915554
0,3,0,4,4,19,0.0093873431606496076
0,3,0,4,4,20,0.0075059442651806037
0,3,0,4,4,21,0.004610565337244573
0,3,0,4,4,22,0.13308658650921917
0,3,0,4,4,23,0.10237429731478397
0,3,0,4,4,24,0
0,3,0,4,4,25,0.25010698394669656
0,3,0,4,4,26,0.10183807780152129
0,3,0,4,4,27,-0.049484428373543575
0,3,0,4,4,28,-0.27462499709744254
0,3,0,4,4,29,0.10291488396789811
0,3,0,4,4,30,0.033030642535514944
0,3,0,4,4,31,0.19238998765130502
0,3,0,4,4,32,0.078336982924247164
0,3,0,4,4,33,-0.038064944902725821
0,3,0,4,4,34,-0.21124999776726347
0,3,0,4,4,35,0.079165295359921631
0,3,0,4,4,36,0.025408186565780724
0,3,0,4,4,37,0
0,3,0,4,4,38,0
0,3,0,4,4,39,0
0,3,0,4,4,40,0
0,3,0,4,4,41,0
0,3,0,4,4,42,0
0,3,0,4,4,43,-0.1045400458356673
0,3,0,4,4,44,-0.08041541987359023
0,3,0,4,4,45,0
0,3,0,4,4,46,-0.02159824309411626
0,3,0,4,4,47,-0.041433285247367453
0,3,0,4,4,48,-0.055652853213265296
0,3,0,4,4,49,-0.016614033149320199
0,3,0,4,4,50,-0.031871757882590328
0,3,0,4,4,51,-0.042809887087127151
0,3,0,4,4,52,0
0,3,0,4,4,53,0
0,3,0,4,4,54,0
0,3,0,4,5,0,0.62999964290949761
0,3,0,4,5,1,1.0794234537438336
0,3,0,4,5,2,0.020677593743212475
0,3,0,4,5,3,-0.0010351391717134764
0,3,0,4,5,4,1.0003973869836833
0,3,0,4,5,5,0.029383289061701082
0,3,0,4,5,6,0.92728483086333224
0,3,0,4,5,7,-0.0098806146269480415
0,3,0,4,5,8,-0.007525510059954648
0,3,0,4,5,9,-0.0083328145230166517
0,3,0,4,5,10,-0.0058334370640846971
0,3,0,4,5,11,-0.00040240190995987621
0,3,0,4,5,12,0.0012339405532468724
0,3,0,4,5,13,0.0066283325145854903
0,3,0,4,5,14,0
0,3,0,4,5,15,0
0,3,0,4,5,16,0
0,3,0,4,5,17,0
0,3,0,4,5,18,0.79006839166754472
0,3,0,4,5,19,0.0042036281962503277
0,3,0,4,5,20,0.00063766528875290336
0,3,0,4,5,21,-0.0030123074608882318
0,3,0,4,5,22,1.1492377668246436e-07
0,3,0,4,5,23,8.8402905140357185e-08
0,3,0,4,5,24,0
0,3,0,4,5,25,-0.15921694724800856
0,3,0,4,5,26,0.01156547511706414
0,3,0,4,5,27,-0.064623455551755152
0,3,0,4,5,28,-0.37603721260655854
0,3,0,4,5,29,-0.043760206828083056
0,3,0,4,5,30,0.48650799408249357
0,3,0,4,5,31,-0.12247457480616042
0,3,0,4,5,32,0.0088965193208185769
0,3,0,4,5,33,-0.049710350424427056
0,3,0,4,5,34,-0.28925939431273628
0,3,0,4,5,35,-0.033661697560063868
0,3,0,4,5,36,0.37423691852499397
0,3,0,4,5,37,0
0,3,0,4,5,38,0
0,3,0,4,5,39,0
0,3,0,4,5,40,0
0,3,0,4,5,41,0
0,3,0,4,5,42,0
0,3,0,4,5,43,-0.38736779665849874
0,3,0,4,5,44,-0.29797522819884514
0,3,0,4,5,45,0
0,3,0,4,5,46,-0.056916439816021396
0,3,0,4,5,47,-0.062596371650617016
