cycle,time,stage,region,component,volume,cells,L1_integral,L2_integral,RMS,maximum,signed_at_max,gid,logical_level,k,j,i,x,y,z
0,0,0,full,H,2.210000000000016,512,0.6486282431178223,0.53342196089158012,0.3588184408119296,0.89346739189166224,-0.89346739189166224,3,1,3,3,3,0.9375,1.2187500000000002,0.74375000000000002
0,0,0,full,Mx,2.210000000000016,512,0.010790943533655889,0.0085952891061463789,0.0057818171382375307,0.01128147456293338,-0.01128147456293338,2,1,2,0,2,0.3125,0.73125000000000007,0.53125
0,0,0,full,My,2.210000000000016,512,0.0089421981859864712,0.0075506768051251238,0.0050791348630666484,0.013538507320752567,0.013538507320752567,6,1,1,3,3,0.4375,1.2187500000000002,1.16875
0,0,0,full,Mz,2.210000000000016,512,0.011427552430781486,0.0088859276428566343,0.0059773217747694177,0.011013008288388427,-0.011013008288388427,2,1,1,2,1,0.1875,1.0562500000000001,0.31874999999999998
0,0,0,full,alpha_Mx,2.210000000000016,512,0.010790945899607107,0.0085952976068110806,0.0057818228564034072,0.011290042539088978,-0.011290042539088978,2,1,2,0,2,0.3125,0.73125000000000007,0.53125
0,0,0,full,alpha_My,2.210000000000016,512,0.008942191516614852,0.0075506709162013385,0.0050791309017478329,0.013541463668641247,0.013541463668641247,6,1,1,3,3,0.4375,1.2187500000000002,1.16875
0,0,0,full,alpha_Mz,2.210000000000016,512,0.011427551819943534,0.0088859314819448604,0.0059773243572196211,0.011029361140270536,-0.011029361140270536,2,1,1,2,1,0.1875,1.0562500000000001,0.31874999999999998
0,0,0,full,C,2.210000000000016,512,0.00087734091725159944,0.00066954764463785432,0.00045038648483219397,0.00063445516892107084,-0.00063445516892107084,0,1,2,3,3,0.4375,0.56874999999999998,0.53125
0,0,0,full,Zx,2.210000000000016,512,0.00091166063068150443,0.00071026337978474959,0.00047777485215306977,0.00067539365526397615,0.00067539365526397615,0,1,0,1,0,0.0625,0.24375000000000002,0.10625000000000001
0,0,0,full,Zy,2.210000000000016,512,0.00094662425041019721,0.00069615218680889584,0.00046828263654738114,0.00064140209551552779,-0.00064140209551552779,0,1,2,3,3,0.4375,0.56874999999999998,0.53125
0,0,0,full,Zz,2.210000000000016,512,0.00093438243654792258,0.00068259078057235757,0.00045916024752372993,0.00061817887116171822,-0.00061817887116171822,1,1,2,3,3,0.9375,0.56874999999999998,0.53125
0,0,0,full,E_x_w,2.210000000000016,512,0.0081670950673996476,0.005982611522153093,0.0040243400080012389,0.0058456246146475575,0.0058456246146475575,0,1,0,2,0,0.0625,0.40625,0.10625000000000001
0,0,0,full,E_x_alpha,2.210000000000016,512,0.012457569129983109,0.010119648737695015,0.0068072123906465377,0.013474981178549344,-0.013474981178549344,1,1,0,0,3,0.9375,0.081249999999999989,0.10625000000000001
0,0,0,full,E_x_a,2.210000000000016,512,0.0073268088846584912,0.0056408359831718281,0.0037944369012751166,0.0057642817846810437,-0.0057642817846810437,2,1,0,3,2,0.3125,1.2187500000000002,0.10625000000000001
0,0,0,full,E_x_c,2.210000000000016,512,0.0074412585958740325,0.0054862642894213691,0.0036904607281672531,0.0055266326581730058,0.0055266326581730058,2,1,2,2,3,0.4375,1.0562500000000001,0.53125
0,0,0,full,E_x_b,2.210000000000016,512,0.010255288143510703,0.0075302014146734339,0.005065361624963345,0.007392949486260395,0.007392949486260395,2,1,3,3,0,0.0625,1.2187500000000002,0.74375000000000002
0,0,0,full,E_x_d,2.210000000000016,512,0.0067685294248287561,0.0052012723675919879,0.0034987544158439046,0.0054353263170633095,0.0054353263170633095,2,1,1,3,3,0.4375,1.2187500000000002,0.31874999999999998
0,0,0,full,E_x_e,2.210000000000016,512,0.006731672557803609,0.0050696248006331171,0.0034101986791548649,0.0052214281577061669,-0.0052214281577061669,2,1,2,2,0,0.0625,1.0562500000000001,0.53125
0,0,0,full,E_x_betax,2.210000000000016,512,0.0095447921004533868,0.0069659827670603353,0.0046858270908486229,0.0065671510354356503,-0.0065671510354356503,0,1,0,1,0,0.0625,0.24375000000000002,0.10625000000000001
0,0,0,full,E_x_betay,2.210000000000016,512,0.0064405751380115341,0.0048180102244705786,0.0032409443991974129,0.0049280623021736936,0.0049280623021736936,3,1,1,1,1,0.6875,0.89375000000000004,0.31874999999999998
0,0,0,full,E_x_betaz,2.210000000000016,512,0.006105372308834507,0.0047046739353786022,0.0031647061609527401,0.0048822035059420095,-0.0048822035059420095,0,1,0,1,3,0.4375,0.24375000000000002,0.10625000000000001
0,0,0,full,E_y_w,2.210000000000016,512,0.0062823808210766474,0.0046194128577486575,0.0031073533536442686,0.0045950113100822962,0.0045950113100822962,0,1,0,0,2,0.3125,0.081249999999999989,0.10625000000000001
0,0,0,full,E_y_alpha,2.210000000000016,512,0.0076488246511377872,0.0064045769733712303,0.0043081846870420566,0.0083235973915897748,-0.0083235973915897748,3,1,1,3,3,0.9375,1.2187500000000002,0.31874999999999998
0,0,0,full,E_y_a,2.210000000000016,512,0.0056683261937287514,0.0043494960897560954,0.0029257876871722579,0.0046105252446341383,0.0046105252446341383,0,1,1,2,2,0.3125,0.40625,0.31874999999999998
0,0,0,full,E_y_c,2.210000000000016,512,0.0080950221749310838,0.0059589186144713294,0.0040084024335930498,0.0058139851260512109,-0.0058139851260512109,7,1,1,2,0,0.5625,1.0562500000000001,1.16875
0,0,0,full,E_y_b,2.210000000000016,512,0.0078886831873158994,0.0057998733609412123,0.0039014170185290944,0.0057521726124153457,-0.0057521726124153457,3,1,3,0,1,0.6875,0.73125000000000007,0.74375000000000002
0,0,0,full,E_y_d,2.210000000000016,512,0.0073437948347907494,0.0056491159498761349,0.0038000066096122989,0.0058154742851832071,0.0058154742851832071,7,1,1,3,3,0.9375,1.2187500000000002,1.16875
0,0,0,full,E_y_e,2.210000000000016,512,0.005178209659848932,0.0039101875652972941,0.0026302767945981598,0.0040064948839716443,0.0040064948839716443,3,1,2,1,3,0.9375,0.89375000000000004,0.53125
