cycle,time,stage,region,component,volume,cells,L1_integral,L2_integral,RMS,maximum,signed_at_max,gid,logical_level,k,j,i,x,y,z
80,0.010000000000000007,3,full,H,2.2099999999999955,256,0.58026805728752029,0.43077428829372483,0.28977014408831314,0.40259312794785662,0.40259312794785662,2,1,0,1,2,0.15625,0.77187500000000009,0.84999999999999998
80,0.010000000000000007,3,full,Mx,2.2099999999999955,256,0.0085849611389155808,0.0063741701369403759,0.0042877308354235446,0.0059708316147349498,0.0059708316147349498,1,1,0,1,1,0.59375,0.12187500000000001,0.84999999999999998
80,0.010000000000000007,3,full,My,2.2099999999999955,256,0.0093209913428956188,0.0070344894355391001,0.004731909662941635,0.0066910844937032492,-0.0066910844937032492,2,1,0,6,3,0.21875,1.1781250000000001,0.84999999999999998
80,0.010000000000000007,3,full,Mz,2.2099999999999955,256,0.010481807571852063,0.0078651882373263846,0.0052906981469092755,0.0074745763404259792,-0.0074745763404259792,0,1,0,0,1,0.09375,0.040625000000000022,0.84999999999999998
80,0.010000000000000007,3,full,alpha_Mx,2.2099999999999955,256,0.0085850074804145072,0.0063742208220391242,0.0042877649299105335,0.0059690715265667904,-0.0059690715265667904,1,1,0,6,4,0.78125,0.52812500000000007,0.84999999999999998
80,0.010000000000000007,3,full,alpha_My,2.2099999999999955,256,0.0093210025083253871,0.007034526463462685,0.0047319345706184485,0.0067010555597382671,-0.0067010555597382671,2,1,0,6,3,0.21875,1.1781250000000001,0.84999999999999998
80,0.010000000000000007,3,full,alpha_Mz,2.2099999999999955,256,0.010481802965247238,0.0078651947638594382,0.0052907025371305002,0.0074857149674070469,-0.0074857149674070469,0,1,0,0,1,0.09375,0.040625000000000022,0.84999999999999998
80,0.010000000000000007,3,full,C,2.2099999999999955,256,0.0006000362020458234,0.00045335642033336325,0.00030496052994181044,0.00043128853779727529,0.00043128853779727529,1,1,0,0,2,0.65625,0.040625000000000022,0.84999999999999998
80,0.010000000000000007,3,full,Zx,2.2099999999999955,256,0.00087887842333423793,0.00065438312074499151,0.00044018572217556019,0.00061827741185116881,0.00061827741185116881,0,1,0,6,7,0.46875,0.52812500000000007,0.84999999999999998
80,0.010000000000000007,3,full,Zy,2.2099999999999955,256,0.00086567337690195275,0.00064702676849208646,0.00043523730415197747,0.0006136575463743637,0.0006136575463743637,0,1,0,5,7,0.46875,0.44687500000000002,0.84999999999999998
