cycle,time,stage,region,component,volume,cells,L1_integral,L2_integral,RMS,maximum,signed_at_max,gid,logical_level,k,j,i,x,y,z
10,0.005000000000000001,3,full,H,2.2099999999999955,256,0.57970201032125634,0.43035136790722095,0.28948565705028562,0.40211457412423346,0.40211457412423346,0,1,0,3,7,0.46875,0.28437499999999999,0.84999999999999998
10,0.005000000000000001,3,full,Mx,2.2099999999999955,256,0.007974004197474422,0.0059237297787316191,0.0039847318611385598,0.0055690187014901275,0.0055690187014901275,2,1,0,1,1,0.09375,0.77187500000000009,0.84999999999999998
10,0.005000000000000001,3,full,My,2.2099999999999955,256,0.0087544855238391953,0.0065987338682345423,0.0044387887479834295,0.0062764792661241927,-0.0062764792661241927,2,1,0,6,3,0.21875,1.1781250000000001,0.84999999999999998
10,0.005000000000000001,3,full,Mz,2.2099999999999955,256,0.010621393117549918,0.0080038146099009055,0.0053839483362705534,0.0076142971138419106,-0.0076142971138419106,0,1,0,1,0,0.03125,0.12187500000000001,0.84999999999999998
10,0.005000000000000001,3,full,alpha_Mx,2.2099999999999955,256,0.0079740484388825059,0.0059237805885503647,0.0039847660395212975,0.0055668184415784312,-0.0055668184415784312,1,1,0,4,6,0.90625,0.36562500000000003,0.84999999999999998
10,0.005000000000000001,3,full,alpha_My,2.2099999999999955,256,0.0087544958392053018,0.0065987689673878734,0.0044388123582289676,0.0062858659573194215,-0.0062858659573194215,2,1,0,6,3,0.21875,1.1781250000000001,0.84999999999999998
10,0.005000000000000001,3,full,alpha_Mz,2.2099999999999955,256,0.010621390874463822,0.0080038249010650851,0.0053839552588567157,0.0076256845577648297,-0.0076256845577648297,0,1,0,1,0,0.03125,0.12187500000000001,0.84999999999999998
10,0.005000000000000001,3,full,C,2.2099999999999955,256,0.00074043788187445263,0.00054971716396157947,0.00036977978058976501,0.00051418552535693483,0.00051418552535693483,1,1,0,0,2,0.65625,0.040625000000000022,0.84999999999999998
10,0.005000000000000001,3,full,Zx,2.2099999999999955,256,0.00091188523569813427,0.00067780558779420336,0.00045594137852784006,0.0006380050190051092,0.0006380050190051092,0,1,0,5,7,0.46875,0.44687500000000002,0.84999999999999998
10,0.005000000000000001,3,full,Zy,2.2099999999999955,256,0.00088866413746317512,0.00066839493825138609,0.00044961109060655312,0.00063550869962302175,0.00063550869962302175,0,1,0,5,7,0.46875,0.44687500000000002,0.84999999999999998
10,0.005000000000000001,3,full,Zz,2.2099999999999955,256,0.00087919285745702617,0.00065297754050138682,0.00043924022658590859,0.00061274049141135808,0.00061274049141135808,2,1,0,2,1,0.09375,0.85312500000000013,0.84999999999999998
10,0.005000000000000001,3,full,E_x_w,2.2099999999999955,256,0.0090691555222784312,0.0067683350525656301,0.0045528748505125052,0.0064107149443691641,-0.0064107149443691641,1,1,0,0,7,0.96875,0.040625000000000022,0.84999999999999998
10,0.005000000000000001,3,full,E_x_alpha,2.2099999999999955,256,0.017725329663580664,0.013305307303431999,0.0089501182387791527,0.012644145915152293,-0.012644145915152293,1,1,0,0,7,0.96875,0.040625000000000022,0.84999999999999998
10,0.005000000000000001,3,full,E_x_a,2.2099999999999955,256,0.0089642309986968788,0.0066827362262540909,0.0044952948488547169,0.0063227280118280547,-0.0063227280118280547,2,1,0,6,0,0.03125,1.1781250000000001,0.84999999999999998
10,0.005000000000000001,3,full,E_x_c,2.2099999999999955,256,0.0086857573103227455,0.0065041885483611162,0.0043751906835048961,0.0061746710353392156,-0.0061746710353392156,2,1,0,6,0,0.03125,1.1781250000000001,0.84999999999999998
10,0.005000000000000001,3,full,E_x_b,2.2099999999999955,256,0.0085275204338690763,0.0063350369306217008,0.0042614069921911276,0.0059513392452021285,-0.0059513392452021285,2,1,0,2,3,0.21875,0.85312500000000013,0.84999999999999998
