cycle,time,stage,region,component,volume,cells,L1_integral,L2_integral,RMS,maximum,signed_at_max,gid,logical_level,k,j,i,x,y,z
320,0.02,3,full,H,2.2099999999999276,7168,0.57758938804018567,0.43170245897322967,0.29039449925260563,0.4113950927205855,0.4113950927205855,2,2,0,31,28,0.22265625,0.64492187500000009,0.84999999999999998
320,0.02,3,full,Mx,2.2099999999999276,7168,0.00960563770953138,0.007178489433799352,0.0048287745441068959,0.0068394399516668106,0.0068394399516668106,1,2,0,22,29,0.48046875,0.228515625,0.84999999999999998
320,0.02,3,full,My,2.2099999999999276,7168,0.010447414699494095,0.0078088698113141551,0.0052528142739302359,0.0074299890599397924,0.0074299890599397924,2,2,0,29,18,0.14453125,0.62460937500000002,0.84999999999999998
320,0.02,3,full,Mz,2.2099999999999276,7168,0.01014022908097602,0.0075792997087713414,0.0050983887116347396,0.0072140921229734631,-0.0072140921229734631,0,2,0,13,0,0.00390625,0.13710937500000001,0.84999999999999998
320,0.02,3,full,alpha_Mx,2.2099999999999276,7168,0.0096056841178844398,0.0071785393829977328,0.0048288081435737288,0.0068293100397592002,-0.0068293100397592002,0,2,0,17,2,0.01953125,0.177734375,0.84999999999999998
320,0.02,3,full,alpha_My,2.2099999999999276,7168,0.010447449309187012,0.0078089098033397612,0.0052528411754778383,0.007437757223820291,-0.007437757223820291,0,2,0,2,13,0.10546875,0.025390625,0.84999999999999998
320,0.02,3,full,alpha_Mz,2.2099999999999276,7168,0.010140221681742551,0.0075792990924792745,0.005098388297071833,0.0072237979822868375,-0.0072237979822868375,0,2,0,13,0,0.00390625,0.13710937500000001,0.84999999999999998
320,0.02,3,full,C,2.2099999999999276,7168,0.00047943505980561484,0.00035822027138248194,0.00024096503081697535,0.00034201265340454774,0.00034201265340454774,1,2,0,13,31,0.49609375,0.13710937500000001,0.84999999999999998
320,0.02,3,full,Zx,2.2099999999999276,7168,0.0008554859557743052,0.00063900342431214799,0.00042984021880527085,0.00060816778336617071,0.00060816778336617071,3,2,0,19,31,0.49609375,0.52304687500000002,0.84999999999999998
320,0.02,3,full,Zy,2.2099999999999276,7168,0.00083981032222378137,0.00062732528010913584,0.00042198464891553863,0.00059671923490765811,0.00059671923490765811,3,2,0,31,15,0.37109375,0.64492187500000009,0.84999999999999998
320,0.02,3,full,Zz,2.2099999999999276,7168,0.00081803985603159826,0.00061103979005972626,0.00041102984282240294,0.00058143533591180666,-0.00058143533591180666,1,2,0,0,8,0.31640625,0.0050781249999999889,0.84999999999999998
320,0.02,3,full,E_x_w,2.2099999999999276,7168,0.0089200677531426353,0.0066677322527709968,0.0044852020840908668,0.0063431809140095914,-0.0063431809140095914,0,2,0,1,0,0.00390625,0.015234374999999994,0.84999999999999998
320,0.02,3,full,E_x_alpha,2.2099999999999276,7168,0.017547883972899449,0.013107541034606625,0.0088170862501702994,0.012470461793951417,-0.012470461793951417,3,2,0,31,31,0.49609375,0.64492187500000009,0.84999999999999998
320,0.02,3,full,E_x_a,2.2099999999999276,7168,0.0088078575122650798,0.0065833989868411633,0.0044284733904710102,0.0062633997280845113,-0.0062633997280845113,3,2,0,26,31,0.49609375,0.59414062500000009,0.84999999999999998
320,0.02,3,full,E_x_c,2.2099999999999276,7168,0.0085778323790998215,0.006407505232715674,0.0043101544474369148,0.0060955666375214611,-0.0060955666375214611,3,2,0,23,31,0.49609375,0.56367187500000004,0.84999999999999998
320,0.02,3,full,E_x_b,2.2099999999999276,7168,0.0083550298310475432,0.0062408678807967209,0.004198062034337445,0.0059375978000869552,-0.0059375978000869552,3,2,0,19,31,0.49609375,0.52304687500000002,0.84999999999999998
320,0.02,3,full,E_x_d,2.2099999999999276,7168,0.0081393326695183774,0.0060827702375498231,0.0040917140509303196,0.005787297149050687,-0.005787297149050687,3,2,0,16,31,0.49609375,0.49257812500000009,0.84999999999999998
320,0.02,3,full,E_x_e,2.2099999999999276,7168,0.007939457748418581,0.0059325680239935312,0.0039906771082729763,0.0056441430341382173,-0.0056441430341382173,3,2,0,12,31,0.49609375,0.45195312500000007,0.84999999999999998
320,0.02,3,full,E_x_betax,2.2099999999999276,7168,0.0074778078396569858,0.0055879329579324559,0.0037588504754765655,0.0053164233595676871,-0.0053164233595676871,3,2,0,6,31,0.49609375,0.39101562500000003,0.84999999999999998
320,0.02,3,full,E_x_betay,2.2099999999999276,7168,0.0073036323372994046,0.0054554893606567631,0.0036697592708502015,0.0051906465597199303,-0.0051906465597199303,3,2,0,3,31,0.49609375,0.36054687500000004,0.84999999999999998
320,0.02,3,full,E_x_betaz,2.2099999999999276,7168,0.0071343320401344454,0.0053292357155292529,0.003584831878630059,0.005070077415165063,-0.005070077415165063,1,2,0,31,31,0.49609375,0.31992187500000002,0.84999999999999998
320,0.02,3,full,E_y_w,2.2099999999999276,7168,0.0070572159288166221,0.0052740683756229163,0.0035477223099579184,0.0050171085955874163,-0.0050171085955874163,0,2,0,0,1,0.01171875,0.0050781249999999889,0.84999999999999998
320,0.02,3,full,E_y_alpha,2.2099999999999276,7168,0.013707749022591052,0.010239032904040133,0.0068875188713809661,0.0097413034530631267,-0.0097413034530631267,3,2,0,31,31,0.49609375,0.64492187500000009,0.84999999999999998
320,0.02,3,full,E_y_a,2.2099999999999276,7168,0.0069888158083121245,0.0052206941246471005,0.0035118189034265557,0.0049661932458799733,-0.0049661932458799733,3,2,0,31,25,0.44921875,0.64492187500000009,0.84999999999999998
