
Root grid = 4 x 4 x 4 MeshBlocks
Total number of MeshBlocks = 848
Number of logical  levels of refinement = 9 (10 levels total)
Number of physical levels of refinement = 7 (8 levels total)
  Physical level = 0 (logical level = 2): 48 MeshBlocks, cost = 48
  Physical level = 1 (logical level = 3): 112 MeshBlocks, cost = 112
  Physical level = 2 (logical level = 4): 112 MeshBlocks, cost = 112
  Physical level = 3 (logical level = 5): 112 MeshBlocks, cost = 112
  Physical level = 4 (logical level = 6): 112 MeshBlocks, cost = 112
  Physical level = 5 (logical level = 7): 112 MeshBlocks, cost = 112
  Physical level = 6 (logical level = 8): 112 MeshBlocks, cost = 112
  Physical level = 7 (logical level = 9): 128 MeshBlocks, cost = 128
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=2.024799e+01 cycle=1040 time=1.005200e+01 dt=9.347659e-03
elapsed=2.284294e+01 cycle=1050 time=1.014542e+01 dt=9.335613e-03
elapsed=2.542916e+01 cycle=1060 time=1.023873e+01 dt=9.324318e-03
elapsed=2.923863e+01 cycle=1070 time=1.033192e+01 dt=9.313906e-03
elapsed=3.182413e+01 cycle=1080 time=1.042502e+01 dt=9.304478e-03
elapsed=3.563441e+01 cycle=1090 time=1.051803e+01 dt=9.296096e-03
elapsed=3.822811e+01 cycle=1100 time=1.061093e+01 dt=9.284075e-03
elapsed=4.081005e+01 cycle=1110 time=1.070372e+01 dt=9.272145e-03
elapsed=4.461543e+01 cycle=1120 time=1.079639e+01 dt=9.260740e-03
elapsed=4.720064e+01 cycle=1130 time=1.088895e+01 dt=9.250020e-03
elapsed=4.978359e+01 cycle=1140 time=1.098140e+01 dt=9.240159e-03
elapsed=5.359180e+01 cycle=1150 time=1.107376e+01 dt=9.231315e-03
elapsed=5.617865e+01 cycle=1160 time=1.116604e+01 dt=9.223615e-03
elapsed=5.876897e+01 cycle=1170 time=1.125825e+01 dt=9.215647e-03
elapsed=6.259051e+01 cycle=1180 time=1.135036e+01 dt=9.205537e-03
elapsed=6.517450e+01 cycle=1190 time=1.144237e+01 dt=9.195814e-03
elapsed=6.776734e+01 cycle=1200 time=1.153428e+01 dt=9.186621e-03
elapsed=7.157254e+01 cycle=1210 time=1.162611e+01 dt=9.178136e-03
elapsed=7.415687e+01 cycle=1220 time=1.171786e+01 dt=9.170550e-03
