
Root grid = 4 x 4 x 4 MeshBlocks
Total number of MeshBlocks = 120
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 1 (2 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=1.725887e+01 cycle=225 time=2.027064e+00 dt=9.019893e-03
elapsed=1.512287e+02 cycle=250 time=2.252332e+00 dt=9.000549e-03
elapsed=2.865007e+02 cycle=275 time=2.477102e+00 dt=8.980005e-03
elapsed=4.259438e+02 cycle=300 time=2.701330e+00 dt=8.957038e-03
elapsed=5.614364e+02 cycle=325 time=2.924968e+00 dt=8.932672e-03
elapsed=6.965539e+02 cycle=350 time=3.147977e+00 dt=8.906903e-03
elapsed=8.337191e+02 cycle=375 time=3.370337e+00 dt=8.880839e-03
elapsed=9.717303e+02 cycle=400 time=3.592044e+00 dt=8.854723e-03
elapsed=1.106230e+03 cycle=425 time=3.813078e+00 dt=8.826715e-03
elapsed=1.238671e+03 cycle=450 time=4.033412e+00 dt=8.799002e-03
elapsed=1.371949e+03 cycle=475 time=4.253061e+00 dt=8.772020e-03
elapsed=1.511602e+03 cycle=500 time=4.472047e+00 dt=8.745934e-03
elapsed=1.651095e+03 cycle=525 time=4.690392e+00 dt=8.720866e-03
elapsed=1.793080e+03 cycle=550 time=4.908124e+00 dt=8.696919e-03
elapsed=1.931889e+03 cycle=575 time=5.125272e+00 dt=8.674214e-03
elapsed=2.073712e+03 cycle=600 time=5.341868e+00 dt=8.652902e-03
elapsed=2.215561e+03 cycle=625 time=5.557950e+00 dt=8.633160e-03
elapsed=2.355470e+03 cycle=650 time=5.773560e+00 dt=8.615162e-03
elapsed=2.491101e+03 cycle=675 time=5.988741e+00 dt=8.599053e-03
elapsed=2.633242e+03 cycle=700 time=6.203544e+00 dt=8.584921e-03
elapsed=2.773191e+03 cycle=725 time=6.418017e+00 dt=8.572787e-03
